File Name,Mix Count,Description
Sound\interface\Click_01.wav,3,Warning on invalid buttons/terrain
Sound\interface\Click_11.wav,5,When hovering over Menu icons
Sound\interface\Click_21.wav,3,When opening UI windows
Sound\interface\Click_22.wav,3,When closing UI windows
Sound\interface\Click_32.wav,3,"Talking to NPC, NPC shop windows"
Sound\interface\Click_31.wav,3,Button click sound 1
Sound\interface\Click_32.wav,3,Button click sound 2
Sound\interface\Click_33.wav,3,Button click sound 3
,1,
Sound\avata\Quest_S.wav,1,Achievement
Sound\avata\Quest_E.wav,1,Not Used
Sound\skill\bz.wav,1,Reborn
,1,
,1,
,1,
Sound\avata\Levelup_1.wav,1,Level Up
,,
Sound\Mining\Shovel.wav,12,Shovel digging
Sound\Mining\Gloves.wav,13,Harvest Gloves attacking
Sound\Mining\Mine_01.wav,10,Pickaxe tocheck
Sound\Mining\Mine_02.wav,10,Pickaxe tocheck
Sound\Mining\Mine_03.wav,10,Pickaxe tocheck
Sound\Mining\Finish.wav,11,Done!  tocheck
,,
,,
Sound\attack\miss_001.wav,,???? ?????? ????????
Sound\attack\miss_002.wav,,?????? ?????? ????????
Sound\attack\miss_003.wav,,???? ?????? ????????
Sound\mob\Mon_miss_003.wav,,???????? ????????
,,
Sound\attack\Hands_001.wav,5,???????? ???????? ??????
Sound\attack\Hands_D01.wav,5,??????_??????
Sound\attack\Hands_D02.wav,5,??????_????
Sound\attack\Hands_D03.wav,5,??????_??????
Sound\attack\Hands_H01.wav,5,????????
,2,
Sound\attack\Sword_001.wav,5,???? ???????? ????_??
Sound\attack\Sword_002.wav,5,???? ???????? ????_??
Sound\attack\Sword_003.wav,5,???? ???????? ????_??
Sound\attack\Sword_D01.wav,5,??????_??????
Sound\attack\Sword_D02.wav,5,??????_????
Sound\attack\Sword_D03.wav,5,??????_??????
Sound\attack\Sword_H01.wav,5,????????_??
Sound\attack\Sword_H02.wav,5,????????_??
Sound\attack\Sword_H03.wav,5,????????_??
,,
Sound\attack\Mace_001.wav,5,"?????? ???????? ????_??, ??"
Sound\attack\Mace_002.wav,5,?????? ???????? ????_??
Sound\attack\Mace_D01.wav,5,??????_??????
Sound\attack\Mace_D02.wav,5,??????_????
Sound\attack\Mace_D03.wav,5,??????_??????
Sound\attack\Mace_H01.wav,5,????????_??
Sound\attack\Mace_H02.wav,5,????????_??
,,
Sound\attack\Spear_001.wav,5,"?????? ???????? ????_??, ??"
Sound\attack\Spear_002.wav,5,?????? ???????? ????_??
Sound\attack\Spear_D01.wav,5,??????_??????
Sound\attack\Spear_D02.wav,5,??????_????
Sound\attack\Spear_D03.wav,5,??????_??????
Sound\attack\Spear_H01.wav,5,????????_??
Sound\attack\Spear_H02.wav,5,????????_??
,,
Sound\attack\Axe_001.wav,5,"?????? ???????? ????_??, ??"
Sound\attack\Axe_002.wav,5,?????? ???????? ????_??
Sound\attack\Axe_D01.wav,5,??????_??????
Sound\attack\Axe_D02.wav,5,??????_????
Sound\attack\Axe_D03.wav,5,??????_??????
Sound\attack\Axe_H01.wav,5,????????_??
Sound\attack\Axe_H02.wav,5,????????_??
,,
Sound\attack\Bow_001.wav,5,"???? ???????? ????_??, ??"
Sound\attack\Bow_002.wav,5,???? ???????? ????_??
Sound\attack\Bow_D01.wav,5,??????_??????
Sound\attack\Bow_D02.wav,5,??????_????
Sound\attack\Bow_D03.wav,5,??????_??????
,,
Sound\attack\Bowgun_001.wav,5,"???????? ???????? ????_??, ??"
Sound\attack\Bowgun_D01.wav,5,??????_??????
Sound\attack\Bowgun_D02.wav,5,??????_????
Sound\attack\Bowgun_D03.wav,5,??????_??????
,,
Sound\attack\Gun_001.wav,5,?? ???? ????_??
Sound\attack\Gun_002.wav,5,?? ???? ????_??
Sound\attack\Gun_003.wav,5,?? ???? ????_??
Sound\attack\Gun_D01.wav,5,??????_??????
Sound\attack\Gun_D02.wav,5,??????_????
Sound\attack\Gun_D03.wav,5,??????_??????
,,
Sound\attack\magic_001.wav,5,"????????????_??, ??"
Sound\attack\magic_002.wav,5,????????????_??
Sound\attack\magic_D01.wav,5,??????_??????
Sound\attack\magic_D02.wav,5,??????_????
Sound\attack\magic_D03.wav,5,??????_??????
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sound\skill\skill_attaco01.wav,5,
Sound\skill\skill_attack07.wav,5,
Sound\skill\skill_attack06.wav,5,
Sound\skill\skill_attack05.wav,5,
Sound\skill\skill_attack04.wav,5,
Sound\skill\skill_attack03.wav,5,
Sound\skill\skill_attack01.wav,5,?????????? ??????. ?????? ????.
Sound\skill\skill_attack02.wav,5,???????? ??????. ????????.
Sound\skill\Skill_narc01.wav,5,????????
Sound\skill\Skill_manaC01.wav,5,????????
Sound\skill\Skill_manaC02.wav,5,????????
Sound\skill\Skill_manaC03.wav,5,????????
Sound\skill\Skill_magicD01.wav,5,??????????
Sound\skill\Skill_magicD02.wav,5,??????????
Sound\skill\Skill_magic01.wav,5,??????????
Sound\skill\Skill_magic02.wav,5,??????????
Sound\skill\Skill_magic03.wav,5,??????????
Sound\skill\Skill_magic04.wav,5,??????????
Sound\skill\Skill_magic05.wav,5,
Sound\skill\Skill_magic06.wav,5,
