Title,Lower Level,Upper Level,Font Colour,Display Time (seconds),String,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,10,4,10,LHEL002,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,10,4,10,LHEL003,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,10,4,10,LHEL004,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,10,4,10,LHEL005,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL006,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL011,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL012,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL013,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL014,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL015,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,LHEL016,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,LHEL017,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL018,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL019,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL020,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,15,4,10,LHEL021,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL022,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL023,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL024,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL025,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL027,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL028,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL029,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,30,4,10,LHEL030,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,30,4,10,LHEL031,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,30,4,10,LHEL032,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,LHEL033,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,LHEL034,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,10,4,10,LHEL036,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,5,4,10,LHEL037,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL038,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,20,4,10,LHEL039,,,,,,,,,,,,,,,,,,,,,,,,
[??],5,30,4,10,LHEL040,,,,,,,,,,,,,,,,,,,,,,,,
[??],5,40,4,10,LHEL041,,,,,,,,,,,,,,,,,,,,,,,,
[??],5,40,4,10,LHEL042,,,,,,,,,,,,,,,,,,,,,,,,
[??],5,40,4,10,LHEL043,,,,,,,,,,,,,,,,,,,,,,,,
[??],5,40,4,10,LHEL044,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL046,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,LHEL047,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,LHEL048,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,15,4,10,LHEL049,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,25,4,10,LHEL051,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,25,4,10,LHEL052,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL053,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL054,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,35,4,10,LHEL055,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL063,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],2,40,4,10,LHEL065,,,,,,,,,,,,,,,,,,,,,,,,
[??],2,40,4,10,LHEL066,,,,,,,,,,,,,,,,,,,,,,,,
[??],2,40,4,10,LHEL067,,,,,,,,,,,,,,,,,,,,,,,,
[??],2,40,4,10,LHEL068,,,,,,,,,,,,,,,,,,,,,,,,
[??],2,40,4,10,LHEL069,,,,,,,,,,,,,,,,,,,,,,,,
[??],2,40,4,10,LHEL070,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,4,4,10,LHEL071,,,,,,,,,,,,,,,,,,,,,,,,
[??],8,16,4,10,LHEL072,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],20,40,4,10,LHEL075,,,,,,,,,,,,,,,,,,,,,,,,
[??],15,40,4,10,LHEL076,,,,,,,,,,,,,,,,,,,,,,,,
[??],10,40,4,10,LHEL077,,,,,,,,,,,,,,,,,,,,,,,,
[??],5,40,4,10,LHEL078,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL079,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL080,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL081,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL082,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,40,4,10,LHEL083,,,,,,,,,,,,,,,,,,,,,,,,
[??],16,50,4,10,LHEL084,,,,,,,,,,,,,,,,,,,,,,,,
[??],16,50,4,10,LHEL085,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL088,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],1,12,4,10,LHEL090,,,,,,,,,,,,,,,,,,,,,,,,
[??],6,13,4,10,LHEL091,,,,,,,,,,,,,,,,,,,,,,,,
[??],6,13,4,10,LHEL092,,,,,,,,,,,,,,,,,,,,,,,,
[??],6,13,4,10,LHEL093,,,,,,,,,,,,,,,,,,,,,,,,
[??],6,13,4,10,LHEL094,,,,,,,,,,,,,,,,,,,,,,,,
[??],50,72,4,10,LHEL095,,,,,,,,,,,,,,,,,,,,,,,,
[??],50,72,4,10,LHEL096,,,,,,,,,,,,,,,,,,,,,,,,
[??],50,72,4,10,LHEL097,,,,,,,,,,,,,,,,,,,,,,,,
[??],50,72,4,10,LHEL098,,,,,,,,,,,,,,,,,,,,,,,,
[??],50,72,4,10,LHEL099,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],20,55,4,10,LHEL101,,,,,,,,,,,,,,,,,,,,,,,,
[??],50,75,4,10,LHEL102,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
[??],0,0,4,10,,,,,,,,,,,,,,,,,,,,,,,,,
