,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon City of Zant,12041,10970,10101,12041,12041,10120,12041,12041,12042,12042,12099,10056,10970,12100,10057,12043,12043,10120,10058,12045,10102,12045,12045,10102,12112,12112,12112,,,,,,,,,,,,,,,,,,,,,,,
City of Junon Polis,12052,12052,12053,10107,12053,12117,12054,12099,12055,12055,12055,10056,10970,12056,10057,10104,10122,12058,10058,12058,12058,10104,12117,12117,12117,10381,10383,12079,,,,,,,,,,,,,,,,,,,,,,
Dolphin Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Login Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junon Cartel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crusader Training Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion's Plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventurer's Plains (EVO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junon Clan Field,12074,12074,12075,12074,12076,12075,12076,12076,12075,10181,10181,10182,12075,12077,12075,10182,12078,12076,10183,12078,12077,12077,12078,12162,12164,12161,12163,12163,12162,12164,,,,,,,,,,,,,,,,,,,,
Junon Clan Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junon Clan Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evo login map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flying boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Island,12031,12031,12031,10101,12031,10102,12031,12031,12031,12032,12032,12032,12032,10057,12032,12033,10120,12033,10058,12033,12033,10970,,,10101,,,,,,,,,,,,,,,,,,,,,,,,,
Valley of Luxem Tower,12002,10103,12002,10105,12102,10970,12099,12002,12002,12002,12003,12003,10056,12003,12004,10057,10121,12004,10058,10103,12005,10103,12116,12116,12116,12116,,,,,,,,,,,,,,,,,,,,,,,,
Adventurer's Plains,12041,10122,12041,12041,10104,12041,12102,12042,12042,12043,12043,10970,10056,10970,12111,10057,10120,12111,10058,12111,10102,10102,10970,10102,,,,,,,,,,,,,,,,,,,,,,,,,,
Breezy Hills,12042,12042,10102,12097,12042,10103,12043,12043,10056,12044,12044,12044,12045,10970,12046,10057,10121,12047,10058,12047,12047,10104,12122,12122,10104,,,10970,,,,,,,,,,,,,,,,,,,,,,
El Verloon Desert,12001,12001,10105,12001,12092,12091,10106,12002,12003,10970,10056,12003,12004,10057,12004,12005,12005,12006,10058,10120,12006,10105,12007,10105,12126,12126,10382,12126,12126,,,,,,,,,,,,,,,,,,,,,
Anima Lake,12032,10122,12032,12099,10108,12381,10970,12033,12102,12099,12034,10107,12102,10057,12035,12036,12036,12037,10058,10121,12037,10106,12121,12121,10121,10384,10383,12381,12381,,,,,,,,,,,,,,,,,,,,,
Forest of Wisdom,12034,12095,10107,12034,12095,12034,12035,12035,12094,12036,10056,12037,12038,10057,12038,12039,10107,12040,10058,10122,12127,10970,12127,,10970,,10381,,,,,,,,,,,,,,,,,,,,,,,
Kenji Beach,10970,12093,10108,12093,10970,12100,12045,12056,12046,12057,10056,12047,12044,10057,12058,12048,12049,12059,10058,12113,12046,12060,12050,12114,12048,12049,10381,12115,12059,,,,,,,,,,,,,,,,,,,,,
Gorge of Silence,12004,12004,10109,12004,12101,12113,12005,12005,12006,12006,10056,10970,12007,10057,12007,12008,12008,12009,10058,12009,12006,12010,12381,12119,12010,12120,10384,10382,12381,,,,,,,,,,,,,,,,,,,,,
Desert of the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Cave (B1),10970,12043,10970,12044,12043,12071,12045,12061,10056,12111,12046,12072,10057,12116,12062,10057,12047,12116,12048,10058,12073,12126,,12063,10107,10384,10381,10970,10382,,,,,,,,,,,,,,,,,,,,,
Goblin Cave (B2),10970,12005,12006,10970,12072,12061,12007,12071,10056,12112,12062,12073,10057,12117,10057,12063,12008,12122,12074,12064,10058,12075,12123,12127,12009,12076,12124,10383,12065,10970,,,,,,,,,,,,,,,,,,,,
Goblin Cave (B3),10970,12118,12006,12007,12062,12073,12062,12073,12113,10056,10057,12063,12008,10057,12064,12075,12381,12123,10058,12076,12065,12009,12128,12077,12010,12066,10383,12129,12130,12381,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast,10155,10031, ,10031,10152,12051,,,12080,,12081,12078,,12051,,,12081,,12002,,,12081, ,10013,10013,12002, , , ,12002, ,,,,,,,,,,,,,,,,,,,
Santa Planetoid,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Ballroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid (F1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid Tombs(B1),12004,12004,12046,12046,12005,12005,12079,12047,10970,12048,12048,12075,12007,12007,12075,12191,12192,12079,12079,12126,12079,10970,12093,12121,12122,12075,12079,12075,12079,12062,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Island,10381,10157,10168,10013,10032,12029,12079,12061,12062,12085,12130,10381,10157,10168,10013,10032,12029,12079,12061,12062,12085,12130,10381,10157,10168,10013,10032,12029,12079,12061,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic City of the Eucar,12079,12011,12118,12011,12012,12144,12074,12063,12012,12074,12063,10057,12075,12012,12064,10970,12381,12013,10970,10322,12076,12013,12065,12013,10323,12013,12014,10381,12014,12014,,,,,,,,,,,,,,,,,,,,
Mana Snowfields,12011,12012,12012,12118,12013,12144,12064,12013,12076,12078,10057,12078,12064,12014,12079,10970,12381,10322,10970,12065,12381,12066,12015,12066,10323,12015,12015,10384,10381,12016,,,,,,,,,,,,,,,,,,,,
Arumic Valley,12012,12012,12118,12119,12013,12144,12014,12065,12078,10057,12065,12078,12015,12079,12066,10970,12381,12066,10970,12080,12067,10323,12067,10323,12015,12016,12016,10382,12016,12016,,,,,,,,,,,,,,,,,,,,
Crystal Snowfields,12013,12013,12014,12119,12065,12144,12078,12016,12079,10057,12065,10058,12078,12015,12080,10970,12381,12081,10970,10323,12067,12016,12067,12017,12016,12017,12381,10383,,,,,,,,,,,,,,,,,,,,,,
Freezing Plateau,12014,12014,12014,12015,12120,12144,12066,12079,12016,12066,10057,12079,12017,12080,12067,10970,12381,12067,10970,12080,12068,10323,12068,10323,12017,12017,12018,12018,10383,12018,,,,,,,,,,,,,,,,,,,,
Forgotten Temple (B1),12015,12015,12015,,12015,12144,10154,12015,12015,10174,12016,12016,12016,,12017,,,10309,,10310,12018,12018,12018,,12018,,12019,10382,12019,12019,,,,,,,,,,,,,,,,,,,,
Forgotten Temple (B2),12015,12015,12015,12015,12015,12144,10155,12015,12015,10176,12016,12016,12016,12017,12017,12017,12017,10313,12018,12018,12018,12018,12019,10319,12018,12019,12019,10384,12020,12020,,,,,,,,,,,,,,,,,,,,
Mount Eruca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luna Clan Field,12079,12063,12064,12077,12076,12062,12077,12061,10182,10182,12065,12078,10183,12066,10183,,,10184,,,12078,10185,12079,12161,10186,12162,12163,12163,12164,12164,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xita Refuge,12271,12035,12271,12035,12271,12035,12271,12035,12271,12036,12271,12036,12271,12036,12271,10010,10057,12037,12271,12037,10029,10058,,12038,10384,12038,12271,12039,12039,12039,10970,,,,,,,,,,,,,,,,,,,
Shady Jungle,10970,12035,12272,12035,12272,12036,12272,12036,12272,12036,12272,12036,12272,12037,12272,10011,10057,12037,12272,12038,10030,10058,,12038,10384,12039,12272,12039,12040,12139,,,,,,,,,,,,,,,,,,,,
Forest of Wandering,10970,12036,12282,12036,12282,12036,12282,12036,12282,10057,12282,10058,12282,12036,12282,12036,12282,10013,12282,10032,12282,12036,12282,12038,10383,12282,12120,10383,10384,12040,,,,,,,,,,,,,,,,,,,,
Marsh of Ghosts,12278,12036,12279,12036,12278,10970,12279,12381,12278,,12279,12381,12278,12037,12279,12037,12278,10013,12279,10032,12278,12381,12279,,,,12120,10382,10384,12040,,,,,,,,,,,,,,,,,,,,
Sikuku Underground Prison,12021,12021,12022,12023,12024,12025,12012,12012,,10168,10168,10157,,10056,10057,12098,,12093,12093,10032,10013,12048,,10058,12026,12027,12028,12065,12066,12067,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Ruins,12381,10970,12282,12279,,12282,12271,12279,10384,,12271,12282,12279,,12271,12278,12063,12064,,12065,12278,12084,10013,12278,10032,10056,10057,10056,10057,12152,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geb Desert,12291,12252,12292,12253,12293,12254,12294,12255,12256,12257,12258,12259,12060,12084,12085,12064,12066,12060,,,12067,12252,12252,12065,12253,12253,12260,12260,,10970,,,,,,,,,,,,,,,,,,,,
Paradise of Ra,12131,12131,12131,12103,12103,10056,12131,10032,10013,10970,10970,10057,10970,12114,12132,12132,12114,,10970,10058,10058,12133,12133,12104,12115,,10382,12010,12104,12104,,,,,,,,,,,,,,,,,,,,
Eldeon Clan Field,12080,12080,12080,12080,12081,12081,12081,12082,12082,10181,10182,10181,10181,10182,10183,10183,10181,12081,12081,12083,12083,10184,10182,10183,10183,10184,12161,12162,12163,12164,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliopolis,12131,12131,12131,12103,12103,10056,12131,10032,10013,,,10057,10970,12114,12132,12132,12114,,,10058,10058,12133,12133,12104,12115,,10382,12010,12104,12104,,,,,,,,,,,,,,,,,,,,
Seth b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramesses Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oro Clan Field,10970,12010,12104,10056,10057,10032,10014,12060,12009,12017,12029,12064,12065,12066,12067,12078,12105,12084,12109,12162,12163,10184,10185,10185,10184,,,12084,,12066,10181,10182,,10183,10183,10184,10184,,,,,,,,,,,,,
Corrupted Deity's Realm,10970,12010,12104,10056,10057,10032,10014,12060,12009,12017,12029,12064,12065,12066,12067,12078,12105,12084,12109,12162,12163,10184,10185,10185,10184,,,12084,,12066,10181,10182,,10183,10183,10184,10184,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,12527,12528,12527,12528,12529,12530,12529,12530,12531,12532,12531,12532,12533,12533,12085,12086,12085,12068,,10970,12381,10970,12381,,12065,12065,12066,12067,12078,12078,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12025,12026,12015,12125,12282,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,12085,2102,3042,4042,4132,8420,8278,11322,12155,10026,10026,,,,,,,,,,,,,,,,,,,,
Summer Event Map -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12025,12026,12015,12125,,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,2042,3072,8250,8448,11302,12285,12285,12285,12285,12288,,,,,,,,,,,,,,,,,,,,,
,12025,12026,12015,12125,12286,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,2072,3102,4102,4072,8183,8349,11352,12155,12286,12288,,,,,,,,,,,,,,,,,,,,,
Sikuku Jailer,12025,12026,12015,12125,12286,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,8001292,2102,3132,8278,8183,11312,12286,12286,12288,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Guard,12025,12026,12015,12125,,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,8001293,2042,3072,8051,8349,12288,12288,12288,12288,,,,,,,,,,,,,,,,,,,,,,,
,12025,12026,12015,12125,12286,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,2102,3042,4042,4132,8051,8120,12287,12287,12287,12287,,,,,,,,,,,,,,,,,,,,,
,12025,12026,12015,12125,,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,12288,12288,12288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12025,12026,12015,12125,,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,2072,3102,4102,4072,8221,8022,12288,12288,10901,,,,,,,,,,,,,,,,,,,,,,
Executor Kera,12025,12026,12015,12125,12125,12279,12279,12279,12047,12047,12025,12015,12015,10032,12155,12064,12163,12098,12192,8001294,1,1,2,3,2,4,3,1,,3073,4133,2043,5103,8350,8222,8421,,,,,,,,,,,,,,8480
,12025,12026,12015,12125,,12279,12279,12279,12047,12047,12025,12015,12015,10032,10026,12064,12061,12098,12192,2102,3042,8278,11332,8349,12153,4102,4072,8183,,,,,,,,,,,,,,,,,,,,,,
Mini-Jelly Bean,12171,12173,12171,12178,12173,10151,12171,,10171,12173,12178,12178,12173,12173,12171,12173,12171,12173,10401,12173,10401,,,1,1,2,2,2,1,2,8002,4003,5002,8002,8161,8001,2003,3003,4003,5003,,,,,,,,,,
Jelly Bean,12173,12173,12171,12171,12173,12171,12173,10001,12171,12173,10151,12173,12173,10171,12171,12173,12171,12173,10401,12173,10401,,,1,1,2,2,2,1,2,4002,3003,8002,4005,5002,8002,2003,3003,4003,5003,,,,,,,,,,
JellyNut,12171,12173,12171,12173,12173,10151,12171,10001,12171,,12171,10171,12173,12173,12171,12173,12171,12173,10402,12173,10402,,,1,1,2,2,2,1,2,8161,2003,8161,8002,8002,8161,2003,3003,4003,5003,,,,,,,,,,
Red Jelly Bean,12171,10102,12171,12171,12381,12173,10151,,12171,10172,12171,,12173,12173,12171,12173,12171,12173,10401,12178,10401,,,1,1,2,2,2,1,2,3002,2002,8031,5003,8002,8201,2003,3003,4003,5003,,,,,,,,,,
Mini-Choropy,12171,12176,12171,12171,12176,,12171,,10171,12176,12171,12176,12176,12176,10151,12176,10151,12176,10403,12176,10403,,,,1,1,2,2,2,1,8002,5002,8161,4004,2003,8031,2003,3003,4003,5003,,,,,,,,,,
Choropy,12171,,12171,12171,,12176,,,12171,12176,10171,12176,12176,10151,12171,12176,12171,12176,10403,12176,10403,,,,1,1,2,2,2,1,8161,8002,8002,3005,8002,8001,2003,3003,4003,5003,,,,,,,,,,
Mother Choropy,12171,12176,10103,12171,,12176,10151,10002,12171,12176,12171,12176,12176,12176,12171,12176,12171,12171,12176,10403,12177,10403,12177,,1,2,2,3,4,4,8031,4005,3004,8002,5005,8002,2004,3004,4004,5004,8031,8201,8031,8003,8201,8003,8101,8231,8003,8401
Spotted Choropy,12171,12176,12171,10171,12171,12176,12171,10002,12171,,12171,12176,12176,10151,12171,12176,12171,12171,12176,10403,12177,10403,12177,,1,2,2,3,4,4,1007,8201,8002,2005,5006,8161,2004,3004,4004,5004,8031,8201,8031,8101,8031,8301,8401,8032,8031,8101
Pumpkin,12173,,12173,12173,12173,10171,12173,,10151,12174,12173,,,12174,12173,12174,12173,12173,12174,10404,12174,10404,12174,,1,2,2,3,4,4,8201,8231,8231,8201,3004,8201,2004,3004,4004,5004,,,,,,,,,,
Big Pumpkin,,12174,12173,10151,12173,10103,,,12173,10171,12173,12174,,,12173,12174,12173,12174,12196,12196,12196,12196,12196,,1,2,2,3,4,4,8031,4004,4004,5004,8231,8031,2004,3004,4004,5004,8002,8161,8201,8202,9001,8401,8231,8101,8201,8202
Elder Pumpkin,12173,12174,12173,12173,12173,12174,12173,10001,10171,12174,12173,,,10151,12173,12174,12173,12174,12174,10404,12174,10404,,,1,2,2,3,4,4,5091,8002,8301,8162,8301,8003,2005,3005,4005,5005,8031,8201,8101,8231,9001,8401,8231,8101,8101,8231
Cowboy Pumpkin,12173,12174,12173,12173,12173,10151,12173,10001,12173,10172,12173,,,12174,12173,12174,12173,12174,12174,10404,12184,10404,,,1,2,2,3,4,4,1007,5121,8231,8002,8162,8101,2005,3005,4005,5005,8231,8301,8401,8032,9001,8032,8331,8401,8401,8032
Dalping,12176,,10151,12176,10104,12175,12176,,10171,12175,10161,12175,,12175,12176,12175,12176,12175,3716,,10405,12175,10405,,,1,2,3,2,4,8131,8003,8231,8032,8331,8032,2031,3061,4091,5121,8401,8032,8202,8301,9061,8004,8302,8203,8202,8301
Ranger Dalping,12176,12175,12176,10171,,12175,10161,,12176,10151,12176,12175,,12175,12176,12175,12176,12175,3716,,,12175,,,,1,2,3,2,4,1007,8231,8003,8231,8401,8331,3031,4061,5091,2121,8032,8331,8231,8331,9061,8004,8102,8203,8231,8331
Hunter Dalping,12176,,12176,12176,12175,12175,12176,10021,12176,12175,12176,12175,,12175,12176,12175,12176,12175,12175,,,12175,,,,1,2,3,2,4,8332,8203,8331,8331,8162,8162,2008,3008,4008,5008,8331,8162,8301,8101,9061,8004,8302,8203,8301,8101
Dalping Leader,,12175,12176,12176,12175,12175,12176,10021,12176,12175,12176,12175,,12175,12176,12175,12176,12175,12175,,10405,12178,10405,,,1,2,3,3,4,8163,8131,8102,8331,8232,8004,5031,2061,3091,4121,8162,8004,8302,8203,9002,8232,8302,8402,8302,8203
Flanae,12180,12184,12180,10151,12184,10103,12180,,10171,12179,12180,12184,,12179,12180,12179,12180,12179,12179,,,12179,,,,1,1,2,2,2,3002,8101,3003,2002,8002,8161,2003,3003,4003,5003,,,,,,,,,,
Elder Flanae,12180,12184,12180,12180,12184,12179,10151,12184,12184,10171,12180,12184,12381,12179,12180,12179,12180,12179,12179,,,12179,,,,1,1,2,2,2,3002,8031,4005,8002,4005,8201,2004,3004,4004,5004,,,,,,,,,,
Red Flanae,12180,12184,12180,,12184,12179,12180,10022,12180,12179,12180,12184,12196,12179,12196,12196,12196,12196,12179,,12196,12196,12196,,,,1,2,3,4,8331,3002,5006,4006,2007,8301,3031,4061,5091,2121,8003,8101,8202,8231,9001,8162,8331,8032,8231,8331
Old Flanae,12180,12184,12180,10171,12184,10151,12180,10022,12184,10161,12180,12184,,12179,12180,12179,12180,12179,12179,,,12179,,,,1,2,3,3,3,1007,3002,8101,8202,8162,8401,5031,2061,3091,4121,8301,8401,8032,8331,9001,,,,,
Big Flanae,12180,12184,10172,12180,12184,12179,10161,10002,12190,12179,10151,12184,12190,12179,12180,12179,12180,12179,12179,,,12181,,,,1,2,3,2,4,8331,8302,8003,8032,8004,8402,2031,3061,4091,5121,8162,8331,8004,8102,9061,8004,8102,8203,8004,8102
Smouly,12182,12184,10171,12182,12184,10164,12182,10021,12184,10154,12182,12184,12190,12183,12182,12183,12182,7251,12183,,,12183,,10306,,1,2,3,2,4,8432,8234,8261,8431,8006,8304,2012,3012,4012,5012,8164,8006,8104,8205,9003,8531,8501,8671,8701,8611
Elder Smouly,12182,12184,12190,10154,12184,12183,10171,10022,12190,10164,12182,12184,12190,12183,12182,12183,12182,,7261,,,12183,10307,10307,,1,2,3,2,4,8304,8006,8432,8164,8431,8404,3032,4413,5092,2122,8234,8304,8404,8035,9003,8791,2413,3513,4613,5222
Old Smouly,,12184,12182,10172,12184,10154,12182,10023,12190,12183,10164,12184,12190,12183,12182,12183,12182,7271,12183,12190,,12190,7092,10308,,1,2,3,3,4,8261,3032,8304,8006,8006,8035,4032,5062,2092,3122,8133,8262,8334,8432,9063,8036,8263,8433,8641,8672
Needle HoneyBee,12176,10151,12176,12176,10103,12177,10161,12381,12176,10171,12176,12177,,12177,12176,12177,12176,,12177,10406,12177,10406,12177,,,1,1,1,2,2,3121,4031,4091,3061,5121,8401,2005,3005,4005,5005,,,,,,,,,,
HoneyBee,12176,12177,,10171,,12177,12176,,12176,12177,12176,12177,,12177,12176,12177,12176,,12177,10406,12177,10406,12177,,,1,1,1,2,2,2091,3121,4091,3061,4091,8032,2005,3005,4005,5005,,,,,,,,,,
Needle Hornet,12177,12175,12177,12177,12175,12175,12177,10001,10171,12175,12177,12175,12196,12175,12196,12175,12196,12196,12175,10407,12175,10407,12175,,,1,1,2,3,3,5061,4091,3061,4091,3061,8331,2006,3006,4006,5006,8101,8003,8202,8231,9002,,,,,
