????,ARMS\arm1_00100.txt,ARMS\arm2_00100.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Set,Dynamic EQ,Trade Key,Expire,Prefix,
???????,ARMS\arm1_00100.txt,ARMS\arm2_00100.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Gloves,ARMS\arm1_00400.txt,ARMS\arm2_00400.txt,,143,150,0,1,10,416,242,579,,,,,,,,,,,,,,,,,,25,,1,1,,,,,,,LARM002
Leather Gloves,ARMS\arm1_00200.txt,ARMS\arm2_00200.txt,,143,200,0,1,11,417,242,579,,,,,,,,31,4,,,,,,,,,26,,2,1,,,,,,,LARM003
Dumb Gloves,ARMS\arm1_00600.txt,ARMS\arm2_00600.txt,,143,350,0,1,12,418,242,579,,,,,,,,31,5,,,,,,,,,26,,3,1,,,,,,0,LARM004
Safe Gloves,ARMS\arm1_00600.txt,ARMS\arm2_00600.txt,,143,750,0,1,12,419,242,579,,,,,,,,31,7,,,,24,1,,,,26,,4,1,,,,,,0,LARM005
Action Gloves,ARMS\arm1_00300.txt,ARMS\arm2_00300.txt,,143,1200,0,1,13,420,242,579,,,,,,,,31,10,,,,24,2,,,,26,,4,2,,,,,,0,LARM006
Full Action Gloves,ARMS\arm1_00300.txt,ARMS\arm2_00300.txt,,143,1400,0,1,15,421,242,579,19,1,281,22,,,,31,15,,,,24,2,,,,27,,5,1,,,,,,0,LARM007
Gray Gloves,ARMS\arm1_00310.txt,ARMS\arm2_00310.txt,,143,2100,0,1,16,422,242,579,19,1,282,23,,,,31,20,,,,24,3,,,,27,,5,3,,,,,,0,LARM008
Hill Gray Gloves,ARMS\arm1_00310.txt,ARMS\arm2_00310.txt,,143,2450,0,1,18,423,242,579,19,2,283,24,,,,31,25,,,,24,3,,,,28,,6,2,,,,,,0,LARM009
Gloves of Iguje,ARMS\arm1_01000.txt,ARMS\arm2_01000.txt,,143,3200,0,1,19,424,242,579,19,2,284,25,,,,31,30,,,,24,4,,,,28,,6,3,,,,,,0,LARM010
Islamic Gloves,ARMS\arm1_01000.txt,ARMS\arm2_01000.txt,,143,3650,0,1,21,425,242,579,19,2,285,28,,,,31,35,,,,24,4,,,,29,,7,2,,,,,,0,LARM011
Venetian Gloves,ARMS\arm1_00601.txt,ARMS\arm2_00601.txt,,143,3700,0,1,22,426,242,579,19,3,286,27,,,,31,40,,,,24,3,,,,29,,8,3,,,,,,0,LARM012
Luxurious Venetian Gloves,ARMS\arm1_00601.txt,ARMS\arm2_00601.txt,,143,5050,0,1,24,427,242,579,19,3,287,28,,,,31,45,,,,24,4,,,,30,,9,3,,,,,,0,LARM013
Junior Gloves,ARMS\arm1_03700.txt,ARMS\arm2_03700.txt,,143,7300,0,1,27,429,242,579,,3,,,,,,31,55,,,,24,5,,,,30,,10,5,,,,,,0,LARM014
Senior Gloves,ARMS\arm1_03800.txt,ARMS\arm2_03800.txt,,143,9150,0,1,29,430,242,579,,4,,,,,,31,63,,,,24,6,,,,31,,11,4,,,,,,0,LARM015
Redfield Green Gloves,ARMS\arm1_04000.txt,ARMS\arm2_04000.txt,,143,11400,0,1,37,432,242,579,19,4,288,32,,,,31,75,,,,24,4,,,,32,,14,5,,,,,,0,LARM016
Redfield Black Gloves,ARMS\arm1_03900.txt,ARMS\arm2_03900.txt,,143,14050,0,1,38,433,242,579,19,5,289,33,,,,31,83,,,,24,5,,,,33,,15,6,,,,,,0,LARM017
Redfield Red Gloves,ARMS\arm1_F00180.txt,ARMS\arm2_F00180.txt,,143,17400,0,1,39,469,242,579,19,6,290,34,,,,31,95,,,,24,6,,,,34,,17,7,,,,,,0,LARM018
Redfield Blue Gloves,,,,143,21300,0,1,40,470,242,579,19,7,291,35,,,,31,103,,,,24,7,,,,35,,20,8,,,,,,0,LARM019
Blue Moldie Ring,,,,143,29150,0,1,42,2962,242,579,,,,,,,,,,,,,,,,,,20,,10,10,,,,,,0,LARM020
Pink Moldie Ring,,,,143,31600,0,1,44,2972,242,579,,,,,,,,,,,,,,,,,,20,,10,10,,,,,,0,LARM021
Moon Flower Gloves,,,6,143,20550,0,1,40,10039,242,579,,,,,,,,31,115,,,,24,7,,,,35,,19,9,,,,,,0,LARM022
,,,,143,47900,0,1,47,438,242,579,,8,,,,,,31,132,,,,24,6,,,,38,,26,11,,,,,,0,
,,,,143,58300,0,1,50,439,242,579,,8,,,,,,31,142,,,,24,6,,,,39,,28,12,,,,,,0,
,,,,143,65500,0,1,51,440,242,579,,9,,,,,,31,148,,,,24,7,,,,40,,30,9,,,,,,0,
,,,,143,80900,0,1,54,442,242,579,,9,,,,,,31,156,,,,24,7,,,,41,,33,8,,,,,,0,
,,,,143,94850,0,1,55,443,242,579,,10,,,,,,31,162,,,,24,8,,,,41,,34,15,,,,,,0,
,,,,143,117600,0,1,59,444,242,579,,10,,,,,,31,174,,,,24,7,,,,43,,37,16,,,,,,0,
,,,,143,133450,0,1,60,445,242,579,,10,,,,,,31,180,,,,24,8,,,,43,,39,17,,,,,,0,
,,,1,143,100,0,1,10,446,242,579,,,,,,,,,,,,,,,,,,25,,1,1,,,,,,0,
Soldier Gloves,ARMS\arm1_00300.txt,ARMS\arm2_00300.txt,,141,650,0,2,13,455,226,580,,,,,41,,,31,10,,,,,,,,,27,,5,1,,,,,,0,LARM031
Iron Gauntlets,ARMS\arm1_00500.txt,ARMS\arm2_00500.txt,,141,1950,0,3,19,456,226,580,17,1,251,22,41,,,31,30,,,,,,,,,28,,8,2,,,,,,0,LARM032
Trunket Gloves,ARMS\arm1_01700.txt,ARMS\arm2_01700.txt,,141,4350,0,3,25,457,226,580,17,2,252,27,41,,,31,50,,,,,,,,,30,,11,3,,,,,,0,LARM033
Chrome Gauntlets,ARMS\arm1_02500.txt,ARMS\arm2_02500.txt,,141,8950,0,3,30,458,226,580,17,3,253,32,51,,,31,70,,,,,,,,,32,,15,4,,,,,,0,LARM034
Mighty Gauntlets,ARMS\arm1_02100.txt,ARMS\arm2_02100.txt,,141,16650,0,3,36,459,226,580,17,4,254,35,51,,,31,88,,,,,,,,,34,,19,5,,,,,,0,LARM035
Kurash Gauntlets,ARMS\arm1_02600.txt,ARMS\arm2_02600.txt,,141,26600,0,5,40,460,226,580,17,5,255,40,51,,,31,104,,,,,,,,,36,,23,6,,,,,,0,LARM036
Plate Gauntlets,ARMS\arm1_01100.txt,ARMS\arm2_01100.txt,,141,40800,0,5,45,461,226,580,17,6,256,45,51,,,31,120,,,,,,,,,37,,27,7,,,,,,0,LARM037
Durable Gloves,ARMS\arm1_04800.txt,ARMS\arm2_04800.txt,,141,62595,0,5,49,462,226,580,17,7,257,48,51,,,31,145,,,,,,,,,41,,36,10,,,,,,0,LARM030
Cedric Gloves,ARMS\arm1_05100.txt,ARMS\arm2_05100.txt,,141,83655,0,5,54,463,226,580,17,8,258,52,51,,,31,155,,,,,,,,,43,,42,12,,,,,,0,LARM038
Execution Gloves,ARMS\arm1_05800.txt,ARMS\arm2_05800.txt,,141,132200,0,5,58,464,226,580,17,9,259,58,51,,,31,165,,,,,,,,,43,,48,14,,,,,,0,LARM039
Abyss Plate Gauntlets,ARMS\arm1_06600.txt,ARMS\arm2_06600.txt,,141,177900,0,5,60,465,226,580,17,10,260,62,51,,,31,175,,,,,,,,,45,,54,15,,,,,,0,LARM040
Righteous Plate Gauntlets,ARMS\arm1_04800.txt,ARMS\arm2_04800.txt,,141,197900,0,5,65,466,226,580,17,11,,65,51,,,31,185,,,,,,,,,47,,60,16,,,,,,0,LARM041
Jabberwock Gauntlets,ARMS\arm1_07500.txt,ARMS\arm2_07500.txt,,141,232290,0,5,70,468,226,580,17,12,,70,51,,,31,200,,,,,,,,,52,,66,17,,,,,,0,LARM042
Obsidian Plate Gauntlets,ARMS\arm1_08500.txt,ARMS\arm2_08500.txt,,141,284240,0,5,56,471,226,580,,,,,51,,,31,210,,,,,,,,,55,,72,18,,,,,,0,LARM043
Soldier 1,ARMS\arm1_career001_a.txt,ARMS\arm2_career001_a.txt,,141,1,0,5,56,3270,226,580,,,,,51,,,31,210,,,,,,,,,58,,100,100,,,,,,0,LARM044
Valiant Guardian Gauntlets of Rebirth,ARMS\arm1_career005_e.txt,ARMS\arm2_career005_e.txt,6,141,199900,0,5,58,3274,226,580,,,,,51,,,111,8,,,,,,,,,75,,9,3,,,,,,0,LARM045
Soldier 2,ARMS\arm1_career001_1a.txt,ARMS\arm2_career001_1a.txt,,141,1,0,5,56,3279,226,580,,,,,51,,,31,210,,,,,,,,,58,,100,100,,,,,,0,LARM046
Valiant Guardian Gauntlets,ARMS\arm1_career005_1e.txt,ARMS\arm2_career005_1e.txt,6,141,302160,0,5,56,3283,226,580,,,,,51,,,31,210,,,,10,1,,23,25,58,,76,18,,,,392,,0,LARM047
Merciful Dawnfrost Gauntlets (Warrior),ARMS\arm1_career_a_001.txt,ARMS\arm2_career_a_001.txt,,141,332445,0,5,65,3287,226,580,,,182,,51,,,31,205,,,,18,-20,,148,-3,55,,82,21,,23,,,,0,LARM049
Ruthless Dawnfrost Gauntlets (Warrior),ARMS\arm1_career_a_002.txt,ARMS\arm2_career_a_002.txt,,141,332445,0,5,65,3292,226,580,,,182,,51,,,31,205,,,,18,20,,148,2,55,,49,12,,24,,,,0,LARM050
Aurum Plate Gauntlets,ARMS\arm1_soldier200.txt,ARMS\arm2_soldier200.txt,,141,332445,0,5,56,3824,226,580,,,,,51,,,31,220,,,,,,,,,68,,80,19,,,,,,0,LARM51
Heavy Frost Gloves,ARMS\arm1_sodSoldier.txt,ARMS\arm2_sodSoldierGloves.txt,,141,12000,0,2,59,4853,226,579,,,,,41,,,31,160,,,,,,,,,46,12,313,79,,,,,,0,LARM52
Harbinger Gauntlets,ARMS\arm1_soldier_master.txt,ARMS\arm2_soldier_master.txt,,141,365598,0,5,60,9598,226,580,,,,,51,,,140,10,,,,,,,,,70,,88,20,,,,,,0,LARM53
Soldier 2023 1,,,,141,365598,0,5,60,9331,226,580,,,,,51,,,31,228,,,,,,,,,70,,88,20,,,,,,0,LARM054
Soldier 2023 2,,,,141,365598,0,5,60,9332,226,580,,,,,51,,,31,228,,,,,,,,,70,,88,20,,,,,,0,LARM055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,
Spiritual Gloves,ARMS\arm1_02700.txt,ARMS\arm2_02700.txt,,142,850,0,2,15,481,234,579,,,,,42,,,31,10,,,,,,,,,27,,5,2,,0,,,,0,LARM061
Green Gloves of Witch,ARMS\arm1_01600.txt,ARMS\arm2_01600.txt,,142,1900,0,2,21,482,234,579,18,1,261,17,42,,,31,30,,,,,,,,,28,,7,3,,0,,,,0,LARM062
Purple Gloves of Witch,ARMS\arm1_01200.txt,ARMS\arm2_01200.txt,,142,4650,0,2,28,483,234,579,18,2,262,22,42,,,31,50,,,,,,,,,30,,10,5,,0,,,,0,LARM063
Violet Gloves,ARMS\arm1_02400.txt,ARMS\arm2_02400.txt,,142,8700,0,2,34,484,234,579,18,3,263,27,52,,,31,70,,,,,,,,,32,,13,6,,0,,,,0,LARM064
Gloves of Shadow,ARMS\arm1_01900.txt,ARMS\arm2_01900.txt,,142,14850,0,2,39,485,234,579,18,4,264,30,52,,,31,88,,,,,,,,,34,,16,8,,0,,,,0,LARM065
Velvet Gloves of Witch,ARMS\arm1_00700.txt,ARMS\arm2_00710.txt,,142,25300,0,2,44,486,234,579,18,5,265,35,52,,,31,104,,,,,,,,,35,,20,10,,0,,,,0,LARM066
Heaven's Gloves,ARMS\arm1_04100.txt,ARMS\arm2_04100.txt,,142,36700,0,2,49,487,234,579,18,6,266,45,52,,,31,120,,,,,,,,,37,,23,11,,0,,,,0,LARM067
Fairy Gloves,ARMS\arm1_05000.txt,ARMS\arm2_05000.txt,,142,53595,0,2,55,488,234,579,18,7,267,48,52,,,31,145,,,,,,,,,40,,31,15,,0,,,,0,LARM060
Joker Gloves,ARMS\arm1_05300.txt,ARMS\arm2_05300.txt,,142,71415,0,2,59,489,234,579,18,8,268,52,52,,,31,155,,,,,,,,,42,,36,18,,0,,,,0,LARM068
Mystic Weaver Gloves,ARMS\arm1_06400.txt,ARMS\arm2_06400.txt,,142,118400,0,2,64,490,234,579,18,9,269,58,52,,,31,165,,,,,,,,,44,,40,19,,0,,,,0,LARM069
Serenity Gloves,ARMS\arm1_06000.txt,ARMS\arm2_06000.txt,,142,165850,0,2,68,491,234,579,18,10,270,62,52,,,31,175,,,,,,,,,46,,44,20,,0,,,,0,LARM070
Archmage Gloves,ARMS\arm1_06800.txt,ARMS\arm2_06800.txt,,142,205850,0,2,72,492,234,579,18,11,,65,52,,,31,185,,,,,,,,,49,,48,21,,0,,,,0,LARM071
Dimple Gloves,ARMS\arm1_07200.txt,ARMS\arm2_07200.txt,,142,245850,0,2,75,507,234,579,18,12,,70,52,,,31,200,,,,,,,,,53,,52,22,,0,,,,0,LARM072
Royal Sage Gloves,ARMS\arm1_08200.txt,ARMS\arm2_08200.txt,,142,295850,0,2,78,472,234,579,,,,,52,,,31,210,,,,,,,,,58,,56,23,,0,,,,0,LARM073
Muse 1,ARMS\arm1_career002_b.txt,ARMS\arm2_career002_b.txt,,142,1,0,2,78,3271,234,579,,,,,52,,,31,210,,,,,,,,,60,,100,100,,,,,,0,LARM074
Caster Gloves of Rebirth,ARMS\arm1_career006_f.txt,ARMS\arm2_career006_f.txt,6,142,216000,0,2,78,3276,234,579,,,,,52,,,111,8,,,,,,,,,75,,8,3,,,,,,0,LARM075
Muse 2,ARMS\arm1_career002_1b.txt,ARMS\arm2_career002_1b.txt,,142,1,0,2,78,3280,234,579,,,,,52,,,31,210,,,,,,,,,60,,100,100,,,,,,0,LARM076
Burning Gloves of Caster,ARMS\arm1_career006_1f.txt,ARMS\arm2_career006_1f.txt,6,142,313210,0,2,78,3284,234,579,,,,,52,,,31,210,,,,12,1,,19,3,61,,59,23,,0,,392,,0,LARM077
Merciful Dawnfrost Gloves (Maiden),ARMS\arm1_career_a_003.txt,ARMS\arm2_career_a_003.txt,,142,341154,0,2,65,3289,234,579,,,182,,52,,,31,205,,,,18,-20,,148,-3,55,,62,27,,25,,,,0,LARM079
Ruthless Dawnfrost Gloves (Maiden),ARMS\arm1_career_a_004.txt,ARMS\arm2_career_a_004.txt,,142,341154,0,2,65,3293,234,579,,,182,,52,,,31,205,,,,18,20,,148,2,55,,61,16,,26,,,,0,LARM080
Oro's Walker Gloves,ARMS\arm1_muse200.txt,ARMS\arm2_muse200.txt,,142,341154,0,2,78,3837,234,579,,,,,52,,,31,220,,,,,,,,,68,,61,24,,0,,,,0,LARM81
Light Frost Gloves,ARMS\arm1_sodMuseGloves.txt,ARMS\arm2_sodMuseGloves.txt,,142,12000,0,2,59,4855,234,579,,,,,42,,,31,160,,,,,,,,,23,29,147,169,,,,,,0,LARM82
Magus Gloves,ARMS\arm1_muse_master.txt,ARMS\arm2_muse_master.txt,,142,389940,0,2,79,9599,234,579,,,,,52,,,140,10,,,,,,,,,69,,66,25,,0,,,,0,LARM83
Muse 2023 1,,,,142,389940,0,2,79,9334,234,579,,,,,52,,,31,228,,,,,,,,,69,,66,25,,0,,,,0,LARM084
Muse 2023 2,,,,142,389940,0,2,79,9335,234,579,,,,,52,,,31,228,,,,,,,,,69,,66,25,,0,,,,0,LARM085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,
