,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistence,Move Speed,Item Set,Dynamic EQ,Trade Key,Expire,Effect,NPC,Space,Prefix,
Little Black Seraph Wing,,,,163,58600,0,0,30,734,248,579,,,,180,,,,31,30,,,,23,40,,,,60,5,1,1,,,,,,,,,,LBAC001
Little Blue Seraph Wing,,,,163,58600,0,0,30,735,248,579,,,,180,,,,31,30,,,,23,40,,,,60,5,1,1,,,,,,,,,,LBAC002
Little White Seraph Wing,,,,163,58600,0,0,30,736,248,579,,,,180,,,,31,30,,,,23,40,,,,60,5,1,1,,,,,,,,,,LBAC003
Little Pink Seraph Wing,,,,163,58600,0,0,30,737,248,579,,,,180,,,,31,30,,,,23,40,,,,60,5,1,1,,,,,,,,,,LBAC004
Heart Astarot Wing,,,,163,1000,0,0,28,699,248,579,93,1,1844,1,,,,,,,,,23,50,,28,25,22,10,5,10,,,,,,,,,,LBAC005
Heart Backshield,,,,161,1000,0,0,28,700,248,579,93,1,1842,1,,,,,,,,,14,20,,27,25,22,10,10,5,,,,,,,,,,LBAC006
Red Dragon Wings (STR),,,,163,483100,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,10,10,70,,39,47,,,,,,,,,,LBAC007
Red Dragon Wings (DEX),,,,163,483100,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,11,10,70,,39,47,,,,,,,,,,LBAC008
Red Dragon Wings (CHA),,,,163,483100,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,14,10,70,,39,47,,,,,,,,,,LBAC009
Red Dragon Wings ,,,,163,684000,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,26,20,70,,39,47,,,,,,,,,,LBAC010
Blue Dragon Wings (INT),,,,163,483100,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,12,10,70,,39,47,,,,,,,,,,LBAC011
Blue Dragon Wings (CON),,,,163,483100,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,13,10,70,,39,47,,,,,,,,,,LBAC012
Blue Dragon Wings (SEN),,,,163,483100,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,15,10,70,,39,47,,,,,,,,,,LBAC013
Blue Dragon Wings ,,,,163,684000,0,40,70,1,248,579,,,,,,,,31,172,,,,23,175,,24,20,70,,39,47,,,,,,,,,,LBAC014
Nephthys Wings,BACK\goldwing.txt,,,163,12000000,0,45,70,4028,248,579,,,,,,,,31,190,,,,23,165,,18,30,70,,36,46,,,,,,,,,,LBAC015
Transparent Wing,,,,163,100000,0,5,10,5120,248,579,,,,,,,,,,,,,,,,,,30,,0,0,,,,,,,,,,LBAC016
Corrupted Sun Backshield,,,,161,12000000,0,68,75,5305,248,579,,,,,,,,31,200,,,,24,20,,18,10,70,,69,35,,,,,,702,,,,LBAC017
Akram Kingdom Cape,,,,161,100000,0,15,50,5311,248,579,,,,,,,,,,,,,,,,,,75,,10,10,,,,,,,,,,LBAC018
Beetle Shell,,,,161,6000,0,10,20,5357,248,579,,,,,,,,31,15,,,,19,10,,,,40,,3,2,,,,,,,,,,LBAC019
Astarot Wings of Storms,BACK\back_wing15_1.txt,,7,163,1000,0,10,16,3725,248,579,,,,,,,,,,,,,23,75,,10,7,50,,25,45,,,,,,,,,,LBAC20
Astarot Wings of Blight,BACK\back_wing15_2.txt,,7,163,1000,0,10,16,3726,248,579,,,,,,,,,,,,,23,75,,11,7,50,,25,45,,,,,,,,,,LBAC21
Astarot Wings of Frost,BACK\back_wing15_3.txt,,7,163,1000,0,10,16,3727,248,579,,,,,,,,,,,,,23,75,,12,7,50,,25,45,,,,,,,,,,LBAC22
Astarot Wings of Gloom,BACK\back_wing15_4.txt,,7,163,1000,0,10,16,3728,248,579,,,,,,,,,,,,,23,75,,13,7,50,,25,45,,,,,,,,,,LBAC23
Astarot Wings of Rage,BACK\back_wing15_5.txt,,7,163,1000,0,10,16,3729,248,579,,,,,,,,,,,,,23,75,,14,7,50,,25,45,,,,,,,,,,LBAC24
Astarot Wings of Despair,BACK\back_wing15_6.txt,,7,163,1000,0,10,16,3731,248,579,,,,,,,,,,,,,23,75,,15,7,50,,25,45,,,,,,,,,,LBAC25
