,BODY\body1_001.txt,BODY\body2_001.txt,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Item Set,Dynamic EQ,Trade Key,Expire,Prefix,
,BODY\body1_001.txt,BODY\body2_001.txt,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Flower Shorts ,BODY\body1_00900.txt,BODY\body2_00900.txt,,133,200,0,10,20,260,241,579,,,,,,,,,,,,,,,,,,34,,13,3,1,,,,,,LBOD002
Leopard Ensemble,BODY\body1_00800.txt,BODY\body2_00800.txt,,133,300,0,10,20,261,241,579,,,,,,,,,,,,,,,,,,34,,14,5,1,,,,,,LBOD003
Blue Wild Jeans,BODY\body1_00410.txt,BODY\body2_00401.txt,,133,450,0,10,22,262,241,579,,,,,,,,31,5,,,,,,,,,35,,16,6,1,,,,,,LBOD004
Yellow Wild Jeans,BODY\body1_00411.txt,BODY\body2_00402.txt,,133,1450,0,10,23,263,241,579,,,,,,,,31,7,,,,38,30,,,,35,,17,6,1,,,,,,LBOD005
Natalie Look,BODY\body1_00401.txt,BODY\body2_00420.txt,,133,2050,0,10,24,264,241,579,,,,,,,,31,10,,,,38,36,,,,36,,18,7,1,,,,,,LBOD006
Yellow Denim Look,BODY\body1_004.txt,BODY\body2_004.txt,,133,3400,0,10,26,265,241,579,19,1,231,18,,,,31,15,,,,38,46,,,,36,,20,8,1,,,,,,LBOD007
Blue Denim Look,BODY\body1_00402.txt,BODY\body2_00410.txt,,133,5050,0,10,28,266,241,579,19,1,232,22,,,,31,20,,,,38,56,,,,37,,22,9,1,,,,,,LBOD008
Brown Denim Look,BODY\body1_00300.txt,BODY\body2_00300.txt,,133,7200,0,10,30,267,241,579,19,2,233,26,,,,31,25,,,,38,66,,,,38,,24,10,1,,,,,,LBOD009
Islamic Dress,BODY\body1_01000.txt,BODY\body2_01000.txt,,133,10050,0,10,32,268,241,579,19,2,234,30,,,,31,30,,,,38,76,,,,39,,27,11,1,,,,,,LBOD010
Venetian Dress,BODY\body1_006.txt,BODY\body2_006.txt,,133,13150,0,10,34,269,241,579,19,2,235,34,,,,31,35,,,,38,86,,,,39,,29,12,1,,,,,,LBOD011
Fancy Sky,BODY\body1_00200.txt,BODY\body2_00200.txt,,133,17000,0,10,36,270,241,579,19,3,236,36,,,,31,40,,,,38,96,,,,40,,31,14,1,,,,,,LBOD012
Fancy Blue,BODY\body1_00200.txt,BODY\body2_00200.txt,,133,21850,0,10,38,271,241,579,19,3,237,38,,,,31,45,,,,38,106,,,,41,,34,15,1,,,,,,LBOD013
Junior Look,BODY\body1_03700.txt,BODY\body2_03700.txt,,133,33300,0,10,41,273,241,579,,3,,,,,,31,55,,,,38,126,,,,43,,40,18,1,,,,,,LBOD014
Senior Look,BODY\body1_03800.txt,BODY\body2_03800.txt,,133,45650,0,10,44,274,241,579,,4,,,,,,31,63,,,,38,142,,,,44,,45,20,1,,,,,,LBOD015
Redfield Green Suit,BODY\body1_04000.txt,BODY\body2_04000.txt,,133,41850,0,10,44,276,241,579,19,4,238,44,,,,31,75,,,,38,136,,,,44,,52,24,1,0,,,,,LBOD016
Redfield Black Suit,BODY\body1_03900.txt,BODY\body2_03900.txt,,133,50750,0,10,46,277,241,579,19,5,239,45,,,,31,83,,,,38,146,,,,45,,58,27,1,0,,,,,LBOD017
Redfield Red Suit,,,,133,60450,0,10,48,352,241,579,19,6,240,46,,,,31,95,,,,38,156,,,,45,,65,30,1,0,,,,,LBOD018
Redfield Blue Suit,,,,133,71800,0,10,50,353,241,579,19,7,241,47,,,,31,103,,,,38,166,,,,46,,70,33,1,0,,,,,LBOD019
Moon Flower Look,,,6,133,61500,0,10,49,10038,241,579,,,,,,,,31,115,,,,38,160,,39,160,46,,68,34,1,0,,,,,LBOD020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Body,BODY\body1_vampire.txt,BODY\body2_vampire.txt,,133,0,0,2,20,3734,243,579,,,,,,,,,,,,,,,,,,100,30,45,25,2,,,,,,LBOD25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventurer's Look (Don't edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
