,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistance,Male Hair,Item Set,Dynamic EQ,Female Hair,Trade Key,Expire,NPC,Effect,Prefix,
????????01,,,,123,0,0,3,14,,,579,,,,,,,,,,,,,,,,,,33,,5,2,,,,,,,,,,
Green Hat,CAP\cap_00300.txt,CAP\cap_00300.txt,,123,650,0,3,14,78,243,579,,,,,,,,,,,,,,,,,,33,,5,2,2,,,2,,,,,,LCAP002
Luxurious Green Hat,CAP\cap_00300.txt,CAP\cap_00300.txt,,123,650,0,3,15,79,243,579,,,,,,,,31,4,,,,,,,,,33,,5,2,2,,,2,,,,,,LCAP003
Bandana of Iguje,CAP\cap_01000.txt,CAP\cap_01000.txt,,123,1050,0,3,16,80,243,579,,,,,,,,31,5,,,,20,1,,,,33,,6,2,4,,,4,,,,,,LCAP004
Islamic Bandana,CAP\cap_01000.txt,CAP\cap_01000.txt,,123,1100,0,3,16,81,243,579,,,,,,,,31,7,,,,20,1,,,,34,,6,2,4,,,4,,,,,,LCAP005
Red Beret,CAP\cap_00100.txt,CAP\cap_00100.txt,,123,1450,0,3,17,82,243,579,,,,,,,,31,10,,,,20,2,,,,34,,6,3,2,,,2,,,,,,LCAP006
Red Leather Beret,CAP\cap_00100.txt,CAP\cap_00100.txt,,123,2100,0,3,19,83,243,579,19,1,131,17,,,,31,15,,,,20,3,,,,34,,7,3,2,,,2,,,,,,LCAP007
Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,2850,0,3,21,84,243,579,19,1,132,18,,,,31,20,,,,20,4,,,,35,,8,3,1,,,1,,,,,,LCAP008
Luxurious Rodeo Hat,CAP\cap_004.txt,CAP\cap_004.txt,,123,3750,0,3,23,85,243,579,19,2,133,19,,,,31,25,,,,20,5,,,,35,,8,4,1,,,1,,,,,,LCAP009
Joker Jester,CAP\cap_00500.txt,CAP\cap_00500.txt,,123,4750,0,3,24,86,243,579,19,2,134,20,,,,31,30,,,,20,6,,,,36,,9,4,2,,,2,,,,,,LCAP010
Cake,CAP\cap_00500.txt,CAP\cap_00500.txt,,123,6200,0,3,26,87,243,579,19,2,135,21,,,,31,35,,,,20,7,,,,36,,10,5,2,,,2,,,,,,LCAP011
Venetian Hat,CAP\cap_006.txt,CAP\cap_006.txt,,123,7950,0,3,28,88,243,579,19,3,136,22,,,,31,40,,,,20,8,,,,37,,11,6,2,,,2,,,,,,LCAP012
Luxurious Venetian Hat ,CAP\cap_006.txt,CAP\cap_006.txt,,123,9550,0,3,29,89,243,579,19,3,137,23,,,,31,45,,,,20,9,,,,38,,12,6,2,,,2,,,,,,LCAP013
Junior Cap,CAP\cap_03700.txt,CAP\cap2_03700.txt,,123,14100,0,3,33,91,243,579,,3,,,,,,31,55,,,,20,11,,,,39,,14,7,2,,,2,,,,,,LCAP014
Senior Cap,CAP\cap_03800.txt,CAP\cap2_03800.txt,,123,19050,0,3,35,92,243,579,,4,,,,,,31,63,,,,20,13,,,,40,,16,8,2,,,2,,,,,,LCAP015
Redfield Green Hat,CAP\cap1_04000.txt,CAP\cap2_04000.txt,,123,26350,0,3,39,94,243,579,19,4,138,27,,,,31,75,,,,20,15,,,,41,,18,10,2,,,2,,,,,,LCAP016
Redfield Black Hat,CAP\cap_03900.txt,CAP\cap2_03900.txt,,123,33600,0,3,41,95,243,579,19,5,139,28,,,,31,83,,,,20,17,,,,42,,20,11,2,,,2,,,,,,LCAP017
Redfield Red Hat,CAP\cap1_F00180.txt,CAP\cap1_F00180.txt,,123,45650,0,3,43,132,243,579,19,6,140,29,,,,31,95,,,,20,19,,,,43,,23,13,2,,,2,,,,,,LCAP018
Redfield Blue Hat,CAP_A04000,CAP_A04000,,123,53650,0,3,45,133,243,579,19,7,141,30,,,,31,103,,,,20,21,,,,44,,27,16,2,,,2,,,,,,LCAP019
Moon Flower Headdress,,,6,123,49980,0,3,44,10037,243,579,,,,,,,,31,115,,,,20,20,,24,3,44,,25,17,4,,,4,,,,,,LCAP020
????????21,,,,123,74900,0,3,52,98,243,579,,7,,,,,,31,116,,,,20,23,,,,46,,28,17,,,,,,,,,,
????????22,,,,123,92400,0,3,54,99,243,579,,7,,,,,,31,125,,,,20,25,,,,47,,31,19,,,,,,,,,,
????????23,,,,123,105250,0,3,56,100,243,579,,8,,,,,,31,132,,,,20,26,,,,48,,33,20,,,,,,,,,,
????????24,,,,123,127000,0,3,59,101,243,579,,8,,,,,,31,142,,,,20,28,,,,49,,35,23,,,,,,,,,,
????????25,,,,123,146650,0,3,61,,243,579,,9,,,,,,31,148,,,,20,30,,,,50,,37,24,,,,,,,,,,
????????26,,,,123,172350,0,3,64,,243,579,,9,,,,,,31,156,,,,20,31,,,,51,,40,26,,,,,,,,,,
????????27,,,,123,192300,0,3,66,,243,579,,10,,,,,,31,162,,,,20,32,,,,52,,42,27,,,,,,,,,,
????????28,,,,123,242900,0,3,70,,243,579,,10,,,,,,31,174,,,,20,35,,,,53,,46,30,,,,,,,,,,
????????29,,,,123,276000,0,3,72,,243,579,,10,,,,,,31,180,,,,20,36,,,,54,,49,32,,,,,,,,,,
????????30,,,,123,108700,0,3,58,,243,579,,,,,,,,31,130,,,,20,26,,,,48,,5,2,,,,,,,,,,
Soldier Helm,CAP\cap_01400.txt,CAP\cap_01400.txt,,121,1100,0,10,13,117,227,580,,,,,41,,,31,10,,,,,,,,,34,,8,2,2,0,,2,,,,,,LCAP031
Iron Helm,CAP\cap_00200.txt,CAP\cap_00200.txt,,121,2400,0,10,18,118,227,580,17,1,101,22,41,,,31,30,,,,,,,,,36,,11,3,2,0,,2,,,,,,LCAP032
Trunket Helm,CAP\cap_01700.txt,CAP\cap_01700.txt,,121,5400,0,10,24,119,227,580,17,2,102,26,41,,,31,50,,,,,,,,,38,,15,5,2,0,,2,,,,,,LCAP033
Chrome Helm,CAP\cap_02500.txt,CAP\cap_02500.txt,,121,11150,0,10,29,120,227,580,17,3,103,30,51,,,31,70,,,,,,,,,41,,20,8,2,0,,2,,,,,,LCAP034
Mighty Helm,CAP\cap_02100.txt,CAP\cap_02100.txt,,121,19600,0,10,34,121,227,580,17,4,104,33,51,,,31,88,,,,,,,,,43,,25,10,2,0,,2,,,,,,LCAP035
Kurash Helm,CAP\cap_02600.txt,CAP\cap_02600.txt,,121,29250,0,10,38,122,227,580,17,5,105,37,51,,,31,104,,,,,,,,,45,,29,12,4,0,,4,,,,,,LCAP036
Plate Helm,CAP\cap_00800.txt,CAP\cap_00800.txt,,121,44500,0,10,42,123,227,580,17,6,106,42,51,,,31,120,,,,,,,,,47,,34,15,2,0,,2,,,,,,LCAP037
Durable Band,CAP\cap1_04800.txt,CAP\cap2_04800.txt,,121,68310,0,10,44,124,227,580,17,7,107,45,51,,,31,145,,,,,,,,,51,,45,20,0,0,,0,,,,,,LCAP030
Cedric Band,CAP\cap1_05100.txt,CAP\cap2_05100.txt,,121,90045,0,10,46,125,227,580,17,8,108,46,51,,,31,155,,,,,,,,,54,,53,24,0,0,,0,,,,,,LCAP038
Execution Band,CAP\cap1_06200.txt,CAP\cap2_06200.txt,,121,138000,0,10,48,126,227,580,17,9,109,48,51,,,31,165,,,,,,,,,57,,59,33,0,0,,0,,,,,,LCAP039
Abyss Plate Helm,CAP\cap1_05800.txt,CAP\cap2_05800.txt,,121,154650,0,10,50,127,227,580,17,10,110,49,51,,,31,175,,,,,,,,,60,,65,35,4,0,,4,,,,,,LCAP040
Righteous Plate Helm,CAP\cap1_06600.txt,CAP\cap2_06600.txt,,121,173500,0,10,52,128,227,580,17,11,,50,51,,,31,185,,,,,,,,,65,,71,37,4,0,,4,,,,,,LCAP041
Jabberwock Helm,CAP\cap1_07500.txt,CAP\cap2_07500.txt,,121,204650,0,10,54,130,227,580,17,12,,51,51,,,31,200,,,,,,,,,68,,80,39,4,0,,4,,,,,,LCAP042
Obsidian Plate Helm,CAP\cap1_08500.txt,CAP\cap2_08500.txt,,121,241370,0,10,60,170,227,580,,,,,51,,,31,210,,,,,,,,,70,,89,41,,0,,,,,,,,LCAP043
Soldier 1,CAP\cap1_career001_a.txt,CAP\cap2_career001_a.txt,,121,1,0,10,60,3244,227,580,,,,,51,,,31,210,,,,,,,,,72,,100,100,2,,,2,,,,,,LCAP044
Valiant Guardian Helm of Rebirth,CAP\cap1_career005_e.txt,CAP\cap2_career005_e.txt,6,121,163000,0,10,60,3248,227,580,,,,,51,,,111,8,,,,,,,,,75,,11,5,4,,,4,,,,,,LCAP045
Soldier 3,CAP\cap1_career001_1a.txt,CAP\cap2_career001_1a.txt,,121,1,0,10,60,3253,227,580,,,,,51,,,31,210,,,,,,,,,72,,100,100,4,,,4,,,,,,LCAP046
Valiant Guardian Helm,CAP\cap1_career005_1e.txt,CAP\cap2_career005_1e.txt,6,121,263400,0,10,60,3257,227,580,,,,,51,,,31,210,,,,10,1,,18,3,72,,95,41,4,0,,4,392,,,,,LCAP047
Merciful Dawnfrost Helm (Warrior),CAP\cap1_career_a_001.txt,CAP\cap2_career_a_001.txt,,121,284474,0,10,65,3261,227,580,,,182,,51,,,31,205,,,,18,-20,,148,-3,55,,100,48,4,23,,4,,,,,,LCAP049
Ruthless Dawnfrost Helm (Warrior),CAP\cap1_career_a_002.txt,CAP\cap2_career_a_002.txt,,121,284474,0,10,65,3266,227,580,,,182,,51,,,31,205,,,,18,20,,148,2,55,,60,29,4,24,,4,,,,,,LCAP050
Aurum Plate Helm,CAP\cap1_soldier200.txt,CAP\cap2_soldier200.txt,,121,284474,0,10,60,3823,227,580,,,,,51,,,31,220,,,,,,,,,72,,101,43,4,0,,4,,,,,,LCAP51
Heavy Frost Helm,CAP\cap1_sodSoldier.txt,CAP\cap2_sodSoldier.txt,,121,18000,0,2,63,4840,227,579,,,,,41,,,31,160,,,,,,,,,20,,370,88,2,,,2,,,,,2,LCAP52
Harbinger Helm,CAP\cap1_soldier_master.txt,CAP\cap2_soldier_master.txt,,121,326698,0,10,61,9572,227,580,,,,,51,,,140,10,,,,,,,,,73,,113,45,4,0,,2,,,,,,LCAP53
Soldier 2023 1,,,,121,326698,0,10,61,9349,227,580,,,,,51,,,31,228,,,,,,,,,73,,113,45,2,0,,2,,,,,,LCAP054
Soldier 2023 2,,,,121,326698,0,10,61,9350,227,580,,,,,51,,,31,228,,,,,,,,,73,,113,45,4,0,,4,,,,,,LCAP055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
Spiritual Beret ,CAP\cap_02700.txt,CAP\cap_02700.txt,,122,950,0,2,18,143,235,579,,,,,42,,,31,10,,,,,,,,,34,,5,4,2,0,,2,,,,,,LCAP061
Green Hat of Witch,CAP\cap_01600.txt,CAP\cap_01600.txt,,122,2950,0,2,24,144,235,579,18,1,111,18,42,,,31,30,,,,28,1,,,,36,,8,6,2,0,,2,,,,,,LCAP062
Purple Hat of Witch,CAP\cap_00710.txt,CAP\cap_00710.txt,,122,6500,0,2,30,145,235,579,18,2,112,22,42,,,31,50,,,,28,2,,,,38,,11,9,2,0,,2,,,,,,LCAP063
Violet Beret,CAP\cap_02400.txt,CAP\cap_02400.txt,,122,12250,0,2,36,146,235,579,18,3,113,26,52,,,31,70,,,,28,2,,,,40,,15,13,2,0,,2,,,,,,LCAP064
Hat of Shadow,CAP\cap_01900.txt,CAP\cap_01900.txt,,122,21200,0,2,41,147,235,579,18,4,114,30,52,,,31,88,,,,28,3,,,,42,,19,16,2,0,,2,,,,,,LCAP065
Velvet Hat of Witch,CAP\cap_007.txt,CAP\cap_007.txt,,122,32150,0,2,46,148,235,579,18,5,115,34,52,,,31,104,,,,28,3,,,,44,,23,19,2,0,,2,,,,,,LCAP066
Heaven's Bonnet,CAP\cap1_04100.txt,CAP\cap2_04100.txt,,122,49500,0,2,48,149,235,579,18,6,116,42,52,,,31,120,,,,28,4,,,,46,,27,23,2,0,,2,,,,,,LCAP067
Fairy Bonnet,CAP\cap1_05000.txt,CAP\cap2_05000.txt,,122,67770,0,2,50,150,235,579,18,7,117,45,52,,,31,145,,,,28,5,,,,50,,35,30,4,0,,4,,,,,,LCAP060
Joker Bonnet,CAP\cap1_05300.txt,CAP\cap2_05300.txt,,122,92070,0,2,53,151,235,579,18,8,118,46,52,,,31,155,,,,28,5,,,,52,,42,36,2,0,,2,,,,,,LCAP068
Mystic Weaver Bonnet,CAP\cap1_06400.txt,CAP\cap2_06400.txt,,122,140800,0,2,54,152,235,579,18,9,119,48,52,,,31,165,,,,28,5,,,,54,,49,40,2,0,,2,,,,,,LCAP069
Serenity Bonnet,CAP\cap1_06000.txt,CAP\cap2_06000.txt,,122,166500,0,2,56,154,235,579,18,10,120,49,52,,,31,175,,,,28,6,,,,56,,56,44,4,0,,4,,,,,,LCAP070
Archmage Bonnet,CAP\cap1_06800.txt,CAP\cap2_06800.txt,,122,183670,0,2,59,153,235,579,18,11,,50,52,,,31,185,,,,28,7,,,,59,,61,48,4,0,,4,,,,,,LCAP071
Dimple Bonnet,CAP\cap1_07200.txt,CAP\cap2_07200.txt,,122,213400,0,2,61,169,235,579,18,12,,51,52,,,31,200,,,,28,9,,,,62,,68,52,4,0,,4,,,,,,LCAP072
Royal Sage Headpiece,CAP\cap1_08200.txt,CAP\cap2_08200.txt,,122,266500,0,2,70,171,235,579,,,,,52,,,31,210,,,,28,10,,,,63,,75,56,,0,,,,,,,,LCAP073
Muse 1,CAP\cap1_career002_b.txt,CAP\cap2_career002_b.txt,,122,1,0,2,70,3245,235,579,,,,,52,,,31,210,,,,28,5,,,,68,,100,100,2,0,,2,,,,,,LCAP074
Caster Hat of Rebirth,CAP\cap1_career006_f.txt,CAP\cap2_career006_f.txt,6,122,103000,0,2,70,3250,235,579,,,,,52,,,111,8,,,,,,,,,75,,9,7,2,,,2,,,,,,LCAP075
Muse 2,CAP\cap1_career002_1b.txt,CAP\cap2_career002_1b.txt,,122,1,0,2,70,3254,235,579,,,,,52,,,31,210,,,,18,10,,,,68,,100,100,2,,,2,,,,,,LCAP076
Burning Hat of Caster,CAP\cap1_career006_1f.txt,CAP\cap2_career006_1f.txt,6,122,294300,0,2,70,3258,235,579,,,,,52,,,31,210,,,,12,1,,18,10,65,,80,58,2,,,2,392,,,,,LCAP077
Merciful Dawnfrost Bonnet (Maiden),CAP\cap1_career_a_003.txt,CAP\cap2_career_a_003.txt,,122,311445,0,2,65,3267,235,579,,,182,,52,,,31,205,,,,18,-20,,148,-3,55,,85,65,2,25,,2,,,,,,LCAP079
Ruthless Dawnfrost Bonnet (Maiden),CAP\cap1_career_a_004.txt,CAP\cap2_career_a_004.txt,,122,311445,0,2,65,3263,235,579,,,182,,52,,,31,205,,,,18,20,,148,2,55,,51,39,2,26,,2,,,,,,LCAP080
Oro's Walker Bonnet,CAP\cap1_muse200.txt,CAP\cap2_muse200.txt,,122,311445,0,2,70,3836,235,579,,,,,52,,,31,220,,,,28,17,,,,68,,84,61,0,,,0,,,,,,LCAP81
Light Frost Helm,CAP\cap1_sodMuse_2.txt,CAP\cap2_sodMuse_0.txt,,122,18000,0,2,63,4842,235,579,,,,,42,,,31,160,,,,,,,,,10,,173,189,2,,,2,,,,,2,LCAP82
Magus Bonnet,CAP\cap1_muse_master.txt,CAP\cap2_muse_master.txt,,122,359998,0,2,71,9573,235,579,,,,,52,,,140,10,,,,28,20,,,,69,,93,66,2,,,2,,,,,,LCAP83
Muse 2023 1,,,,122,359998,0,2,71,9351,235,579,,,,,52,,,31,228,,,,28,20,,,,69,,93,66,0,,,0,,,,,,LCAP084
Muse 2023 2,,,,122,359998,0,2,71,9352,235,579,,,,,52,,,31,228,,,,28,20,,,,69,,93,66,0,,,0,,,,,,LCAP085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
Hunter Hat,CAP\cap_02200.txt,CAP\cap_02200.txt,,123,1350,0,2,21,182,231,579,,,,,43,,,31,10,,,,,,,,,34,,7,2,2,0,,2,,,,,,LCAP091
Criker Hat,CAP\cap_03300.txt,CAP\cap_03300.txt,,123,3100,0,2,27,183,231,580,17,1,101,27,43,,,31,30,,,,,,,,,36,,10,4,2,0,,2,,,,,,LCAP092
Ranger Hat,CAP\cap_01410.txt,CAP\cap_01410.txt,,123,6200,0,2,34,184,231,579,17,2,102,31,43,,,31,50,,,,,,,,,38,,13,6,2,0,,2,,,,,,LCAP093
Black Pirate Hat,CAP\cap_01500.txt,CAP\cap_01500.txt,,123,12100,0,2,40,185,231,579,17,3,103,35,53,,,31,70,,,,,,,,,40,,17,9,2,0,,2,,,,,,LCAP094
Mariner's Hat,CAP\cap_02800.txt,CAP\cap_02800.txt,,123,22150,0,2,45,186,231,579,17,4,104,37,53,,,31,88,,,,,,,,,43,,22,12,2,0,,2,,,,,,LCAP095
Jaguar Hat ,CAP\cap_02000.txt,CAP\cap_02000.txt,,123,34250,0,2,50,187,231,579,17,5,105,40,53,,,31,104,,,,,,,,,44,,26,15,4,0,,4,,,,,,LCAP096
Wild Hawker Hat,CAP\cap1_04200.txt,CAP\cap2_04200.txt,,123,53450,0,2,55,188,231,579,17,6,106,42,53,,,31,120,,,,,,,,,47,,31,18,2,0,,2,,,,,,LCAP097
Pirate Hood,CAP\cap1_04700.txt,CAP\cap2_04700.txt,,123,70875,0,2,58,189,231,579,17,7,107,45,53,,,31,145,,,,,,,,,50,,40,24,4,0,,4,,,,,,LCAP090
Silentwalker Head,CAP\cap1_05200.txt,CAP\cap2_05200.txt,,123,96345,0,2,61,190,231,579,17,8,108,46,53,,,31,155,,,,,,,,,53,,47,29,2,0,,2,,,,,,LCAP098
Triggerman Head,CAP\cap1_06300.txt,CAP\cap2_06300.txt,,123,128200,0,2,64,192,231,579,17,9,109,48,53,,,31,165,,,,,,,,,56,,50,34,2,0,,2,,,,,,LCAP099
Captain Hawker Hat,CAP\cap1_05900.txt,CAP\cap2_05900.txt,,123,159640,0,2,65,193,231,579,17,10,110,49,53,,,31,175,,,,,,,,,59,,60,36,2,0,,2,,,,,,LCAP100
Netherworld Hat,CAP\cap1_04700.txt,CAP\cap2_04700.txt,,123,186700,0,2,67,191,231,579,17,11,,50,53,,,31,185,,,,,,,,,64,,66,38,2,0,,2,,,,,,LCAP101
Steel Resolve Hat,CAP\cap1_07400.txt,CAP\cap2_07400.txt,,123,203510,0,2,70,195,231,579,17,12,,51,53,,,31,200,,,,,,,,,68,,72,40,4,0,,4,,,,,,LCAP102
Shadow Fall Headband,CAP\cap1_08400.txt,CAP\cap2_08400.txt,,123,233400,0,2,75,172,231,579,,,,,53,,,31,210,,,,,,,,,70,,78,44,,0,,,,,,,,LCAP103
Hawker 1,CAP\cap1_career003_c.txt,CAP\cap2_career003_c.txt,,123,1,0,2,75,3246,231,579,,,,,53,,,31,210,,,,,,,,,75,,100,100,2,0,,2,,,,,,LCAP104
Reckless Ram Hat of Rebirth,CAP\cap1_career007_g.txt,CAP\cap2_career007_g.txt,6,123,163000,0,2,70,3251,231,579,,,,,53,,,111,8,,,,,,,,,75,,10,6,2,,,2,,,,,,LCAP105
Hawker 3,CAP\cap1_career003_1c.txt,CAP\cap2_career003_1c.txt,,123,1,0,2,75,3255,231,579,,,,,53,,,31,210,,,,,,,,,75,,100,100,2,,,2,,,,,,LCAP106
Reckless Ram Hat,CAP\cap1_career007_1g.txt,CAP\cap2_career007_1g.txt,6,123,242900,0,2,75,3259,231,579,,,,,53,,,31,210,,,,11,1,,18,3,71,,83,45,2,,,2,392,,,,,LCAP107
