desc,Type (Unused),Description (Unused),Filename (Required)
??????-npc-warrior1,??,NPC,3Ddata\Event\EM99-001.con
??????-npc-gypsy1,??,NPC,3Ddata\Event\EM99-002.con
??????-npc-magician1,??,NPC,3Ddata\Event\EM99-003.con
??????-npc-scholar,??,NPC,3Ddata\Event\EM99-004.con
??????-npc-archbishop1,??,NPC,3Ddata\Event\EM99-005.con
??????-npc-smith1,??,NPC,3Ddata\Event\EM99-006.con
??????-npc-mercenaries1,??,NPC,3Ddata\Event\EM99-007.con
??????-npc-Robber1,??,NPC,3Ddata\Event\EM99-008.con
??????-npc-barkeeper1,??,NPC,3Ddata\Event\EM99-009.con
??????-npc-scholar1,??,NPC,3Ddata\Event\EM99-010.con
??????-npc-youngman1.mon,??,NPC,3Ddata\Event\EM99-011.con
??????-npc-woman1.mon,??,NPC,3Ddata\Event\EM99-012.con
??????-npc-child1.mon,??,NPC,3Ddata\Event\EM99-013.con
??????-melendino.mon,??,NPC,3Ddata\Event\EM99-016.con
[Summer Event] July,??,NPC,3DDATA\Event\EM-2060.CON
[Zulie Exchange] Eda,??,NPC,3DDATA\Event\EM-2070.CON
[Racer] Tugnus,??,NPC,3DDATA\Event\EM-1479.CON
[Racer] Tugnus,??,NPC,3DDATA\Event\EM-1477.CON
[Crystal Defenders] Hera,??,NPC,3DDATA\Event\EM-2425.CON
[Farmer] Alice,??,NPC,3Ddata\Event\EM-1480.con
[World Cup] Arnold,??,NPC,3DDATA\Event\EM-1481.CON
[Halloween] Jack,??,NPC,3DDATA\Event\EM-1741.con
[Halloween] Ethan,??,NPC,3DDATA\Event\EM-1742.con
,??,NPC,3DDATA\Event\EM38-003.CON
[Injured Traveler] Nista,??,NPC,3DDATA\Event\EM-1695.con
[Pharaoh Queen] Alana,??,NPC,3DDATA\Event\EM-2599.con
[Animal Foster] Thonal,??,NPC,3DDATA\Event\EM55-001.con
Krayah,??,NPC,3DDATA\Event\Krayah_1.con
Duke,??,NPC,3DDATA\Event\EM-3206.con
unused,??,NPC,3Ddata\Event\EASTER-001.con
Plains Egg,??,NPC,3Ddata\Event\EASTER-R01.con
Plains Egg,??,NPC,3Ddata\Event\EASTER-R02.con
Plains Egg,??,NPC,3Ddata\Event\EASTER-R03.con
Plains Egg,??,NPC,3Ddata\Event\EASTER-R04.con
Plains Egg,??,NPC,3Ddata\Event\EASTER-R05.con
Valley Egg,??,NPC,3Ddata\Event\EASTER-B01.con
Valley Egg,??,NPC,3Ddata\Event\EASTER-B02.con
Valley Egg,??,NPC,3Ddata\Event\EASTER-B03.con
Valley Egg,??,NPC,3Ddata\Event\EASTER-B04.con
Valley Egg,??,NPC,3Ddata\Event\EASTER-B05.con
EM-3232.con,??,NPC,3DDATA\Event\EM-3232.con
[Character Reset] Jess,??,NPC,3DDATA\EVENT\EM-1782.CON
Present 1,??,NPC,3DDATA\Event\XMAS10_JP_B1.con
Present 2,??,NPC,3DDATA\Event\XMAS10_JP_B2.con
Present 3,??,NPC,3DDATA\Event\XMAS10_JP_B3.con
Present 4,??,NPC,3DDATA\Event\XMAS10_JP_B4.con
JP Santa,??,NPC,3DDATA\Event\XMAS10_JP_Santa.con
[Akram Transport] Alphonso,??,NPC,3DDATA\Event\EM-3214.con
[Akram Tower] Chandler,??,NPC,3DDATA\Event\EM-3209.con
Zoey,??,NPC,3Ddata\Event\EM-1990.con
Lloyd,??,NPC,3Ddata\Event\EM-1138.con
Hubble,??,NPC,3Ddata\Event\EM58-001.con
Santa,??,NPC,3Ddata\Event\EM38-001.con
Loelsch,??,NPC,3Ddata\Event\EM38-002.con
Warren,??,NPC,3Ddata\Event\EM26-002.con
Santa,??,NPC,3Ddata\Event\EM22-100.con
Cleric,??,NPC,3Ddata\Event\EM-1977.con
[Event] Soggy,??,NPC,3Ddata\Event\EM38-004.con
[Event] Moggy,??,NPC,3Ddata\Event\EM38-005.con
AP Santa,??,NPC,3Ddata\Event\XMAS10_AP_Santa.CON
Present 1,??,NPC,3Ddata\Event\XMAS10_Box_1.CON
Present 2,??,NPC,3Ddata\Event\XMAS10_Box_2.CON
Present 3,??,NPC,3Ddata\Event\XMAS10_Box_3.CON
Present 4,??,NPC,3Ddata\Event\XMAS10_Box_4.CON
Present 5,??,NPC,3Ddata\Event\XMAS10_Box_5.CON
[Event] Boggy,??,NPC,3Ddata\Event\EM38-006.con
[Event] Boggy,??,NPC,3Ddata\Event\EM38-007.con
[Event] Ms. Frosty,??,NPC,3Ddata\Event\EM38-008.con
[Animal Foster] Tinesse,0,NPC,3Ddata\Event\EM-1146.CON
[Resident] Clara,0,NPC,3Ddata\Event\EM-1795.CON
[Farmer] Casian,0,NPC,3Ddata\Event\EM-1796.CON
[Island Master] Edmond,0,NPC,3Ddata\Event\EM-1797.CON
[Ferrell Guild Staff] Curtis,0,NPC,3Ddata\Event\EM-1798.CON
[Guide] Arua's Fairy,0,NPC,3Ddata\Event\EM-1799.CON
[Resident] Phoebe,0,NPC,3Ddata\Event\EM-1800.CON
[Daughter] Aura,0,NPC,3Ddata\Event\EM-1801.CON
[Resident] Selene,0,NPC,3Ddata\Event\EM-1802.CON
[Teleporter] Kakia,0,NPC,3Ddata\Event\EM-1803.CON
[Event] Ms. Frosty Legs,??,NPC,3Ddata\Event\EM38-009.con
Quest Board - Zant,0,NPC,3Ddata\Event\QuestBoard-Zant.CON
Quest Board - Junon,0,NPC,3Ddata\Event\QuestBoard-Junon.CON
Quest Board - Eucar,0,NPC,3Ddata\Event\QuestBoard-Eucar.CON
Quest Board - Xita,0,NPC,3Ddata\Event\QuestBoard-Xita.CON
Quest Board - Helio,0,NPC,3Ddata\Event\QuestBoard-Helio.CON
Quest Board - AP,0,NPC,3Ddata\Event\QuestBoard-AP.CON
[Storage] Pablo,??,NPC,3Ddata\Event\EM38-010.con
Quest Board Manager - AP,0,NPC,3Ddata\Event\QuestBoard-AP-Manager.CON
Quest Board Manager - Zant,0,NPC,3Ddata\Event\QuestBoard-Zant-Manager.CON
Quest Board Manager - Junon,0,NPC,3Ddata\Event\QuestBoard-Junon-Manager.CON
Quest Board Manager - Eucar,0,NPC,3Ddata\Event\QuestBoard-Eucar-Manager.CON
Quest Board Manager - Xita,0,NPC,3Ddata\Event\QuestBoard-Xita-Manager.CON
Quest Board Manager - Helio,0,NPC,3Ddata\Event\QuestBoard-Helio-Manager.CON
Fake Christmas Presents,0,NPC,3Ddata\Event\XMAS10_Box_Fake.CON
[Racing Guide] Cosette,0,NPC,3Ddata\Event\EM50-001.con
Santa Present,??,NPC,3Ddata\Event\EM38-Present.CON
Bear Present,??,NPC,3Ddata\Event\EM38-Present2.CON
Christmas Present,??,NPC,3Ddata\Event\EM38-Present3.CON
Event Team Reindeer Spawner,??,NPC,3Ddata\Event\EMEvent-Reindeer.CON
Summer June,??,??,3Ddata\Event\EM-2059.CON
Hades Emblem,??,??,3Ddata\Event\EM-1809.CON
????-????????-????,??,NPC,3Ddata\Event\EM01-001.con
????-??????????????-????,??,NPC,3Ddata\Event\EM01-002.con
????-??????????????-??????,??,NPC,3Ddata\Event\EM01-003.con
????-????????????-??????,??,NPC,3Ddata\Event\EM01-004.con
????-????????????-????????,??,NPC,3Ddata\Event\EM01-005.con
????-????????????-??????,??,NPC,3Ddata\Event\EM01-006.con
????-??????????-????,??,NPC,3Ddata\Event\EM01-007.con
????-????????-????,??,NPC,3Ddata\Event\EM01-008.con
????-??????????-??????,??,NPC,3Ddata\Event\EM01-009.con
????-????????-????,??,NPC,3Ddata\Event\EM01-010.con
????-??????????-??????,??,NPC,3Ddata\Event\EM01-011.con
????-????????????-????????,??,NPC,3Ddata\Event\EM01-012.con
????-????????-????,??,NPC,3Ddata\Event\EM01-013.con
????-??????-????,??,NPC,3Ddata\Event\EM01-014.con
????-????-????,??,NPC,3Ddata\Event\EM01-015.con
????-????????????-????,??,NPC,3Ddata\Event\EM01-016.con
,??,NPC,3Ddata\Event\ClanBeachScroll.con
[Scared Girl] Shelley,??,NPC,3Ddata\Event\EM93-01.con
[Cursed] Samara,??,NPC,3Ddata\Event\EM93-02.con
[Ferrell Guild Staff] Thierno,??,NPC,3Ddata\Event\EM93-03.con
,??,NPC,3Ddata\Event\EM93-04.con
,??,NPC,3Ddata\Event\Treasure_Map.con
Tharlone?,??,NPC,3Ddata\Event\EM93-05.con
,??,NPC,3Ddata\Event\EM93-06.con
Junon boat > The void,??,NPC,3Ddata\Event\EM93-07.con
,??,NPC,3Ddata\Event\EM01-107.con
JP to ST,??,NPC,3DDATA\Event\Christmas_JP2ST.CON
ST to JP,??,NPC,3DDATA\Event\Christmas_ST2JP.CON
Gravestone Messages,??,NPC,3DDATA\Event\EM93-Grave.con
????????-????????????-????????????,??,NPC,3Ddata\Event\EM20-001.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM22-001.con
??????????-??????????????-????????,??,NPC,3Ddata\Event\EM22-002.con
??????????-????????????-????,??,NPC,3Ddata\Event\EM22-003.con
??????????-????????-????,??,NPC,3Ddata\Event\EM22-004.con
??????????-????????-????,??,NPC,3Ddata\Event\EM22-005.con
??????????-????????????-??????,??,NPC,3Ddata\Event\EM22-006.con
??????????-??????????-??????,??,NPC,3Ddata\Event\EM22-007.con
??????????-????-??????,??,NPC,3Ddata\Event\EM22-008.con
Kelo Beachball Object,??,NPC,3Ddata\Event\EM-1794.con
,??,NPC,3Ddata\Event\EM22-010.con
[Son] Kelo Part 2,??,NPC,3Ddata\Event\EM-1792.con
