1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistence,,Item Sets,Dynamic EQ,Trade Key,Expire,Prefix,
Flu Mask,FACEITEM\faceitem_mask03.txt,,,111,850,10,1,30,1,247,579,19,1,54,18,,,,,,,,,14,5,,,,22,,3,3,,,,,,,LFAC001
Black Mask,FACEITEM\faceitem_mask04.txt,,,111,950,10,1,31,2,247,579,19,1,55,19,,,,,,,,,14,6,,,,22,,3,3,,,,,,,LFAC002
ButterFly Mask,FACEITEM\faceitem_glasses01.txt,,,111,1000,10,1,32,3,247,579,19,1,51,20,,,,,,,,,14,6,,,,22,,3,3,,,,,,,LFAC003
Zorro Mask,FACEITEM\faceitem_mask07.txt,,,111,1100,10,1,33,4,247,579,19,2,52,20,,,,,,,,,14,7,,,,22,,3,3,,,,,,,LFAC004
Persian Mask ,FACEITEM\faceitem_mask01.txt,,,111,1100,10,1,34,5,247,579,19,2,52,20,,,,,,,,,14,7,,,,22,,3,3,,,,,,,LFAC005
Wicked Mask,FACEITEM\faceitem_mask02.txt,,,111,1250,10,2,35,6,247,579,19,3,53,20,,,,,,,,,14,8,,,,22,,3,3,,,,,,,LFAC006
Jolly Front Mask,FACEITEM\faceitem_mask08.txt,,,111,1350,10,3,36,7,247,579,19,3,58,24,,,,,,,,,14,9,,,,22,,3,3,,,,,,,LFAC007
Iron Mask,FACEITEM\faceitem_mask09.txt,,,111,1400,10,3,37,8,247,580,19,4,59,28,,,,,,,,,14,9,,,,22,,3,3,,,,,,,LFAC008
Totem Mask,FACEITEM\faceitem_mask06.txt,,,111,1550,10,5,38,9,247,580,19,4,56,25,,,,,,,,,14,10,,,,22,,3,3,,,,,,,LFAC009
Goblin Mask,,,,111,1550,10,7,39,10,247,579,,4,,,,,,,,,,,14,10,,,,22,,3,3,,,,,,,LFAC010
Ashura Mask,FACEITEM\faceitem_mask05.txt,,,111,1700,10,2,40,11,247,579,19,5,57,28,,,,,,,,,14,11,,,,22,,3,3,,,,,,,LFAC011
