,FOOT\foot1_001.txt,FOOT\foot2_001.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Item Set,Dynamic EQ,Trade Key,Expire,Prefix,
????,FOOT\foot1_001.txt,FOOT\foot2_001.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
Red Shoes,FOOT\foot1_004.txt,FOOT\foot2_004.txt,,153,300,0,2,18,572,244,579,,,,,,,,,,,,,,,,,,45,,3,1,70,,,,,,LFOO002
Waterproof Shoes,FOOT\foot1_004.txt,FOOT\foot2_004.txt,,153,450,0,2,18,573,244,579,,,,,,,,,,,,,,,,,,45,,4,1,75,,,,,,LFOO003
Leather Shoes,FOOT\foot1_00200.txt,FOOT\foot2_00200.txt,,153,600,0,3,20,574,244,579,,,,,,,,31,5,,,,,,,,,46,,5,1,75,,,,,,LFOO004
Dash Shoes,FOOT\foot1_00200.txt,FOOT\foot2_00200.txt,,153,750,0,3,21,575,244,579,,,,,,,,31,7,,,,,,,,,46,,5,1,80,,,,,,LFOO005
Shoes of Iguje,FOOT\foot1_006.txt,FOOT\foot2_006.txt,,153,950,0,2,22,576,244,579,,,,,,,,31,10,,,,,,,,,46,,6,1,80,,,,,,LFOO006
Islamic Shoes,FOOT\foot1_006.txt,FOOT\foot2_006.txt,,153,1100,0,2,24,577,244,579,19,1,331,19,,,,31,15,,,,,,,,,47,,6,2,80,,,,,,LFOO007
Field Walkers,FOOT\foot1_00300.txt,FOOT\foot2_00300.txt,,153,1400,0,2,26,578,244,579,19,1,332,20,,,,31,20,,,,,,,,,47,,7,1,80,,,,,,LFOO008
Wild Walkers,FOOT\foot1_00300.txt,FOOT\foot2_00300.txt,,153,1900,0,2,28,579,244,579,19,2,333,21,,,,31,25,,,,,,,,,48,,8,1,85,,,,,,LFOO009
Land Walkers,FOOT\foot1_00700.txt,FOOT\foot2_00700.txt,,153,2200,0,2,29,580,244,579,19,2,334,22,,,,31,30,,,,,,,,,49,,9,1,80,,,,,,LFOO010
Earth Walkers,FOOT\foot1_00700.txt,FOOT\foot2_00700.txt,,153,3000,0,2,31,581,244,579,19,2,335,23,,,,31,35,,,,,,,,,50,,10,1,85,,,,,,LFOO011
Marble Shoes,FOOT\foot1_01000.txt,FOOT\foot2_01000.txt,,153,3700,0,2,33,582,244,579,19,3,336,24,,,,31,40,,,,,,,,,50,,11,1,85,,,,,,LFOO012
Luxurious Marble Shoes,FOOT\foot1_01000.txt,FOOT\foot2_01000.txt,,153,4900,0,2,35,583,244,579,19,3,337,25,,,,31,45,,,,,,,,,51,,12,2,90,,,,,,LFOO013
Junior Shoes,FOOT\foot1_03700.txt,FOOT\foot2_03700.txt,,153,6600,0,2,39,585,244,579,,3,,,,,,31,55,,,,,,,,,52,,14,2,85,,,,,,LFOO014
Senior Shoes,FOOT\foot1_03800.txt,FOOT\foot2_03800.txt,,153,9200,0,2,42,586,244,579,,4,,,,,,31,63,,,,,,,,,54,,16,2,87,,,,,,LFOO015
Redfield Green Shoes,FOOT\foot1_04000.txt,FOOT\foot2_04000.txt,,153,13500,0,2,46,588,244,579,19,4,338,35,,,,31,75,,,,,,,,,55,,19,3,85,0,,,,,LFOO016
Redfield Black Shoes,FOOT\foot1_03900.txt,FOOT\foot2_03900.txt,,153,17300,0,2,49,589,244,579,19,5,339,36,,,,31,83,,,,,,,,,57,,21,3,85,0,,,,,LFOO017
Redfield Red Shoes,,,,153,25300,0,2,52,628,244,579,19,6,340,37,,,,31,95,,,,,,,,,58,,24,4,87,0,,,,,LFOO018
Redfield Blue Shoes,,,,153,31150,0,2,55,629,244,579,19,7,341,38,,,,31,103,,,,,,,,,59,,26,5,90,0,,,,,LFOO019
Moon Flower Shoes,,,6,153,29700,0,2,34,10040,244,579,,,,,,,,31,115,,,,,,,,,59,,25,6,90,0,,,,,LFOO020
????????21,,,,153,48900,0,,61,592,244,579,,7,,,,,,31,116,,,,,,,,,62,,31,5,92,,,,,,
????????22,,,,153,67650,0,,63,593,244,579,,7,,,,,,31,125,,,,,,,,,64,,35,5,92,,,,,,
????????23,,,,153,79800,0,,66,594,244,579,,8,,,,,,31,132,,,,,,,,,65,,37,6,90,,,,,,
????????24,,,,153,101900,0,,69,595,244,579,,8,,,,,,31,142,,,,,,,,,66,,41,6,94,,,,,,
????????25,,,,153,116050,0,,71,596,244,579,,9,,,,,,31,148,,,,,,,,,67,,43,7,95,,,,,,
????????26,,,,153,147150,0,,74,598,244,579,,9,,,,,,31,156,,,,,,,,,69,,46,7,95,,,,,,
????????27,,,,153,171500,0,,76,599,244,579,,10,,,,,,31,162,,,,,,,,,70,,49,7,96,,,,,,
????????28,,,,153,224450,0,,81,600,244,579,,10,,,,,,31,174,,,,,,,,,72,,54,8,96,,,,,,
Adventurer Shoes,FOOT\foot1_00200.txt,FOOT\foot2_00200.txt,,153,750,0,3,21,601,244,579,,,,,,,,,,,,,,,,,,46,,5,1,80,,,,,,LFOO029
Visitor Sandals,FOOT\foot1_03400.txt,FOOT\foot2_03400.txt,,153,0,0,2,14,602,244,579,,,,,,,,,,,,,,,,,,44,,2,0,70,,,,,,LFOO030
Soldier Boots,FOOT\foot1_00300.txt,FOOT\foot2_00300.txt,,151,1050,0,5,21,611,228,580,,,,,41,,,31,10,,,,,,,,,46,,7,1,77,,,,,,LFOO031
Iron Boots,FOOT\foot1_005.txt,FOOT\foot2_005.txt,,151,2950,0,5,28,612,228,580,17,1,301,22,41,,,31,30,,,,,,,,,49,,11,1,80,,,,,,LFOO032
Trunket Boots,FOOT\foot1_01700.txt,FOOT\foot2_01700.txt,,151,6350,0,5,35,613,228,580,17,2,302,27,41,,,31,50,,,,,,,,,52,,16,1,80,,,,,,LFOO033
Chrome Boots,FOOT\foot1_02500.txt,FOOT\foot2_02500.txt,,151,13550,0,5,42,614,228,580,17,3,303,32,51,,,31,70,,,,,,,,,55,,21,2,82,,,,,,LFOO034
Mighty Boots,FOOT\foot1_02100.txt,FOOT\foot2_02100.txt,,151,22950,0,6,48,615,228,580,17,4,304,37,51,,,31,88,,,,,,,,,58,,27,2,83,,,,,,LFOO035
Kurash Boots,FOOT\foot1_02600.txt,FOOT\foot2_02600.txt,,151,35400,0,6,53,616,228,580,17,5,305,40,51,,,31,104,,,,,,,,,61,,32,3,84,,,,,,LFOO036
Plate Boots,FOOT\foot1_01100.txt,FOOT\foot2_01100.txt,,151,60000,0,6,59,617,228,580,17,6,306,45,51,,,31,120,,,,,,,,,64,,38,4,82,,,,,,LFOO037
Durable Boots,FOOT\foot1_04800.txt,FOOT\foot2_04800.txt,,151,98775,0,6,64,618,228,580,17,7,307,48,51,,,31,145,,,,,,,,,69,,51,5,84,,,,,,LFOO042
Cedric Boots,FOOT\foot1_05100.txt,FOOT\foot2_05100.txt,,151,132975,0,6,66,619,228,580,17,8,308,51,51,,,31,155,,,,,,,,,73,,60,6,85,,,,,,LFOO038
Execution Boots,FOOT\foot1_05800.txt,FOOT\foot2_05800.txt,,151,187600,0,6,69,620,228,580,17,9,309,56,51,,,31,165,,,,,,,,,86,,67,7,85,,,,,,LFOO039
Abyss Plate Boots,FOOT\foot1_06600.txt,FOOT\foot2_06600.txt,,151,264550,0,6,72,621,228,580,17,10,310,59,51,,,31,175,,,,,,,,,95,,73,8,86,,,,,,LFOO040
Righteous Plate Boots,FOOT\foot1_04800.txt,FOOT\foot2_04800.txt,,151,273350,0,6,75,622,228,580,17,11,,62,51,,,31,185,,,,,,,,,99,,81,9,87,,,,,,LFOO041
Jabberwock Boots,FOOT\foot1_07500.txt,FOOT\foot2_07500.txt,,151,308850,0,10,77,627,228,580,17,12,,67,51,,,31,200,,,,,,,,,108,,92,10,85,,,,,,LFOO043
Obsidian Plate Greaves,FOOT\foot1_08500.txt,FOOT\foot2_08500.txt,,151,329500,0,10,80,632,228,580,,,,,51,,,31,210,,,,,,,,,109,,103,11,89,,,,,,LFOO044
Soldier 1,FOOT\foot1_career001_a.txt,FOOT\foot2_career001_a.txt,,151,1,0,10,80,3296,228,580,,,,,51,,,31,210,,,,,,,,,112,,150,150,89,,,,,,LFOO045
Valiant Guardian Boots of Rebirth,FOOT\foot1_career005_e.txt,FOOT\foot2_career005_e.txt,6,151,201000,0,10,80,3300,228,580,,,,,51,,,111,8,,,,,,,,,75,,13,1,87,,,,,,LFOO046
Soldier 2,FOOT\foot1_career001_1a.txt,FOOT\foot2_career001_1a.txt,,151,1,0,10,80,3305,228,580,,,,,51,,,31,210,,,,,,,,,112,,150,150,89,,,,,,LFOO047
Valiant Guardian Boots,FOOT\foot1_career005_1e.txt,FOOT\foot2_career005_1e.txt,6,151,341300,0,10,80,3309,228,580,,,,,51,,,31,210,,,,10,1,,21,3,110,,110,11,89,,,392,,,LFOO048
Merciful Dawnfrost Boots (Warrior),FOOT\foot1_career_a_001.txt,FOOT\foot2_career_a_001.txt,,151,361001,0,10,65,3313,228,580,,,182,,51,,,31,205,,,,18,-20,,148,-3,55,,115,13,85,23,,,,,LFOO049
Ruthless Dawnfrost Boots (Warrior),FOOT\foot1_career_a_002.txt,FOOT\foot2_career_a_002.txt,,151,361001,0,10,65,3318,228,580,,,182,,51,,,31,205,,,,18,20,,148,2,55,,69,7,85,24,,,,,LFOO050
Aurum Plate Boots,FOOT\foot1_soldier200.txt,FOOT\foot2_soldier200.txt,,151,361001,0,10,80,3825,228,580,,,,,51,,,31,220,,,,,,,,,65,,117,12,85,,,,,,LFOO51
Heavy Frost Boots,FOOT\foot1_sodSoldierBoots.txt,FOOT\foot2_sodSoldierBoots.txt,,153,12000,0,3,73,4857,228,579,,,,,41,,,31,160,,,,,,,,,37,10,387,97,90,,,,,,LFOO52
Harbinger Boots,FOOT\foot1_soldier_master.txt,FOOT\foot2_soldier_master.txt,,151,389887,0,10,81,9611,228,580,,,,,51,,,140,10,,,,,,,,,66,,131,13,85,,,,,,LFOO053
Soldier 2023 1,,,,151,389887,0,10,81,9357,228,580,,,,,51,,,31,228,,,,,,,,,66,,131,13,85,,,,,,LFOO054
Soldier 2023 2,,,,151,389887,0,10,81,9358,228,580,,,,,51,,,31,228,,,,,,,,,66,,131,13,85,,,,,,LFOO055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,
Spiritual Shoes,FOOT\foot1_02700.txt,FOOT\foot2_02700.txt,,152,900,0,3,22,637,236,579,,,,,42,,,31,10,,,,,,,,,46,,6,1,77,,,,,,LFOO061
Green Sandals of Witch,FOOT\foot1_01600.txt,FOOT\foot2_01600.txt,,152,2500,0,3,29,638,236,579,18,1,311,22,42,,,31,30,,,,,,,,,49,,10,2,78,,,,,,LFOO062
Purple Sandals of Witch,FOOT\foot1_01200.txt,FOOT\foot2_01200.txt,,152,5700,0,3,36,639,236,579,18,2,312,27,42,,,31,50,,,,,,,,,52,,14,2,80,,,,,,LFOO063
