,,,,,,,,,,,,,,,,,,,,
Rusted Iron,,,,421,105,5,1,30,1755,186,583,,,,,1,193,,,LNAT001
Tin,,,,421,140,5,1,34,1756,186,583,,,,,1,193,,,LNAT002
Copper,,,,421,180,5,1,38,1757,186,583,,,,,1,193,,,LNAT003
Bronze,,,,421,225,5,1,42,1758,186,583,,,,,1,193,,,LNAT004
Iron,,,,421,285,5,1,46,1759,186,583,,,,,1,193,,,LNAT005
Silver Iron,,,,421,345,5,1,50,1760,186,583,,,,,1,193,,,LNAT006
Steel,,,,421,460,5,1,56,1761,186,583,,,,,1,193,,,LNAT007
Chromium,,,,421,595,5,1,62,1762,186,583,,,,,1,193,,,LNAT008
Tiar,,,,421,750,5,1,68,1763,186,583,,,,,1,193,,,LNAT009
Damascus,,,,421,970,5,1,75,1764,186,583,,,,,1,193,,,LNAT010
Unprocessed Metal,,,,422,440,5,1,30,1768,186,583,,,,,1,193,,,LNAT011
Demon Metal,,,,422,580,5,1,34,1769,186,583,,,,,1,193,,,LNAT012
Wolf Steel,,,,422,750,5,1,38,1770,186,583,,,,,1,193,,,LNAT013
Molive,,,,422,945,5,1,42,1771,186,583,,,,,1,193,,,LNAT014
Mythril,,,,422,1180,5,1,46,1772,186,583,,,,,1,193,,,LNAT015
Orihalcon,,,,422,1445,5,1,50,1773,186,583,,,,,1,193,,,LNAT016
Adamantium,,,,422,1910,5,1,56,1774,186,583,,,,,1,193,,,LNAT017
Otherworldly Metal,,,,422,2470,5,1,62,1775,186,583,,,,,1,193,,,LNAT018
Philosopher Stone,,,,422,3130,5,1,68,1776,186,583,,,,,1,193,,,LNAT019
Mercury,,,,422,4040,5,1,75,1777,186,583,,,,,1,193,,,LNAT020
Pebble,,,,423,70,10,1,30,1781,189,583,,,,,2,193,,,LNAT021
Yellowish Stone,,,,423,95,10,1,34,1782,189,583,,,,,2,193,,,LNAT022
Sandstone,,,,423,120,10,1,38,1783,189,583,,,,,2,193,,,LNAT023
Gravel Stone,,,,423,150,10,1,42,1784,189,583,,,,,2,193,,,LNAT024
Granite,,,,423,190,5,1,46,1785,189,583,,,,,2,193,,,LNAT025
Marble,,,,423,230,5,1,50,1786,189,583,,,,,2,193,,,LNAT026
Air Stone,,,,423,305,5,1,56,1787,189,583,,,,,2,193,,,LNAT027
Shining Stone,,,,423,395,5,1,62,1788,189,583,,,,,2,193,,,LNAT028
Otherworldly Stone,,,,423,500,5,1,68,1789,189,583,,,,,2,193,,,LNAT029
Meteorite,,,,423,645,5,1,75,1790,189,583,,,,,2,193,,,LNAT030
Twig,,,,424,70,10,1,30,1794,191,583,,,,,3,,,,LNAT031
Maple Wood,,,,424,95,10,1,34,1795,191,583,,,,,3,,,,LNAT032
Aromatic Wood,,,,424,120,10,1,38,1796,191,583,,,,,3,,,,LNAT033
