string,,,,,,,,,,,,,,,,,,,,,,,,,Can Target,300,,1,,,,,,,,,,,,string,string,,Unused,Collision On/Off,Bone Index,Box X Scale,Box Y Scale,Box Z Scale,Ignore Database Data,Dialog Mob,Event Id,Invincible,Seasonal Event,Stun Immune,Swap,Pet Scale,Pet Y,Pet Height,Damage Limit,Servertype,Hide Armory,Expire Damage,Stat Tracker,AB Adjust,AX,AY,AZ,BX,BY,BZ,AB Hit,Block AOE Damage,Clan Stat Tracker,Whitelist
Mini-Jelly Bean,jellybean1.mon,160,370,56,,,2,44,2,56,25,11,5,80,,101,1,100,6,70,,,,,,190,1,1,12,,,,401,1401,182,,11,,,LNPC0001,5033-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelly Bean,jellybean1.mon,170,390,62,,,4,30,4,59,29,13,7,90,,102,2,101,8,72,,,,,,210,1,1,12,,,,402,1401,182,,11,,,LNPC0002,5051-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JellyNut,jellybean2.mon,175,400,70,,,5,28,8,60,31,15,9,90,,103,3,102,12,70,,,,,,220,1,1,48,,,,403,1401,182,,11,,,LNPC0003,5033-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Jelly Bean,jellybean2.mon,220,490,45,,,4,30,7,78,34,5,10,110,,104,3,,15,73,,,,,,200,4,1,48,,,,403,1401,182,,18,,,LNPC0004,QB_AP_RJB_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Jelly Bean,jellybean3.mon,200,450,55,,,6,31,12,56,27,17,15,95,,104,3,103,10,75,,,,,,250,3,1,48,,,,403,1401,182,,11,,,LNPC0005,229-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,,,,200,,1,,,,,,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ButterFly,nabi1.mon,110,150,130,,,1,54,1,55,23,10,3,20,,91,1,100,1,40,,,,,,150,1,1,41,,,,401,1401,,,18,,,LNPC0008,,280,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ButterFly,nabi2.mon,120,160,135,,,1,54,1,55,23,10,4,20,,91,1,100,1,42,,,,,,155,1,1,41,,,,401,1401,,,18,,,LNPC0009,,280,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ButterFly,nabi3.mon,130,160,140,,,2,33,1,56,25,11,5,20,,91,1,100,1,45,,,,,,160,1,1,41,,,,401,1401,,,18,,,LNPC0010,,280,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
