,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability Type,Break IDX,,,Arms Type,Hide Player,Scaling,Preview,Expire,Prefix,Show Back,
Wooden Frame,3Ddata\PAT\CART\BODY\cart01_BODY01.txt,0,,511,197000,0,10,30,2165,246,580,21,1,1001,30,21,30,,,,,,,19,26,,21,12,34,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,1000,,,,,1,,,,,2186,,,,LPAT001
Wooden Carbon Frame,3Ddata\PAT\CART\BODY\cart01_BODY01_C2.txt,0,,511,249200,0,10,32,2166,246,580,21,1,1002,35,21,32,,,,,,,19,29,,21,14,35,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,1000,,,,,1,,,,,2186,,,,LPAT002
Colmandy Frame,3Ddata\PAT\CART\BODY\cart01_BODY02_C2.txt,0,,511,307900,0,15,34,2167,246,580,21,2,1003,40,21,34,,,,,,,19,31,,21,15,36,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,2000,,,,,1,,,,,2186,,,,LPAT003
Colmanju Frame,3Ddata\PAT\CART\BODY\cart01_BODY02.txt,0,,511,370400,0,15,36,2168,246,580,21,2,1004,45,21,36,,,,,,,19,34,,21,17,36,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,2000,,,,,1,,,,,2186,,,,LPAT004
Sporty Frame,3Ddata\PAT\CART\BODY\cart01_BODY03.txt,0,,511,582700,0,20,46,2169,246,580,21,3,1005,57,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT005
Sporty Red Frame,3Ddata\PAT\CART\BODY\cart01_BODY03_C2.txt,0,,511,582700,0,20,46,2171,246,580,21,3,1006,58,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT006
Sporty Green Frame,3Ddata\PAT\CART\BODY\cart01_BODY03_C3.txt,0,,511,682700,0,20,48,2175,246,580,21,3,1007,59,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT301
Sporty Black Frame,3Ddata\PAT\CART\BODY\cart01_BODY03_C4.txt,0,,511,682700,0,20,50,2176,246,580,21,3,1008,60,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT303
Sporty Pink Frame,3Ddata\PAT\CART\BODY\cart01_BODY03_C5.txt,0,,511,682700,0,20,52,2262,246,580,21,4,1038,61,21,46,,,,,,,19,47,,21,25,41,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT009
,,0,,511,,,10,54,2175,246,580,,5,,,21,54,,,,,,,19,57,,21,31,45,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
