,,,,,,,,,,Forge,Seasonal Event,Item Swap,No Disassem
Weapon Grade 1,428,,5,12061,7,,,,,,,,
Weapon Grade 2,428,,7,12062,9,,,,,,,,
Weapon Grade 3,428,,8,12063,12,12151,1,,,,,,
Weapon Grade 4,428,,9,12064,15,12152,1,,,,,,
Weapon Grade 5,428,,10,12065,18,12153,2,,,,,,
Weapon Grade 6,428,,12,12066,22,12154,2,,,,,,
Weapon Grade 7,428,,14,12067,25,12155,2,,,,,,
Weapon Grade 8,428,,16,12068,28,12156,3,,,,,,
Weapon Grade 9,428,,18,12069,30,12157,3,,,,,,
Weapon Grade 10 Not Used,428,,20,12070,35,12157,5,,,,,,
Armor Grade 1,428,,3,12061,5,,,,,,,,
Armor Grade 2,428,,4,12062,7,,,,,,,,
Armor Grade 3,428,,5,12063,9,12151,1,,,,,,
Armor Grade 4,428,,6,12064,11,12152,1,,,,,,
Armor Grade 5,428,,7,12065,13,12153,1,,,,,,
Armor Grade 6,428,,8,12066,15,12154,2,,,,,,
Armor Grade 7,428,,9,12067,18,12155,2,,,,,,
Armor Grade 8,428,,10,12068,22,12156,2,,,,,,
Armor Grade 9,428,,12,12069,25,12157,3,,,,,,
Armor Grade 10 Not Used,428,,15,12070,30,12157,4,,,,,,
,,,,,,,,,,,,,
[Jewelry] of Virtue,434,,80,12102,150,12163,50,,,,,,
[Jewelry] of Glory,434,,80,12189,150,12163,50,,,,,,
[Jewelry] of Knowledge,434,,80,12183,150,12162,50,,,,,,
[Jewelry] of Bravery,434,,80,12195,120,12162,50,,,,,,
[Jewelry] of Sharpness,434,,80,12194,135,12161,80,,,,,,
[Jewelry] of Imprudence,434,,80,12099,160,12161,80,,,,,,
Health [Jewelry],434,,120,10524,60,12164,100,,,,,,
Tactician [Jewelry],434,,120,12101,170,12164,100,,,,,,
[Jewelry] of the Skilled,434,,120,12127,90,12164,100,,,,,,
Vigorous [Jewelry],434,,150,12271,150,12139,30,12161,40,,,,
Storm [Jewelry],434,,150,12281,240,12279,120,12163,40,,,,
[Jewelry] of Sins,434,,170,12104,120,12105,60,12162,40,,,,
[Jewelry] of Shivering,434,,170,12258,180,12292,60,12164,40,,,,
Spiritual [Jewelry] of Ra,422,,480,12089,10,12243,10,12540,1,,,,
Majestic Bone Ring,422,,420,12536,20,12538,10,12161,200,,,,
Majestic Bone Earring,422,,420,12537,15,12539,10,12162,200,,,,
Majestic Bone Necklace,422,,420,12538,10,12537,15,12164,200,,,,
Twisted [Jewelry] of Growth,434,,160,11375,4,12564,7,12575,40,,,,
Aquarius Pickaxe,424,,200,12121,120,12095,50,,,,,,
Crystal Pickaxe,424,,250,12554,220,,,,,,,,
Enthroning Ice [Jewelry],434,,160,11305,4,12582,260,12583,60,,,,
[Jewelry] of Twilight,434,,160,12609,450,12639,180,12640,50,,,,
,,,,,,,,,,,,,
+1 to +10,,10056,10,,,,,,,,,10059,
+2 to +10,,10057,5,,,,,,,,,10059,
+5 to +10,,10058,2,,,,,,,,,10059,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????,426,,12,12187,2,,,,,,,,
????,426,,13,12177,1,,,,,,,,
????,426,,14,12091,1,12182,1,,,,,,
????,426,,15,12097,2,12182,1,,,,,,
????,426,,13,12091,3,12183,1,,,,,,
????,424,,17,12097,2,12112,3,,,,,,
????,426,,19,12185,4,12186,4,,,,,,
????,424,,22,12097,5,12116,2,,,,,,
????,421,,25,12121,4,,,,,,,,
????,426,,15,12185,5,12072,2,,,,,,
????,424,,10,12171,4,12191,2,,,,,,
????,424,,13,12173,2,12191,2,,,,,,
????,424,,16,12171,6,12191,4,,,,,,
????,425,,25,12173,4,12111,2,,,,,,
????,426,,20,12096,5,12187,3,,,,,,
????,426,,25,12091,6,12075,4,,,,,,
????,426,,20,12091,6,12071,4,,,,,,
????,421,,20,12164,2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
????,424,,10,12186,1,,,,,,,,
????,424,,13,12190,1,,,,,,,,
????,424,,15,12185,2,,,,,,,,
????,,,,,,,,,,,,,
????,421,,17,12163,2,,,,,,,,
????,421,,20,12161,2,,,,,,,,
????,425,,21,12279,15,,,,,,,,
????,425,,25,12280,25,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
??????,421,,10,12041,3,12099,3,,,,,,
??????,421,,20,12042,6,12101,6,,,,,,
??????,421,,30,12043,9,12102,8,,,,,,
??????,421,,50,12044,4,12121,16,,,,,,
??????,421,,70,12045,5,12123,18,12121,10,,,,
??????,421,,90,12046,6,12124,20,12122,15,,,,
??????,421,,110,12047,8,12125,22,12123,18,,,,
??????,421,,130,12048,10,12136,24,12124,20,,,,
??????,421,,150,12049,12,12137,26,12125,22,,,,
??????,421,,170,12050,14,12105,28,12137,24,,,,
??????,425,,10,12051,2,12182,1,,,,,,
??????,425,,25,12052,3,12183,1,,,,,,
??????,425,,35,12053,4,12184,1,,,,,,
