,Time Limit,Type,Icon,Block Abandon,Init Lua,Quest Level,Remove on logout,Objective,Objective Condition,Abandon Link,Eventid,String
Quest Board,0,15,81,,32,,,,,,,LQUE0001
Speak to Myad,0,1,81,,,1,,,,,,LQUE0002
,,,,,,,,,,,,
Learning Skills,0,15,81,,,,,,,,,LQUE0004
Learning Skills,0,15,81,,,,,,,,,LQUE0005
Learning Skills,0,15,81,,,,,,,,,LQUE0006
Learning Skills,0,15,81,,,,,,,,,LQUE0007
,,,,,,,,,,,,
,,,,,,,,,,,,
JO/ARU_A - sign up,0,4,81,,,,,,,,,LQUE0010
JO/ARU_D - sign up,0,4,81,,,,,,,,,LQUE0011
RC/FAR_A - sign up,0,4,81,,,,,,,,,LQUE0012
RC/FAR_D - sign up,0,4,81,,,,,,,,,LQUE0013
JO/ARU_A - inprogress,0,4,81,,,,,,,,,LQUE0014
JO/ARU_D - inprogress,0,4,81,,,,,,,,,LQUE0015
RC/FAR_A - inprgress,0,4,81,,,,,,,,,LQUE0016
RC/FAR_D - inprogress,0,4,81,,,,,,,,,LQUE0017
,,,,,,,,,,,,
,,,,,,,,,,,,
The Lost Presents,0,20,147,,,50,,,,,5,LQUE0020
Santas Sleigh,0,20,147,,,50,,,,,5,LQUE0021
Rudolphs Clothing,0,20,147,,,57,,,,,5,LQUE0022
Costume Dyes,0,20,147,,,50,,,,,5,LQUE0023
Christmas Spirit ,0,20,147,,,47,,,,,5,LQUE0024
Feeding the Reindeer,0,20,147,,,57,,,,,5,LQUE0025
,,,,,,,,,,,,
Cerberus,0,2,86,,,125,,,,,,LQUE0027
Cerberus,0,2,86,,,125,,,,,,LQUE0028
Cerberus,0,2,86,,,125,,,,,,LQUE0029
Cerberus,0,2,86,,,125,,,,,,LQUE0030
Cerberus,0,2,86,,,125,,,,,,LQUE0031
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pest Moldies,0,23,80,,,35,,,,,,LQUE0040
Mining Axe,0,23,80,,,35,,,,,,LQUE0041
Guardian Sap,0,23,80,,,53,,,,,,LQUE0042
The Legendary Bow,0,23,80,,,45,,,,,,LQUE0043
Junon Delicacies,0,23,80,,,55,,,,,,LQUE0044
Krawfy Claws,0,23,80,,,70,,,,,,LQUE0045
Stone Beasts,0,23,80,,,70,,,,,,LQUE0046
Strengthening Armors,0,23,80,,,77,,,,,,LQUE0047
Styling Wings,0,23,80,,,82,,,,,,LQUE0048
Proving Your Strength,0,23,80,,,98,,,,,,LQUE0049
,0,0,80,,,,,,,,,LQUE0050
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Jack's Halloween Costume,0,19,85,,,,,,,,,LQUE0055
Trick or Treat,0,19,85,,,,,,,,,LQUE0056
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Forgotten Power,0,14,86,,,215,,,,,,LQUE0060
Forgotten Power,0,14,86,,,215,,,,,,LQUE0061
Forgotten Power,0,14,86,,,215,,,,,,LQUE0062
Forgotten Power,0,14,86,,,215,,,,,,LQUE0063
Forgotten Power,0,14,86,,,215,,,,,,LQUE0064
Forgotten Power,0,14,86,,,215,,,,,,LQUE0065
Forgotten Power,0,14,86,1,,215,,,,,,LQUE0066
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
The Anubis Mystery,0,14,86,,,210,,,,,,LQUE0070
The Anubis Mystery,0,14,86,,,210,,,,,,LQUE0071
The Anubis Mystery,0,14,86,,,210,,,,,,LQUE0072
Shelley's Lost Doll,0,19,146,,,17,,,,,4,LQUE0073
Shelley's Lost Doll,0,19,146,,,17,,,,,4,LQUE0074
Shelley's Lost Doll,0,19,146,,,17,,,,,4,LQUE0075
Shelley's Lost Doll,0,19,146,,,17,,,,,4,LQUE0076
Shelley's Lost Doll,0,19,146,,,17,,,,,4,LQUE0077
Damien's Lucky Charms,0,19,146,,,18,,,,,4,LQUE0078
Lost in the Forest,0,19,146,,,,,,,,4,LQUE0079
,,,,,,,,,,,,
The Treasure Hunt,0,19,146,,,,,,,,4,LQUE0081
The Treasure Hunt,0,19,146,,,,,,,,4,LQUE0082
Samara,0,19,146,,,,,,,,4,LQUE0083
Samara,0,19,146,,,,,,,,4,LQUE0084
Samara,0,19,146,,,,,,,,4,LQUE0085
Samara,0,19,146,,,,,,,,4,LQUE0086
Samara,0,19,146,,,,,,,,4,LQUE0087
Shelley's Lost Doll,0,19,146,,,,,,,,4,LQUE0088
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dreadful Epidemic,0,1,81,1,,2,,,,,,LQUE0099
Info from Arua's Fairy,0,1,81,1,,1,,,,,,LQUE0100
Dreadful Epidemic,0,1,81,1,,1,,,,,,LQUE0101
Dreadful Epidemic,0,1,81,1,,2,,,,,,LQUE0102
Mysterious Emblem,0,1,81,1,,3,,,,,,LQUE0103
Mysterious Emblem,0,1,81,1,,4,,,,,,LQUE0104
Healing Hands,0,1,81,1,,5,,,,,,LQUE0105
Healing Hands,180,1,81,1,68,6,,,,,,LQUE0106
Healing Hands,90,1,81,1,67,7,,,,,,LQUE0107
Healing Hands,0,1,81,1,,8,,,,,,LQUE0108
Sacrificed Soul,0,1,81,1,,9,,,,,,LQUE0109
The Truth to the Rumors,0,1,81,1,,10,,,,,,LQUE0110
The Truth to the Rumors,0,1,81,1,,12,,,,,,LQUE0111
Hourglass of Purification,0,1,81,1,,13,,,,,,LQUE0112
Hourglass of Purification,0,1,81,1,,15,,,,,,LQUE0113
Hourglass of Purification,0,1,81,1,,16,,,,,,LQUE0114
Hourglass of Purification,0,1,81,1,,18,,,,,,LQUE0115
A Favor for Karitte,0,1,81,1,,20,,,,,,LQUE0116
Proof,0,1,81,1,,21,,,,,,LQUE0117
Forbidden Potion,0,1,81,1,,23,,,,,,LQUE0118
Forbidden Potion,0,1,81,1,,24,,,,,,LQUE0119
Dreadful Book,0,1,81,1,,26,,,,,,LQUE0120
Banned Recipe,0,1,81,1,,27,,,,,,LQUE0121
Resurrection,0,1,81,1,,28,,,,,,LQUE0122
Resurrection,0,1,81,1,,30,,,,,,LQUE0123
Magic of Anima Lake,0,1,81,1,,32,,,,,,LQUE0124
Falsehoods,0,1,81,1,,33,,,,,,LQUE0125
Falsehoods,0,1,81,1,,34,,,,,,LQUE0126
The Owl Eye,0,1,81,1,,36,,,,,,LQUE0127
The Owl Eye,0,1,81,1,,47,,,,,,LQUE0128
The Owl Eye,0,1,81,1,,50,,,,,,LQUE0129
Eva the Sorcerer,0,1,81,1,,52,,,,,,LQUE0130
Eva the Sorcerer,0,1,81,1,,55,,,,,,LQUE0131
Forbidden Spell,0,1,81,1,,59,,,,,,LQUE0132
Forbidden Spell,0,1,81,1,,60,,,,,,LQUE0133
The Scheme,0,1,81,1,,63,,,,,,LQUE0134
The Scheme,0,1,81,1,,65,,,,,,LQUE0135
The Scheme,0,1,81,1,,65,,,,,,LQUE0136
The Road to Justice,0,1,81,1,,65,,,,,,LQUE0137
The Road to Justice,0,1,81,1,,65,,,,,,LQUE0138
Punwell in Windmill Village,0,1,81,1,,65,,,,,,LQUE0139
The Zeppastone Wind Gem,0,1,81,1,,65,,,,,,LQUE0140
The Prince of Akram,0,1,81,1,,65,,,,,,LQUE0141
The Search for the Prince,0,1,81,1,,65,,,,,,LQUE0142
The Ominous Kenji Stone,0,1,81,1,,65,,,,,,LQUE0143
The Truth of the Golden Dagger,0,1,81,1,,66,,,,,,LQUE0144
Information on Luna,0,1,81,1,,66,,,,,,LQUE0145
The Truth of the Golden Dagger (2),0,1,81,1,,66,,,,,,LQUE0146
"Pavrick, the Craftsman on Luna",0,1,81,1,,67,,,,,,LQUE0147
The Royal Golden Dagger,0,1,81,1,,67,,,,,,LQUE0148
An Interesting Proposal,0,1,81,1,,67,,,,,,LQUE0149
Kay's Secret,0,1,81,1,,68,,,,,,LQUE0150
Lunarian Coffee,0,1,81,1,,70,,,,,,LQUE0151
Lunarian Coffee,60,1,81,1,,72,,,,,,LQUE0152
Kay's Request,0,1,81,1,,76,,,,,,LQUE0153
Kay's Request,0,1,81,1,,78,,,,,,LQUE0154
Suspicious Researchers,0,1,81,1,,80,,,,,,LQUE0155
Monsters in the Desert,0,1,81,1,,82,,,,,,LQUE0156
Skin of Steel,0,1,81,1,,85,,,,,,LQUE0157
Masters in the Abyss,0,1,81,1,,90,,,,,,LQUE0158
"Pavrick, the Craftsman on Luna",0,1,81,1,,67,,,,,,LQUE0159
The Ominous Kenji Stone,0,1,81,1,,65,,,,,,LQUE0160
Monsters in the Desert,0,1,81,1,,82,,,,,,LQUE0161
Skin of Steel,0,1,81,1,,85,,,,,,LQUE0162
Masters in the Abyss,0,1,81,1,,90,,,,,,LQUE0163
,,,78,,,,,,,,,
Defeat 10 Players,8640,6,121,1,,,,1,10,,,LQUE0165
Complete 3 PvP Arenas,8640,6,121,1,,,,1,3,,,LQUE0166
Survival Arena Survivor,8640,6,121,1,,,,1,1,,,LQUE0167
Top 3 Survivors,8640,6,121,1,,,,1,1,,,LQUE0168
Survival Arena Kill Spree,8640,6,121,1,,,,1,1,,,LQUE0169
Crystal Defenders Kill Spree,8640,6,121,1,,,,1,1,,,LQUE0170
Crystal Defender,8640,6,121,1,,,,1,1,,,LQUE0171
Defeat 40 Players,60480,6,134,1,,,,2,40,,,LQUE0172
Complete 12 Arenas,60480,6,134,1,,,,2,12,,,LQUE0173
Soul Survivor 4 Times,60480,6,134,1,,,,2,4,,,LQUE0174
