,,,,441,,,,Usestring,Icon,LUA,SysMsg,,,,,,,,,,,,,,,,,,,,,Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Jelly Bean,,,,441,,,,,3817,,,,,,,,,,,,,,,,,,,,,,,LQIT010
Choropy Skins,,,,441,,,,,3810,,,,,,,,,,,,,,,,,,,,,,,LQIT011
Flowery Flanae,,,,441,,,,,3811,,,,,,,,,,,,,,,,,,,,,,,LQIT012
Tasty Pumpkin,,,,441,,,,,3815,,,,,,,,,,,,,,,,,,,,,,,LQIT013
Ronks Tools,,,,441,,,,,3818,,,,,,,,,,,,,,,,,,,,,,,LQIT014
<new>,,,,441,,,,,1,,,,,,,,,,,,,,,,,,,,,,,LQIT015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captured Bunny,,,,441,,,,,4790,,,,,,,,,,,,,,,,,,,,,,,LQIT017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Fragment,,,,441,,,,,1755,,,,,,,,,,,,,,,,,,,,,,5111,LQIT021
Iron Fragment,,,,441,,,,,1759,,,,,,,,,,,,,,,,,,,,,,5112,LQIT022
Silver Fragment,,,,441,,,,,1760,,,,,,,,,,,,,,,,,,,,,,5113,LQIT023
Gold Fragment,,,,441,,,,,1757,,,,,,,,,,,,,,,,,,,,,,5114,LQIT024
Mineral Fragment,,,,441,,,,,1758,,,,,,,,,,,,,,,,,,,,,,5115,LQIT025
Maple Branch,,,,441,,,,,1795,,,,,,,,,,,,,,,,,,,,,,5116,LQIT026
Konara Branch,,,,441,,,,,1796,,,,,,,,,,,,,,,,,,,,,,5117,LQIT027
Oak Branch,,,,441,,,,,1797,,,,,,,,,,,,,,,,,,,,,,5118,LQIT028
Red Sandalwood Branch,,,,441,,,,,1798,,,,,,,,,,,,,,,,,,,,,,5119,LQIT029
Otherworldly Branch,,,,441,,,,,1798,,,,,,,,,,,,,,,,,,,,,,5120,LQIT030
?????? ????,,,,441,,,,,1625,,,,,,,,,,,,,,,,,,,,,,5121,
?????? ??????,,,,441,,,,,1626,,,,,,,,,,,,,,,,,,,,,,5122,
Ripe Strawberry,,,,441,,,,,1635,,,,,,,,,,,,,,,,,,,,,,,LQIT033
?????? ??????,,,,441,,,,,1628,,,,,,,,,,,,,,,,,,,,,,5124,
?????? ????,,,,441,,,,,1629,,,,,,,,,,,,,,,,,,,,,,5125,
?????? ??????,,,,441,,,,,1730,,,,,,,,,,,,,,,,,,,,,,5126,
