,,(0-10),(1-99),(0-2),(0-..),(1-200),(0-9),(0-20),(0-999),"(0,1)",,,(1~100%),(0-200),0:???????? 1: ???????? 2:???????? 3:????????,(????????),(0-999),(????????),(0-999),(0-63),Ability,Ability Amount,(-100~150),"-??????,",(-100-500),(-100~150),,,0:???????? 1:???????? 2:???????? 3:????????,(????????????),[  OR???? ],-?????? ????????,???? ????????-,,(????????),[OR????],-??????????,????????-,(1????????????),(0-9),- ?????? ??????,???? ???????? -,(1????????????),(0-9),(??????????),(1-250),- ?????? ??????,???? ?????????? -,(????????????),,(1-999),(????????????),100=????,,(1~ ),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(????????),100=????,(???????? ??????),(????????????????),(????????????????),(??????????),74,75,76,77,78,79,80,81,82,83,84,Zulie (85),Learn Bypass,Skill Tree,Buff Summon,Clan Skill Timer,(??????????)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC Convo Motionidx1 BOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC Convo Motionidx3 TALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC Convo Motionidx5 WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Questitem Cooldown,,,,,1,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit,11,0,0,0,1,1,0,,0,0,,,,0,,,0,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,100,,,,,,,,,,,,,,,,,,,,,LSkill0011
