string,Type,Can Duplicate,0:Good/1:Bad/2:Other,0:Removable/1:Not Removable,Status Call No.,Per 1 Second,(????????),,Symbol,Effect,Step Sound,Control,Control,Control,Classic Effect,Shotdown Sound,Prifits Losses by State,Setting String,Ending String,String ID,Type Motion,Start Trigger,End Trigger,Ability String
HP Restoration,1,1,2,1,1,30,,,30,162,,,,,,,,,,LSTA001,,,,
HP Restoration,1,1,2,1,2,76,,,30,162,,,,,,,,,,LSTA002,,,,
HP Restoration,1,1,2,1,3,140,,,30,162,,,,,,,1,,,LSTA003,,,,
MP Restoration,2,1,2,1,4,16,,,1,163,,,,,,,,,,LSTA004,,,,
MP Restoration,2,1,2,1,5,30,,,1,163,,,,,,,,,,LSTA005,,,,
MP Restoration,2,1,2,1,6,70,,,1,163,,,,,,,,,,LSTA006,,,,
Poisoned [1],3,,1,1,7,10,,,6,176,,,,,,,1,,,LSTA007,,,,
Poisoned [2],3,,1,1,8,20,,,6,176,,,,,,,,,,LSTA008,,,,
Poisoned [3],3,,1,1,9,30,,,6,176,,,,,,,1,,,LSTA009,,,,
Poisoned [4],3,,1,1,10,44,,,6,176,,,,,,,,,,LSTA010,,,,
Poisoned [5],3,,1,1,11,60,,,6,176,,,,,,,1,,,LSTA011,,,,
Max HP Up,4,1,,2,,,,,3,152,,,,,,,,,,LSTA012,,,,38
Max MP Up,5,1,,2,,,,,2,153,,,,,,,1,,,LSTA013,,,,39
Dash,6,1,,2,,,,,4,302,,,,,,,,,,LSTA014,,,,23
Slow Run,7,1,1,2,,,,,10,170,,,,,,,1,,,LSTA015,,,,23
Haste Attack,8,1,,2,,,,,18,181,,,,,,,,,,LSTA016,,,,24
Slow Attack,9,1,1,2,,,,,24,182,,,,,,,1,,,LSTA017,,,,24
Attack Power Up,10,1,,2,,,,,14,165,,,,,,,,,,LSTA018,,,,18
Attack Power Down,11,1,1,2,,,,,7,164,,,,,,,1,,,LSTA019,,,,18
Defense Up,12,1,,2,,,,,20,167,,,,,,,,,,LSTA020,,,,19
Defense Down,13,1,1,2,,,,,21,166,,,,,,,1,,,LSTA021,,,,19
Magic Resistance Up,14,1,,2,,,,,5,173,,,,,,,1,,,LSTA022,,,,21
Magic Resistance Down,15,1,1,2,,,,,11,172,,,,,,,1,,,LSTA023,,,,21
Hitting Rate Up,16,1,,2,,,,,13,174,,,,,,,1,,,LSTA024,,,,20
Hitting Rate Down,17,1,1,2,,,,,19,175,,,,,,,,,,LSTA025,,,,20
Critical Up,18,1,,2,,,,,26,168,,,,,,,,,,LSTA026,,,,26
Critical Down,19,1,1,2,,,,,27,169,,,,,,,,,,LSTA027,,,,26
Dodge Up,20,1,,2,,,,,15,178,,,,,,,,,,LSTA028,,,,22
Dodge Down,21,1,1,2,,,,,8,177,,,,,,,1,,,LSTA029,,,,22
Dumb,22,,1,3,,,,,23,1509,,,,,1495,,,,,LSTA030,,,,
Sleep,23,,1,3,,,,,22,1510,,,,,1496,,,,,LSTA031,370,,,
Fainting,24,,1,3,,,,,22,1502,,,,,1497,,,,,LSTA032,370,,,
Camouflage,25,,,3,,,,,29,,,,,,,,,,,LSTA033,,,,
Invisibility,26,,,3,,,,,28,,,,,,,,,,,LSTA034,,,,
Shield Damage,27,1,,3,,,,,17,270,,,,,,,,,,LSTA035,,,,
Additional Damage,28,1,,3,,,,,16,183,,,,,,,,,,LSTA036,,,,
Curse,30,1,1,3,,,,,,,,,,,,,,,,LSTA037,,,,
Recovery,31,1,,3,,,,,,,,,,,,,,,,LSTA038,,,,
Dispell,32,1,,3,,,,,,,,,,,,,,,,LSTA039,,,,
"HP,MP????",1,1,,1,1,20,4,20,30,161,,,,,,,,,,LSTA040,,,,
"HP,MP????",1,1,,1,2,50,5,50,30,161,,,,,,,,,,LSTA041,,,,
"HP,MP????",1,1,,1,3,100,6,100,30,161,,,,,,,,,,LSTA042,,,,
HP????,29,,2,1,43,1,,,,384,,,,,,,,,,LSTA043,,,,
Buff (HP),4,,,2,,,,,3,152,,,,,,,,,,LSTA044,,,,38
Buff (MP),5,,,2,,,,,2,153,,,,,,,,,,LSTA045,,,,39
Buff (MSPD),6,,,2,,,,,4,302,,,,,,,,,,LSTA046,,,,23
Buff (ASPD),8,,,2,,,,,18,181,,,,,,,,,,LSTA047,,,,24
Buff (ATK),10,,,2,,,,,14,165,,,,,,,,,,LSTA048,,,,18
Buff (DEF),12,,,2,,,,,20,167,,,,,,,,,,LSTA049,,,,19
Buff (MRES),14,,,2,,,,,5,173,,,,,,,,,,LSTA050,,,,21
Buff (HIT),16,,,2,,,,,13,174,,,,,,,,,,LSTA051,,,,20
Buff (CRIT),18,,,2,,,,,26,168,,,,,,,,,,LSTA052,,,,26
Buff (DR),20,,,2,,,,,15,178,,,,,,,,,,LSTA053,,,,22
Buff (ADD DMG),28,,,3,,,,,16,183,,,,,,,,,,LSTA054,,,,
Detection,33,1,1,3,,,,,,,,,,,,,,,,LSTA055,,,,
Taunt,34,,1,,,,,,112,184,,,,,,,,,,LSTA056,,,,
Revive / Spawn Protection,35,,2,2,,,,,20,1511,,,,,,,,,,LSTA057,,,,
Burning,3,,1,1,11,30,,,6,1506,,,,,,,1,,,LSTA058,,,,
?????? ????,13,1,2,2,,,,,21,166,,,,,,,1,,,LSTA021,,,,19
???????? ????,7,1,2,2,,,,,10,170,,,,,,,1,,,LSTA015,,,,23
Blink (MSPD),40,1,,2,,,,,4,0,,,,,,,,,,LSTA061,,,,23
??????,25,,,3,,,,,,,,,,,,,,,,LSTA062,,,,
Fortify (DEF),38,1,,2,,,,,63,419,,,,,,,,,,LSTA063,,,,19
HP????,3,,1,1,11,200,,,6,1425,,,,,,,1,,,LSTA064,,,,
Focus (HIT),39,1,,2,,,,,13,420,,,,,,,1,,,LSTA065,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,
Sheild Damage?,27,1,,3,,,,,17,,,,,,,,,,,LSTA067,,,,
Atk Power up,10,1,,2,,,,,14,165,,,,,,,,,,LSTA068,,,,18
Atk Speed up,8,1,,2,,,,,18,181,,,,,,,,,,LSTA069,,,,24
Dodge up,20,1,,2,,,,,15,178,,,,,,,,,,LSTA070,,,,22
Movement speed up,6,1,,2,,,,,4,302,,,,,,,,,,LSTA071,,,,23
Crit Decrease(no effect),19,1,1,2,,,,,27,,,,,,,,,,,LSTA027,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
