11????,,,,3 digits,0~999999,0~200,0~999,,(501~560),(69~89),,????STB,,,,,Condition Ability 1,Condition 2,Reward Ability 2,Reward 2,Function names,file_effect,,,Cooldown Group,Cooldown Time,Condition Ability 2,Condition 2,Reward Ability 2,Reward 2,Combat Block,Seasonal Event,LUA,PvP Block,Confirm,Name Strings
Health Vial (S),,,,311,100,1,1,30,5239,110,584,,,,,9,,,16,200,,143,548,2,1,1,,,,,,,,,,LUSE001
Health Vial (M),,,,311,220,2,1,30,5240,111,584,,,,,9,,,16,400,,143,548,2,1,1,,,,,,,,,,LUSE002
Health Vial (L),,,,311,480,3,1,30,5241,112,584,,,,,9,,,16,800,,143,548,2,1,1,,,,,,,,,,LUSE003
Health Bottle (S),,,,311,270,2,1,50,5242,118,584,,,,,9,,,16,300,,143,548,3,1,1,,,,,,,,,,LUSE004
Health Bottle (M),,,,311,570,3,1,50,5243,119,584,,,,,9,,,16,600,,143,548,3,1,1,,,,,,,,,,LUSE005
Health Bottle (L),,,,311,1000,4,1,50,5244,120,584,,,,,9,,,16,1000,,143,548,3,1,1,,,,,,,,,,LUSE006
Herbal Medicine (S),,,,311,175,2,1,30,5275,118,584,,,,,9,,,16,500,,143,547,1,1,1,,,,,,,,,,LUSE007
Herbal Medicine (M),,,,311,263,2,1,30,5276,118,584,,,,,9,,,16,700,,143,547,1,1,1,,,,,,,,,,LUSE008
Herbal Medicine (L),,,,311,400,3,1,30,8994,118,584,,,,,9,,,16,1000,,143,547,1,1,1,,,,,,,,,,LUSE009
Vital Water (S),,,,311,450,1,1,70,5246,118,584,,,,,9,,,16,250,,141,548,,5,,,,,,,,,,,LUSE010
Vital Water (M),,,,311,950,1,1,75,5247,118,584,,,,,9,,,16,500,,141,548,,5,,,,,,,,,,,LUSE011
Vital Water (L),,,,311,1500,1,1,80,5248,118,584,,,,,9,,,16,750,,141,548,,5,,,,,,,,,,,LUSE012
Vital Water (XL),,,,311,2100,1,1,85,5249,118,584,,,,,9,,,16,1000,,141,548,,5,,,,,,,,,,,LUSE013
Vital Water (XXL),,,,311,3000,1,1,90,5250,118,584,,,,,9,,,16,1250,,141,548,,5,,,,,,,,,,,LUSE014
,,,,311,0,1,1,,,,584,,,,,9,,,16,,,140,548,,,,,,,,,,,,,
,,,,311,0,1,1,,,,584,,,,,9,,,16,,,140,548,,,,,,,,,,,,,
,,,,311,0,1,1,,,,584,,,,,9,,,16,,,140,548,,,,,,,,,,,,,
,,,,311,0,0,1,,,,584,,,,,9,,,16,,,140,548,,,,,,,,,,,,,
Red Pill,,,6,311,1000,1,1,90,1590,118,584,,,,,9,,,16,2000,,147,548,,5,,,,,,,,,,,LUSE019
,,,,311,0,0,1,,,,584,,,,,9,,,16,,,140,548,,,,,,,,,,,,,
Mana Vial (S),,,,311,150,1,1,30,5252,113,584,,,,,9,,,17,150,,144,548,5,1,1,,,,,,,,,,LUSE021
Mana Vial (M),,,,311,330,2,1,30,5253,114,584,,,,,9,,,17,300,,144,548,5,1,1,,,,,,,,,,LUSE022
Mana Vial (L),,,,311,600,3,1,30,5254,115,584,,,,,9,,,17,500,,144,548,5,1,1,,,,,,,,,,LUSE023
Mana Bottle (S),,,,311,300,2,1,50,5255,121,584,,,,,9,,,17,200,,144,548,6,1,1,,,,,,,,,,LUSE024
Mana Bottle (M),,,,311,640,3,1,50,5256,122,584,,,,,9,,,17,400,,144,548,6,1,1,,,,,,,,,,LUSE025
Mana Bottle (L),,,,311,1190,4,1,50,5257,123,584,,,,,9,,,17,700,,144,548,6,1,1,,,,,,,,,,LUSE026
