????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,8,,,101,31,,1,,Item Set,Dynamic Weapon,Prefix,Costume,Change Costume,Expire,
Wooden Sword,weapon\onehand\osw15\osw15.txt,,,211,0,0,10,24,910,301,578,,,,,,,,,,,,,,,,,,35,2,,,150,1,7,9,0,,111,38,,5,2,,,,,,,LWEA001
Short Sword,weapon\onehand\osw1\osw1.txt,,,211,420,0,5,26,911,302,577,,,,,,,,,,,,,,,,,,35,2,,,150,1,10,9,0,,111,38,,5,2,,,,,,,LWEA002
Rapier,weapon\onehand\osw2\osw2.txt,,,211,850,0,5,28,912,303,577,,,,,,,,31,10,10,30,,,,,,,38,2,,,200,1,14,9,0,,111,37,,5,2,,,,,,,LWEA003
Khukuri,weapon\onehand\osw16\osw16.txt,,,211,1890,0,5,32,913,304,577,11,1,501,20,,,,31,20,10,47,,,,,,,40,2,,,200,1,23,10,0,,111,38,,5,2,,,,,,,LWEA004
Long Sword,WEAPON\onehand\osw3\osw3.txt,,,211,3570,0,10,36,914,305,577,11,2,502,22,,,,31,29,10,62,,,,,,,41,2,,,200,1,31,10,0,,111,38,,5,2,,,,,,,LWEA005
Bushido,weapon\onehand\osw4\osw4.txt,,,211,6680,0,15,39,915,306,577,11,2,503,26,,,,31,38,10,76,,,,,,,43,2,,,200,1,39,9,0,,111,38,,5,2,,,,,,,LWEA006
Saber,weapon\onehand\osw17\osw17.txt,,,211,11880,0,15,43,916,307,577,11,3,504,30,,,,31,47,10,91,,,,,,,45,2,,,200,1,51,10,0,,111,38,,5,2,,,,,,,LWEA007
Elven Sword,weapon\onehand\osw18\osw18.txt,,,211,19750,0,15,46,917,308,577,11,3,505,34,,,,31,56,10,105,,,,,,,46,2,,,200,1,62,10,0,,111,38,,5,2,,,,,,,LWEA008
Squid Sword,weapon\onehand\osw11\osw11.txt,,,211,28400,0,20,50,918,309,577,11,4,506,38,,,,31,64,10,118,,,,,,,48,2,,,200,1,72,10,0,,111,38,,5,2,,,,,,,LWEA009
Shark Blade,weapon\onehand\osw9\osw9.txt,,,211,37600,0,25,53,919,310,577,11,4,507,42,,,,31,72,10,131,,,,,,,49,2,,,200,1,80,9,0,,111,38,,5,2,,,,,,,LWEA010
