string,string,string,string,"0: Outdoor, 1: Underground, 2: Game Arena",string,string,list_sky,string,,,string,string,,,,,,,str_planet,list_stepsound,list_camera,string,string,string,,string,,,,1:cart/m 2:cgs,int,,,int,int,worldmap,string,No terrain,Seasonal Textures,1: Bonfires 2: None,GM Only,Block EQ Changes,Block Fairy,Block Shops,Hide On Map Dlg,Client PvP,Armory Hide,Block Bag,Skip Checksum,Block Pets,Block Skills,Leave Party,Force Weather,string,Hide Minimap,Upgrading,Team Chat,RespawnTimer,Auto PK Mode,Game Arena,Tooltip String,MaxAltitude,Wmap Zulie
Canyon City of Zant,3DDATA\Maps\Junon\JDT01\JDT01.zon,start,restore,0,Sound\BGM\Town01_junon.ogg,Sound\BGM\Town01_junon.ogg,0,3Ddata\Maps\Junon\JDT01\minimap.DDS,31,30,3DDATA\JUNON\LIST_DECO_JDT.ZSC,3DDATA\JUNON\LIST_CNST_JDT.ZSC,160,0,10,111,124,,1,3,,PvP1301-340,,,4000,LZON001,,4,4,,,,,0,25,1,,,,,,,,,,,,,,,,,,,,,,,,,2261,,1150
City of Junon Polis,3DDATA\Maps\Junon\JPT01\JPT01.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\Junon\JPT01\minimap.DDS,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,,1,4,,PvP1301-340,,,4000,LZON002,,4,4,0,,,,0,25,2,,,1,,,,,,,,,,,,,,,,,,,,,,2265,,1380
Dolphin Island,3DDATA\Maps\Junon\JG06\JG06.zon,start,restore,2,Sound\BGM\Event01_junon.ogg,Sound\BGM\Event01_junon.ogg,0,3Ddata\Maps\Junon\JG06\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,14,136,158,,1,2,,MAP3-QSD,,,6000,LZON003,,4,4,2,,,,0,25,,,,,2,,,1,,2,,,,,1,,,,,,,,,,,2348,11000,
Login Map,3DDATA\Maps\Junon\Title_JPT\title_jpt.zon,start,restore,0,Sound\BGM\Prologue.ogg,Sound\BGM\Prologue.ogg,0,3Ddata\Maps\Junon\TITLE_JPT\minimap.DDS,32,31,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,160,0,11,112,128,,1,4,,PvP1301-340,,,4000,LZON004,,4,4,0,25,,,0,25,2,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
Junon Cartel,3DDATA\Maps\Junon\JPVP01\JPVP01.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\Junon\JPVP01\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,720,0,0,720,720,2,1,4,,PvP1301-320,,,7000,LZON005,,,,0,,,,0,25,2,,,,2,1,,,,2,,,,,,,,,,,,,,,,,,
Crusader Training Camp,3DDATA\Maps\Junon\JPVP02\JPVP02.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\Junon\JPVP02\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TG_Transfer,,,7000,LZON006,,,,1,,,,0,25,2,,,,1,,,1,,2,,1,,,,,,,,,,,,,,,,
Crusader Battlegrounds,3Ddata\MAPS\JUNON\Arua01\Arua01.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\JUNON\Arua01\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,MAP7-PVP,MAP7-KILL,MAP7-DEATH,4000,LZON007,,4,4,3,,,,0,25,7,,,,2,,,1,,2,,1,,,,,,,,,,,,,,,,
Lion's Plains,3DDATA\Maps\Junon\JPVP04\JPVP04.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\Junon\JPVP04\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,720,0,0,720,720,0,1,2,,PvP-A-010,,,6000,LZON008,,,,0,,,,0,25,2,,,,2,1,,,,2,,,,,,,,,,,,,,,,,,
Junon Union War,3DDATA\Maps\Junon\JPVP05\JPVP05.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\Junon\JPVP05\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,720,0,0,720,720,1,1,4,,PvP10-331,PvP10-341,PvP10-351,6000,LZON009,,,,0,,,,0,25,21,,,,1,,,,,2,,1,,,,,,,,,,,,,,,,
Adventurers Plains (EVO),,start,restore,0,Sound\BGM\junon_wind.ogg,Sound\BGM\junon_wind.ogg,0,3Ddata\Maps\Junon\JGT01\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,13,125,151,,1,2,,PvP1301-340,,,4000,LZON010,,4,4,0,,,,0,25,10,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
Junon Clan Field,3DDATA\Maps\Junon\JG08\jg08.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG08\minimap.DDS,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,100,0,15,55,70,1,1,2,,ZONE_JCF,,,6000,LZON011,,4,4,1,,,,0,25,0,,,,,,,,,,,,,,,,,,11-RespawnOut,,,,60,,,2282,,
Junon Clan Field,3DDATA\Maps\Junon\JG09\jg09.zon,start,restore,0,Sound\BGM\Event01_junon.ogg,Sound\BGM\Event01_junon.ogg,0,3Ddata\Maps\Junon\JG08\minimap.DDS,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,100,0,15,55,70,1,1,2,,ZONE_JCF,,,6000,LZON011,,4,4,1,,,,0,25,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Junon Clan Field,3DDATA\Maps\Junon\JG10\jg10.zon,start,restore,0,Sound\BGM\Event01_junon.ogg,Sound\BGM\Event01_junon.ogg,0,3Ddata\Maps\Junon\JG08\minimap.DDS,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,100,0,15,55,70,1,1,2,,ZONE_JCF,,,6000,LZON011,,4,4,1,,,,0,25,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
PVP Game Thing,3Ddata\MAPS\JUNON\PVPBattle1\Qlimax.zon,start,restore,0,,,0,3Ddata\MAPS\JUNON\PVPBattle1\Qlimax.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,,1,,,,,,4000,LZON014,,4,4,0,,,,0,25,14,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
Clan House,3DDATA\Maps\Junon\Agit01\agit01.zon,start,restore,1,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\Junon\Agit01\minimap.DDS,32,32,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,160,0,0,160,160,11,8,4,,ZONE_CH,,,4000,LZON015,,,,,,,,,,2,,,,,,,,1,1,,1,,,,,,,,1,,,,,,,,
Clan Beach,3DDATA\Maps\Junon\cbeach\cbeach.zon,start,restore,0,Sound\BGM\junon_wind.ogg,Sound\BGM\junon_wind.ogg,0,3Ddata\Maps\Junon\Sum_Event\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,94,112,1,1,2,,Arua_ClanBeach,,,5000,LZON016,,4,4,1,,,,0,25,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
