,
¶ó¹Ù±âº»[¸Ó¸®+¸öÅë],3DData\NPC\animal\larva\larva1.txt
¹ú ±âº»¸Ó¸®,3DData\NPC\animal\bee\head01.txt
¹ú ±âº»¸öÅë,3DData\NPC\animal\bee\body01.txt
°³¹Ì ±âº»¸Ó¸®,3DData\NPC\animal\ant\head01.txt
°³¹Ì ±âº»¸öÅë,3DData\NPC\animal\ant\body01.txt
´ÞÆØÀÌ¸Ó¸®1,3DData\NPC\animal\snail\head01.txt
´ÞÆØÀÌ¸öÅë1,3DData\NPC\animal\snail\body01.txt
´ÞÆØÀÌ¸Ó¸®2,3DData\NPC\animal\snail\head02.txt
´ÞÆØÀÌ¸öÅë2,3DData\NPC\animal\snail\body02.txt
³Ê±¸¸®¸Ó¸®1,3DData\NPC\animal\raccoon\head01.txt
³Ê±¸¸®¸öÅë1,3DData\NPC\animal\raccoon\body01.txt
°í¸±¶ó¸Ó¸®1,3DData\NPC\animal\gorilla\head01.txt
°í¸±¶ó¸öÅë1,3DData\NPC\animal\gorilla\body01.txt
°í¸±¶ó¸Ó¸®2[Àº»ö],3DData\NPC\animal\gorilla\head02.txt
°í¸±¶ó¸öÅë2[Àº»ö],3DData\NPC\animal\gorilla\body02.txt
°í¸±¶ó¸Ó¸®3[±Ý»ö],3DData\NPC\animal\gorilla\head03.txt
°í¸±¶ó¸öÅë3[±Ý»ö],3DData\NPC\animal\gorilla\body03.txt
¾Ç¾îÅõ±¸1,3DData\NPC\animal\alligator\head01.txt
¾Ç¾î¸öÅë1,3DData\NPC\animal\alligator\body01.txt
¾Ç¾îÅõ±¸2,3DData\NPC\animal\alligator\head02.txt
»ç½¿¹ú·¹¸Ó¸®1,3DData\NPC\animal\stagbeetle\head01.txt
»ç½¿¹ú·¹¸öÅë1,3DData\NPC\animal\stagbeetle\body01.txt
µÎ´õÁö¸Ó¸®1,3DData\NPC\animal\mole\head01.txt
µÎ´õÁö¸öÅë1,3DData\NPC\animal\mole\body01.txt
µÅÁö¸Ó¸®1,3DData\NPC\animal\pigwarrier\head01.txt
µÅÁö¸öÅë1,3DData\NPC\animal\pigwarrier\body01.txt
°¡Àç¸Ó¸®1,3DData\NPC\animal\lobster\head01.txt
°¡Àç¸öÅë1,3DData\NPC\animal\lobster\body01.txt
´Á´ë¸Ó¸®1,3DData\NPC\animal\wolf\head01.txt
´Á´ë¸öÅë1,3DData\NPC\animal\wolf\body01.txt
¸®ºñ´Ù¸Ó¸®1,3DData\NPC\plant\livida\head01.txt
¸®ºñ´Ù¸öÅë1,3DData\NPC\plant\livida\body01.txt
STONY1,3DData\NPC\etc\stony\head01.txt
È£¹Ú¸Ó¸®1,3DData\NPC\plant\pumpkin\head01.txt
Äá¸öÅë1,3DData\NPC\plant\jellybean1\body01.txt
°³¹Ì3¸Ó¸®,3DData\NPC\animal\ant3\head01.txt
°³¹Ì3¸öÅë,3DData\NPC\animal\ant3\body01.txt
³ª¹«±«¹°,3Ddata\NPC\plant\smallree1\body01.txt
Ä¸Æ¾µÅÁö¸Ó¸®,3Ddata\NPC\animal\Captain_pig1\head01.txt
Ä¸Æ¾µÅÁö¸ö,3Ddata\NPC\animal\Captain_pig1\body01.txt
¹é¼öµÅÁö¸Ó¸®,3Ddata\NPC\animal\Pig1\head01.txt
¹é¼öµÅÁö¸ö,3Ddata\NPC\animal\Pig1\body01.txt
°ÅºÏÀÌ¸Ó¸®,3Ddata\NPC\animal\Turtle_beetle1\head01.txt
°ÅºÏÀÌ¸ö,3Ddata\NPC\animal\Turtle_beetle1\body01.txt
Ç³µ­ÀÌ¸Ó¸®,3Ddata\NPC\animal\stagbeetle\head02.txt
