Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
arms_0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,/Game/Characters/Modular/Female/arms_0/arms_0/SkeletalMeshes/arms_0,/Game/Characters/Modular/Male/arms_0/arms_0/SkeletalMeshes/arms_0,,,
arms_1,1,0,0,0,0,0,0,0,,,,,,,,,,,0,/Game/Characters/Modular/Female/arms_1/arms_1/SkeletalMeshes/arms_1,/Game/Characters/Modular/Male/arms_1/arms_1/SkeletalMeshes/arms_1,,,
arms_2,2,143,1,1,416,10,150,0,,,,,,,,,25,1,242,/Game/Characters/Modular/Female/arms_2/arms_2/SkeletalMeshes/arms_2,/Game/Characters/Modular/Male/arms_2/arms_2/SkeletalMeshes/arms_2,LARM002,White Gloves,Fingerless gloves made with white fabric.
arms_3,3,143,2,1,417,11,200,0,31,4,,,,,,,26,1,242,/Game/Characters/Modular/Female/arms_3/arms_3/SkeletalMeshes/arms_3,/Game/Characters/Modular/Male/arms_3/arms_3/SkeletalMeshes/arms_3,LARM003,Leather Gloves,Fingerless gloves made out of leather.
arms_4,4,143,3,1,418,12,350,0,31,5,,,,,,,26,1,242,/Game/Characters/Modular/Female/arms_4/arms_4/SkeletalMeshes/arms_4,/Game/Characters/Modular/Male/arms_4/arms_4/SkeletalMeshes/arms_4,LARM004,Dumb Gloves,Gloves that supposedly went out of fashion years ago.
arms_5,5,143,4,1,419,12,750,0,31,7,,,24,1,,,26,1,242,/Game/Characters/Modular/Female/arms_5/arms_5/SkeletalMeshes/arms_5,/Game/Characters/Modular/Male/arms_5/arms_5/SkeletalMeshes/arms_5,LARM005,Safe Gloves,Thick mittens that keep one???s hands from getting hurt.
arms_6,6,143,4,2,420,13,1200,0,31,10,,,24,2,,,26,1,242,/Game/Characters/Modular/Female/arms_6/arms_6/SkeletalMeshes/arms_6,/Game/Characters/Modular/Male/arms_6/arms_6/SkeletalMeshes/arms_6,LARM006,Action Gloves,Fingerless gloves made out of stout leather.
arms_7,7,143,5,1,421,15,1400,0,31,15,,,24,2,,,27,1,242,/Game/Characters/Modular/Female/arms_7/arms_7/SkeletalMeshes/arms_7,/Game/Characters/Modular/Male/arms_7/arms_7/SkeletalMeshes/arms_7,LARM007,Full Action Gloves,"Fingerless gloves made out of stout, yet flexible leather."
arms_8,8,143,5,3,422,16,2100,0,31,20,,,24,3,,,27,1,242,/Game/Characters/Modular/Female/arms_8/arms_8/SkeletalMeshes/arms_8,/Game/Characters/Modular/Male/arms_8/arms_8/SkeletalMeshes/arms_8,LARM008,Gray Gloves,Gray gloves that seem sturdy and dependable.
arms_9,9,143,6,2,423,18,2450,0,31,25,,,24,3,,,28,1,242,/Game/Characters/Modular/Female/arms_9/arms_9/SkeletalMeshes/arms_9,/Game/Characters/Modular/Male/arms_9/arms_9/SkeletalMeshes/arms_9,LARM009,Hill Gray Gloves,Gloves that have a piously grey color.
