Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,MoveSpeed,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
back_1,1,163,30,30,799,30,68000,0,,,,,,23,100,10,15,70,0,248,/Game/Characters/Modular/Female/back_1/back_1/SkeletalMeshes/back_1,/Game/Characters/Modular/Male/back_1/back_1/SkeletalMeshes/back_1,LBAC001,Little Black Seraph Wing,A Very Cute Smaller Version of Seraph Wing
back_2,2,163,30,30,2461,30,68000,0,,,,,,23,100,11,15,70,0,248,/Game/Characters/Modular/Female/back_2/back_2/SkeletalMeshes/back_2,/Game/Characters/Modular/Male/back_2/back_2/SkeletalMeshes/back_2,LBAC002,Little Blue Seraph Wing,A Very Cute Smaller Version of Seraph Wing
back_3,3,163,30,30,2463,30,68000,0,,,,,,23,100,12,15,70,0,248,/Game/Characters/Modular/Female/back_3/back_3/SkeletalMeshes/back_3,/Game/Characters/Modular/Male/back_3/back_3/SkeletalMeshes/back_3,LBAC820,Gundam Purple Wings ,Gundam Purple Wings 
back_4,4,163,30,30,2462,30,68000,0,,,,,,23,100,13,15,70,0,248,/Game/Characters/Modular/Female/back_4/back_4/SkeletalMeshes/back_4,/Game/Characters/Modular/Male/back_4/back_4/SkeletalMeshes/back_4,LBAC004,Little Pink Seraph Wing,A Very Cute Smaller Version of Seraph Wing
back_5,5,161,50,50,3516,30,68000,0,,31,90,,,19,10,26,10,70,0,248,/Game/Characters/Modular/Female/back_5/back_5/SkeletalMeshes/back_5,/Game/Characters/Modular/Male/back_5/back_5/SkeletalMeshes/back_5,LBAC005,Scorpion Backshield,A Backshield made up of Scorpion
back_6,6,163,50,50,5070,30,68000,0,,31,131,,,20,100,19,100,120,0,248,/Game/Characters/Modular/Female/back_6/back_6/SkeletalMeshes/back_6,/Game/Characters/Modular/Male/back_6/back_6/SkeletalMeshes/back_6,LBAC006,Bone Wing,A Wing made up of Scorpion
back_7,7,161,50,50,3512,30,68000,0,,31,90,,,10,15,11,15,70,0,248,/Game/Characters/Modular/Female/back_7/back_7/SkeletalMeshes/back_7,/Game/Characters/Modular/Male/back_7/back_7/SkeletalMeshes/back_7,LBAC007,Chimpansy Backpack,A Backshield made up of Chimpansy
back_8,8,163,50,50,5071,30,68000,0,,31,131,,,20,100,11,30,120,0,248,/Game/Characters/Modular/Female/back_8/back_8/SkeletalMeshes/back_8,/Game/Characters/Modular/Male/back_8/back_8/SkeletalMeshes/back_8,LBAC008,Cloud Wings,A Wing made up of Weird Looking Cloud
back_9,9,163,45,45,3504,30,68000,0,,31,90,,,20,50,11,15,120,0,248,/Game/Characters/Modular/Female/back_9/back_9/SkeletalMeshes/back_9,/Game/Characters/Modular/Male/back_9/back_9/SkeletalMeshes/back_9,LBAC009,Dragon Wings Blue,A Wing taken from Blue Dragons
back_10,10,163,45,45,3505,30,68000,0,,31,90,,,20,50,10,15,120,0,248,/Game/Characters/Modular/Female/back_10/back_10/SkeletalMeshes/back_10,/Game/Characters/Modular/Male/back_10/back_10/SkeletalMeshes/back_10,LBAC010,Dragon Wings Red,A Wing taken from Red Dragons
