Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
body_0,0,133,0,0,0,0,0,0,,,,,,,,,,,0,/Game/Characters/Modular/Female/body_0/body_0/SkeletalMeshes/body_0,/Game/Characters/Modular/Male/body_0/body_0/SkeletalMeshes/body_0,,,
body_1,1,133,0,0,0,0,0,0,,,,,,,,,,,0,/Game/Characters/Modular/Female/body_1/body_1/SkeletalMeshes/body_1,/Game/Characters/Modular/Male/body_1/body_1/SkeletalMeshes/body_1,,,
body_2,2,133,13,3,260,20,200,0,,,,,,,,,34,10,241,/Game/Characters/Modular/Female/body_2/body_2/SkeletalMeshes/body_2,/Game/Characters/Modular/Male/body_2/body_2/SkeletalMeshes/body_2,LBOD002,Flower Shorts ,Basic shorts made with a flower based on those worn by the first humans.
body_3,3,133,14,5,261,20,300,0,,,,,,,,,34,10,241,/Game/Characters/Modular/Female/body_3/body_3/SkeletalMeshes/body_3,/Game/Characters/Modular/Male/body_3/body_3/SkeletalMeshes/body_3,LBOD003,Leopard Ensemble,An outfit made with leopard pelt for that wild and savage look.
body_4,4,133,16,6,262,22,450,0,31,5,,,,,,,35,10,241,/Game/Characters/Modular/Female/body_4/body_4/SkeletalMeshes/body_4,/Game/Characters/Modular/Male/body_4/body_4/SkeletalMeshes/body_4,LBOD004,Blue Wild Jeans,A pair of blue Jeans.
body_5,5,133,17,6,263,23,1450,0,31,7,,,38,30,,,35,10,241,/Game/Characters/Modular/Female/body_5/body_5/SkeletalMeshes/body_5,/Game/Characters/Modular/Male/body_5/body_5/SkeletalMeshes/body_5,LBOD005,Yellow Wild Jeans,A pair of yellow Jeans.
body_6,6,133,18,7,264,24,2050,0,31,10,,,38,36,,,36,10,241,/Game/Characters/Modular/Female/body_6/body_6/SkeletalMeshes/body_6,/Game/Characters/Modular/Male/body_6/body_6/SkeletalMeshes/body_6,LBOD006,Natalie Look,Casual wear that is very convenient to wear at any time.
body_7,7,133,20,8,265,26,3400,0,31,15,,,38,46,,,36,10,241,/Game/Characters/Modular/Female/body_7/body_7/SkeletalMeshes/body_7,/Game/Characters/Modular/Male/body_7/body_7/SkeletalMeshes/body_7,LBOD007,Yellow Denim Look,The yellow version of clothes made for adventurers that are just beginning to develop their skills.
body_8,8,133,22,9,266,28,5050,0,31,20,,,38,56,,,37,10,241,/Game/Characters/Modular/Female/body_8/body_8/SkeletalMeshes/body_8,/Game/Characters/Modular/Male/body_8/body_8/SkeletalMeshes/body_8,LBOD008,Blue Denim Look,The blue version of clothes made for adventurers that are just beginning to develop their skills.
body_9,9,133,24,10,267,30,7200,0,31,25,,,38,66,,,38,10,241,/Game/Characters/Modular/Female/body_9/body_9/SkeletalMeshes/body_9,/Game/Characters/Modular/Male/body_9/body_9/SkeletalMeshes/body_9,LBOD009,Brown Denim Look,The brown version of clothes made for adventurers that are just beginning to develop their skills.
body_10,10,133,27,11,268,32,10050,0,31,30,,,38,76,,,39,10,241,/Game/Characters/Modular/Female/body_10/body_10/SkeletalMeshes/body_10,/Game/Characters/Modular/Male/body_10/body_10/SkeletalMeshes/body_10,LBOD010,Islamic Dress,A conservative dress for conservative people.
body_11,11,133,29,12,269,34,13150,0,31,35,,,38,86,,,39,10,241,/Game/Characters/Modular/Female/body_11/body_11/SkeletalMeshes/body_11,/Game/Characters/Modular/Male/body_11/body_11/SkeletalMeshes/body_11,LBOD011,Venetian Dress,A dress suitable for people who like traveling.
body_12,12,133,31,14,270,36,17000,0,31,40,,,38,96,,,40,10,241,/Game/Characters/Modular/Female/body_12/body_12/SkeletalMeshes/body_12,/Game/Characters/Modular/Male/body_12/body_12/SkeletalMeshes/body_12,LBOD012,Fancy Sky,A gown that makes its wearer feels refreshed.
body_13,13,133,34,15,271,38,21850,0,31,45,,,38,106,,,41,10,241,/Game/Characters/Modular/Female/body_13/body_13/SkeletalMeshes/body_13,/Game/Characters/Modular/Male/body_13/body_13/SkeletalMeshes/body_13,LBOD013,Fancy Blue,An indulgent gown that makes its wearer feels refreshed.
body_14,14,133,40,18,273,41,33300,0,31,55,,,38,126,,,43,10,241,/Game/Characters/Modular/Female/body_14/body_14/SkeletalMeshes/body_14,/Game/Characters/Modular/Male/body_14/body_14/SkeletalMeshes/body_14,LBOD014,Junior Look,Clothes for normal magic school students.
body_15,15,133,45,20,274,44,45650,0,31,63,,,38,142,,,44,10,241,/Game/Characters/Modular/Female/body_15/body_15/SkeletalMeshes/body_15,/Game/Characters/Modular/Male/body_15/body_15/SkeletalMeshes/body_15,LBOD015,Senior Look,Clothes for magic school students that exhibit great potential.
body_16,16,133,52,24,276,44,41850,0,31,60,,,38,136,,,44,10,241,/Game/Characters/Modular/Female/body_16/body_16/SkeletalMeshes/body_16,/Game/Characters/Modular/Male/body_16/body_16/SkeletalMeshes/body_16,LBOD016,Redfield Green Suit,A fine suit for a gentleman.
body_17,17,133,59,29,277,48,50750,0,31,75,,,38,156,,,48,10,241,/Game/Characters/Modular/Female/body_17/body_17/SkeletalMeshes/body_17,/Game/Characters/Modular/Male/body_17/body_17/SkeletalMeshes/body_17,LBOD017,Redfield Black Suit,A gentlemanly suit for a connoisseur of fashion.
body_18,18,133,143,77,322,52,60450,0,31,160,,,38,266,,,64,10,241,/Game/Characters/Modular/Female/body_18/body_18/SkeletalMeshes/body_18,/Game/Characters/Modular/Male/body_18/body_18/SkeletalMeshes/body_18,LBOD018,Redfield Red Suit,A fine red suit for a honourable gentleman.
body_19,19,0,0,0,0,0,0,0,,,,,,,,,,,0,/Game/Characters/Modular/Female/body_19/body_19/SkeletalMeshes/body_19,/Game/Characters/Modular/Male/body_19/body_19/SkeletalMeshes/body_19,,,
body_20,20,131,281,175,6305,80,305150,0,31,255,,,38,375,10,50,125,20,225,/Game/Characters/Modular/Female/body_20/body_20/SkeletalMeshes/body_20,/Game/Characters/Modular/Male/body_20/body_20/SkeletalMeshes/body_20,LBOD020,Aurum Plate Mail,
