Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,HairSettingF,HairSettingM,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
cap_2,2,123,5,2,78,14,650,0,LCAP002,2,,,,,,,,,33,3,243,/Game/Characters/Modular/Female/cap_2/cap_2/SkeletalMeshes/cap_2,/Game/Characters/Modular/Male/cap_2/cap_2/SkeletalMeshes/cap_2,LCAP002,Green Hat,A basic hat that is suitable for traveling.
cap_3,3,123,5,2,79,15,650,0,LCAP003,2,31,4,,,,,,,33,3,243,/Game/Characters/Modular/Female/cap_3/cap_3/SkeletalMeshes/cap_3,/Game/Characters/Modular/Male/cap_3/cap_3/SkeletalMeshes/cap_3,LCAP003,Luxurious Green Hat,A basic hat that is perfect for traveling.
cap_4,4,123,6,2,80,16,1050,0,LCAP004,4,31,5,,,20,1,,,33,3,243,/Game/Characters/Modular/Female/cap_4/cap_4/SkeletalMeshes/cap_4,/Game/Characters/Modular/Male/cap_4/cap_4/SkeletalMeshes/cap_4,LCAP004,Bandana of Iguje,A nice bandana which is very useful on a bad hair day.
cap_5,5,123,6,2,81,16,1100,0,LCAP005,4,31,7,,,20,1,,,34,3,243,/Game/Characters/Modular/Female/cap_5/cap_5/SkeletalMeshes/cap_5,/Game/Characters/Modular/Male/cap_5/cap_5/SkeletalMeshes/cap_5,LCAP005,Islamic Bandana,A trendy bandana which is very useful on a bad hair day.
cap_6,6,123,6,3,82,17,1450,0,LCAP006,2,31,10,,,20,2,,,34,3,243,/Game/Characters/Modular/Female/cap_6/cap_6/SkeletalMeshes/cap_6,/Game/Characters/Modular/Male/cap_6/cap_6/SkeletalMeshes/cap_6,LCAP006,Red Beret,A red beret that generally attracts people who understand fashion.
cap_7,7,123,7,3,83,19,2100,0,LCAP007,2,31,15,,,20,3,,,34,3,243,/Game/Characters/Modular/Female/cap_7/cap_7/SkeletalMeshes/cap_7,/Game/Characters/Modular/Male/cap_7/cap_7/SkeletalMeshes/cap_7,LCAP007,Red Leather Beret,An attractive leather hat that generally commands notice from the fashion savvy.
cap_8,8,123,8,3,84,21,2850,0,LCAP008,1,31,20,,,20,4,,,35,3,243,/Game/Characters/Modular/Female/cap_8/cap_8/SkeletalMeshes/cap_8,/Game/Characters/Modular/Male/cap_8/cap_8/SkeletalMeshes/cap_8,LCAP008,Rodeo Hat,Wearing this attractive hat feels like riding a horse in the dusty desert.
cap_9,9,123,8,4,85,23,3750,0,LCAP009,1,31,25,,,20,5,,,35,3,243,/Game/Characters/Modular/Female/cap_9/cap_9/SkeletalMeshes/cap_9,/Game/Characters/Modular/Male/cap_9/cap_9/SkeletalMeshes/cap_9,LCAP009,Luxurious Rodeo Hat,Wearing this attractive hat feels like riding a horse in a field of lush grass.
cap_10,10,123,9,4,86,24,4750,0,LCAP010,2,31,30,,,20,6,,,36,3,243,/Game/Characters/Modular/Female/cap_10/cap_10/SkeletalMeshes/cap_10,/Game/Characters/Modular/Male/cap_10/cap_10/SkeletalMeshes/cap_10,LCAP010,Joker Jester,A hat that is known for making jesters look ridiculous.
cap_11,11,123,10,5,87,26,6200,0,LCAP011,2,31,35,,,20,7,,,36,3,243,/Game/Characters/Modular/Female/cap_11/cap_11/SkeletalMeshes/cap_11,/Game/Characters/Modular/Male/cap_11/cap_11/SkeletalMeshes/cap_11,LCAP011,Luxurious Joker Jester,A hat that is known for making jesters look ridiculously funny.
cap_12,12,123,11,6,88,28,7950,0,LCAP012,2,31,40,,,20,8,,,37,3,243,/Game/Characters/Modular/Female/cap_12/cap_12/SkeletalMeshes/cap_12,/Game/Characters/Modular/Male/cap_12/cap_12/SkeletalMeshes/cap_12,LCAP012,Venetian Hat,A hat which makes its wearer look like a rich man.
cap_13,13,123,12,6,89,29,9550,0,LCAP013,2,31,45,,,20,9,,,38,3,243,/Game/Characters/Modular/Female/cap_13/cap_13/SkeletalMeshes/cap_13,/Game/Characters/Modular/Male/cap_13/cap_13/SkeletalMeshes/cap_13,LCAP013,Luxurious Venetian Hat ,"A hat which makes its wearer look like a rich, sophisticated man."
cap_14,14,123,14,7,91,33,14100,0,LCAP014,2,31,55,,,20,11,,,39,3,243,/Game/Characters/Modular/Female/cap_14/cap_14/SkeletalMeshes/cap_14,/Game/Characters/Modular/Male/cap_14/cap_14/SkeletalMeshes/cap_14,LCAP014,Junior Cap,A hat for normal magic school students.
cap_15,15,123,16,8,92,35,19050,0,LCAP015,2,31,63,,,20,13,,,40,3,243,/Game/Characters/Modular/Female/cap_15/cap_15/SkeletalMeshes/cap_15,/Game/Characters/Modular/Male/cap_15/cap_15/SkeletalMeshes/cap_15,LCAP015,Senior Cap,A hat for more prestigious students attending magic school.
cap_16,16,123,18,10,94,39,26350,0,LCAP016,2,31,75,,,20,15,,,41,3,243,/Game/Characters/Modular/Female/cap_16/cap_16/SkeletalMeshes/cap_16,/Game/Characters/Modular/Male/cap_16/cap_16/SkeletalMeshes/cap_16,LCAP016,Redfield Green Hat,A sophisticated hat for the dapper gentleman.
cap_17,17,123,23,13,95,41,33600,0,LCAP017,2,31,85,,,20,17,,,43,3,243,/Game/Characters/Modular/Female/cap_17/cap_17/SkeletalMeshes/cap_17,/Game/Characters/Modular/Male/cap_17/cap_17/SkeletalMeshes/cap_17,LCAP017,Redfield Black Hat,A sophisticated hat for the dapper gentleman.
cap_18,18,123,52,33,47,47,45650,0,LCAP018,2,31,160,,,20,29,,,61,3,243,/Game/Characters/Modular/Female/cap_18/cap_18/SkeletalMeshes/cap_18,/Game/Characters/Modular/Male/cap_18/cap_18/SkeletalMeshes/cap_18,LCAP018,Redfield Red Hat,A sophisticated hat for the dapper gentleman.
cap_19,19,121,140,110,5408,20,1800,0,LCAP019,2,,,,,10,30,19,50,120,2,243,/Game/Characters/Modular/Female/cap_19/cap_19/SkeletalMeshes/cap_19,/Game/Characters/Modular/Male/cap_19/cap_19/SkeletalMeshes/cap_19,LCAP019,Light Bulb Hat,
