Name,Id,IconIdx,Subtype,Quality,BasePrice,PriceRate,FieldItemId,Weight,NeedAbility,NeedValue,AddAbility,AddValue,StatusId,StatusType,StatusPerSec,UseEffect,UseSound,CooldownType,CooldownSec,ScriptIdx,TypeName,StlKey,DisplayName,Description
consumable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11????,
consumable_1,1,1586,311,30,100,1,110,1,0,0,16,200,2,1,76,140,548,10,0,0,Medicine,LUSE001,Health Vial (S),Potion that slowly restores HP.
consumable_2,2,1586,311,30,220,2,111,1,0,0,16,400,2,1,76,140,548,10,0,0,Medicine,LUSE002,Health Vial (M),Potion that slowly restores HP.
consumable_3,3,1586,311,30,480,3,112,1,0,0,16,800,2,1,76,140,548,10,0,0,Medicine,LUSE003,Health Vial (L),Potion that slowly restores HP.
consumable_4,4,1587,311,50,270,2,118,1,0,0,16,300,3,1,140,140,548,10,0,0,Medicine,LUSE004,Health Bottle (S),Medicine that restores HP at a slightly rapid rate.
consumable_5,5,1587,311,50,570,3,119,1,0,0,16,600,3,1,140,140,548,10,0,0,Medicine,LUSE005,Health Bottle (M),Medicine that restores HP at a slightly rapid rate.
consumable_6,6,1587,311,50,1000,4,120,1,0,0,16,1000,3,1,140,140,548,0,0,0,Medicine,LUSE006,Health Bottle (L),Medicine that restores HP at a slightly rapid rate.
consumable_7,7,1588,311,30,175,2,118,1,0,0,16,500,1,1,30,140,547,0,0,0,Medicine,LUSE007,Herbal Medicine (S),Medicine that restores HP slowly.
consumable_8,8,1588,311,30,263,2,118,1,0,0,16,700,1,1,30,140,547,0,0,0,Medicine,LUSE008,Herbal Medicine (M),Medicine that restores HP slowly.
consumable_9,9,1588,311,30,400,3,118,1,0,0,16,1000,1,1,30,140,547,0,0,0,Medicine,LUSE009,Herbal Medicine (L),Medicine that restores HP slowly.
consumable_10,10,1589,311,70,450,1,118,1,0,0,16,250,0,0,0,140,548,0,0,0,Medicine,LUSE010,Vital Water (S),Mysterious water that rapidly restores HP.
consumable_11,11,1589,311,75,950,1,118,1,0,0,16,500,0,0,0,140,548,0,0,0,Medicine,LUSE011,Vital Water (M),Mysterious water that rapidly restores HP.
consumable_12,12,1589,311,80,1200,1,118,1,0,0,16,750,0,0,0,140,548,0,0,0,Medicine,LUSE012,Vital Water (L),Mysterious water that rapidly restores HP.
consumable_13,13,1589,311,85,1600,1,118,1,0,0,16,1000,0,0,0,140,548,0,0,0,Medicine,LUSE013,Vital Water (XL),Mysterious water that rapidly restores HP.
consumable_14,14,1589,311,90,2000,1,118,1,0,0,16,1300,0,0,0,140,548,0,0,0,Medicine,LUSE014,Vigor Water,Mysterious water that rapidly restores HP.
consumable_15,15,1589,311,90,2600,1,118,1,0,0,16,1600,0,0,0,140,548,0,0,0,Medicine,LUSE015,Vigor Water (XL),Mysterious water that rapidly restores HP.
consumable_19,19,1590,311,90,9000,0,118,1,0,0,16,2000,0,0,0,140,548,0,0,0,Medicine,LUSE019,Red Pill,A strange medicine that rapidly restores HP.
consumable_21,21,1591,311,30,150,1,113,1,0,0,17,150,5,2,30,140,548,0,0,0,Medicine,LUSE021,Mana Vial (S),A potion that slowly restores MP.
consumable_22,22,1591,311,30,330,2,114,1,0,0,17,300,5,2,30,140,548,0,0,0,Medicine,LUSE022,Mana Vial (M),A potion that slowly restores MP.
consumable_23,23,1591,311,30,600,3,115,1,0,0,17,500,5,2,30,140,548,0,0,0,Medicine,LUSE023,Mana Vial (L),A potion that slowly restores MP.
consumable_24,24,1592,311,50,300,2,121,1,0,0,17,200,6,2,70,140,548,0,0,0,Medicine,LUSE024,Mana Bottle (S),A potion that restores MP at a slightly rapid rate.
consumable_25,25,1592,311,50,640,3,122,1,0,0,17,400,6,2,70,140,548,0,0,0,Medicine,LUSE025,Mana Bottle (M),A potion that restores MP at a slightly rapid rate.
consumable_26,26,1592,311,50,1190,4,123,1,0,0,17,700,6,2,70,140,548,0,0,0,Medicine,LUSE026,Mana Bottle (L),A potion that restores MP at a slightly rapid rate.
consumable_27,27,1593,311,60,100,3,115,1,0,0,17,50,0,0,0,140,547,0,0,0,Medicine,LUSE027,Silver Pilules,A single dose of small pills that rapidly restores MP.
consumable_28,28,1594,311,65,220,4,121,1,0,0,17,100,0,0,0,140,547,0,0,0,Medicine,LUSE028,Golden Pilules,A single dose of small pills that rapidly restores MP.
consumable_29,29,1595,311,70,500,1,121,1,0,0,17,200,0,0,0,140,548,0,0,0,Medicine,LUSE029,Spiritual Water (S),Water from a nymph that rapidly restores MP.
consumable_30,30,1595,311,75,800,1,121,1,0,0,17,400,0,0,0,140,548,0,0,0,Medicine,LUSE030,Spiritual Water (M),Water from a nymph that rapidly restores MP.
consumable_31,31,1595,311,80,1200,1,121,1,0,0,17,600,0,0,0,140,548,0,0,0,Medicine,LUSE031,Spiritual Water (L),Water from a nymph that rapidly restores MP.
consumable_32,32,1595,311,85,1500,1,121,1,0,0,17,800,0,0,0,140,548,0,0,0,Medicine,LUSE032,Spiritual Water (XL),Water from a nymph that rapidly restores MP.
consumable_33,33,1595,311,90,1800,1,121,1,0,0,17,1200,0,0,0,140,548,0,0,0,Medicine,LUSE033,Astral Water,Water from a nymph that rapidly restores MP.
consumable_39,39,1596,311,90,9000,0,118,1,0,0,17,2000,0,0,0,140,548,0,0,0,Medicine,LUSE039,Blue Pill,A strange medicine that rapidly recovers MP.
consumable_41,41,1599,311,30,50,2,116,1,0,0,16,100,2,1,76,140,548,0,0,0,Medicine,LUSE041,Flanae Root,A root that will help you recover a little bit of HP. Can only be obtained from monsters.
consumable_42,42,1600,311,40,110,2,124,1,0,0,16,200,2,1,76,140,548,0,0,0,Medicine,LUSE042,Tree Sap,Eating this sap will restore a little bit of your HP. Can only be obtained from monsters.
consumable_43,43,1601,311,50,210,2,125,1,0,0,17,200,5,2,30,140,548,0,0,0,Medicine,LUSE043,Royal Jelly,Eating this Jelly will recover a little of your MP. Can only be obtained from monsters.
consumable_44,44,1601,312,50,140,5,141,1,0,0,17,100,6,2,70,140,547,0,0,0,Food,LUSE044,Sweet Honey,Honey with high sugar content. Can only be obtained from bees.
consumable_45,45,44,311,70,0,2,125,1,0,0,0,0,0,0,0,140,548,0,0,0,Medicine,,,
consumable_46,46,44,311,80,0,2,117,1,0,0,0,0,0,0,0,140,548,0,0,0,Medicine,,,
consumable_47,47,44,311,90,0,2,126,1,0,0,0,0,0,0,0,140,548,0,0,0,Medicine,,,
consumable_48,48,44,311,10,0,2,131,1,0,0,0,0,0,0,0,140,548,0,0,0,Medicine,,,
consumable_49,49,44,311,20,0,2,127,1,0,0,0,0,0,0,0,140,548,0,0,0,Medicine,,,
