Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
faceitem_1,1,136,0,0,1,30,850,10,,,,,18,10,,,22,1,247,/Game/Characters/Modular/Female/faceitem_1/faceitem_1/SkeletalMeshes/faceitem_1,/Game/Characters/Modular/Male/faceitem_1/faceitem_1/SkeletalMeshes/faceitem_1,LFAC001,Flu Mask,Medical mask with an ???x??? mark on it that protects its wearer from contagious airborne diseases.
faceitem_2,2,136,0,0,2,31,950,10,,,,,18,10,,,22,1,247,/Game/Characters/Modular/Female/faceitem_2/faceitem_2/SkeletalMeshes/faceitem_2,/Game/Characters/Modular/Male/faceitem_2/faceitem_2/SkeletalMeshes/faceitem_2,LFAC002,Black Mask,A black mask that covers half of the face.
faceitem_3,3,136,0,0,3,32,1000,10,,,,,18,10,,,22,2,247,/Game/Characters/Modular/Female/faceitem_3/faceitem_3/SkeletalMeshes/faceitem_3,/Game/Characters/Modular/Male/faceitem_3/faceitem_3/SkeletalMeshes/faceitem_3,LFAC003,ButterFly Mask,A splendid mask that seems to be worn in masquerades.
faceitem_4,4,136,0,0,4,33,1100,10,,,,,18,10,,,22,1,247,/Game/Characters/Modular/Female/faceitem_4/faceitem_4/SkeletalMeshes/faceitem_4,/Game/Characters/Modular/Male/faceitem_4/faceitem_4/SkeletalMeshes/faceitem_4,LFAC004,Zorro Mask,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.
faceitem_5,5,136,0,0,5,34,1100,10,,,,,18,10,,,22,1,247,/Game/Characters/Modular/Female/faceitem_5/faceitem_5/SkeletalMeshes/faceitem_5,/Game/Characters/Modular/Male/faceitem_5/faceitem_5/SkeletalMeshes/faceitem_5,LFAC005,Persian Mask ,A silken mask that evokes a mysterious feeling.
faceitem_6,6,136,0,0,6,35,1250,10,,,,,18,10,,,22,2,247,/Game/Characters/Modular/Female/faceitem_6/faceitem_6/SkeletalMeshes/faceitem_6,/Game/Characters/Modular/Male/faceitem_6/faceitem_6/SkeletalMeshes/faceitem_6,LFAC006,Wicked Mask,You can't trust the intentions of anyone who wears this mask???
faceitem_7,7,136,0,0,7,36,1350,10,,,,,18,10,,,22,3,247,/Game/Characters/Modular/Female/faceitem_7/faceitem_7/SkeletalMeshes/faceitem_7,/Game/Characters/Modular/Male/faceitem_7/faceitem_7/SkeletalMeshes/faceitem_7,LFAC007,Jolly Front Mask,An innocuously dopey mask that conceals your true intentions once you put it on.
faceitem_8,8,136,0,0,8,37,1400,10,,,,,18,10,,,22,10,247,/Game/Characters/Modular/Female/faceitem_8/faceitem_8/SkeletalMeshes/faceitem_8,/Game/Characters/Modular/Male/faceitem_8/faceitem_8/SkeletalMeshes/faceitem_8,LFAC008,Iron Mask,Iron mask that covers half of the face when worn.
faceitem_9,9,136,0,0,9,38,1550,10,,,,,18,10,,,22,5,247,/Game/Characters/Modular/Female/faceitem_9/faceitem_9/SkeletalMeshes/faceitem_9,/Game/Characters/Modular/Male/faceitem_9/faceitem_9/SkeletalMeshes/faceitem_9,LFAC009,Totem Mask,A mask that is the standard for use in totem ceremonies.
faceitem_11,11,136,0,0,11,40,1700,10,,,,,18,10,,,22,5,247,/Game/Characters/Modular/Female/faceitem_11/faceitem_11/SkeletalMeshes/faceitem_11,/Game/Characters/Modular/Male/faceitem_11/faceitem_11/SkeletalMeshes/faceitem_11,LFAC011,Ashura Mask,A mask of a face that is half man and half woman.
faceitem_13,13,136,0,0,14,42,30000,1,31,70,,,21,10,22,15,30,2,247,/Game/Characters/Modular/Female/faceitem_13/faceitem_13/SkeletalMeshes/faceitem_13,/Game/Characters/Modular/Male/faceitem_13/faceitem_13/SkeletalMeshes/faceitem_13,LFAC013,Mask of Lies,A mask of an insincerely weeping face.
faceitem_16,16,136,0,0,1,30,850,0,,,,,15,15,,,22,,247,/Game/Characters/Modular/Female/faceitem_16/faceitem_16/SkeletalMeshes/faceitem_16,/Game/Characters/Modular/Male/faceitem_16/faceitem_16/SkeletalMeshes/faceitem_16,LFAC001,Flu Mask,Medical mask with an ???x??? mark on it that protects its wearer from contagious airborne diseases.
faceitem_17,17,136,0,0,5915,30,350,0,31,131,,,11,5,18,10,120,,247,/Game/Characters/Modular/Female/faceitem_17/faceitem_17/SkeletalMeshes/faceitem_17,/Game/Characters/Modular/Male/faceitem_17/faceitem_17/SkeletalMeshes/faceitem_17,LFAC017,Oro Red Mask,A mask exclusive for ETC iROSE
faceitem_18,18,136,0,0,5916,30,350,0,31,131,,,10,5,18,10,120,,247,/Game/Characters/Modular/Female/faceitem_18/faceitem_18/SkeletalMeshes/faceitem_18,/Game/Characters/Modular/Male/faceitem_18/faceitem_18/SkeletalMeshes/faceitem_18,LFAC018,Oro Gray Mask,A mask exclusive for ETC iROSE
faceitem_19,19,137,0,0,5917,30,350,0,31,131,,,20,10,26,10,120,,247,/Game/Characters/Modular/Female/faceitem_19/faceitem_19/SkeletalMeshes/faceitem_19,/Game/Characters/Modular/Male/faceitem_19/faceitem_19/SkeletalMeshes/faceitem_19,LFAC019,Red Frame Glass,A mask exclusive for ETC iROSE
faceitem_20,20,137,0,0,5918,30,350,0,31,131,,,20,10,18,10,120,,247,/Game/Characters/Modular/Female/faceitem_20/faceitem_20/SkeletalMeshes/faceitem_20,/Game/Characters/Modular/Male/faceitem_20/faceitem_20/SkeletalMeshes/faceitem_20,LFAC020,Blue Frame Glass,A mask exclusive for ETC iROSE
faceitem_21,21,137,0,0,5919,30,350,0,31,131,,,11,10,12,5,120,,247,/Game/Characters/Modular/Female/faceitem_21/faceitem_21/SkeletalMeshes/faceitem_21,/Game/Characters/Modular/Male/faceitem_21/faceitem_21/SkeletalMeshes/faceitem_21,LFAC021,Swimming Goggles Red,A mask exclusive for ETC iROSE
faceitem_22,22,137,0,0,5920,30,350,0,31,131,,,13,10,15,5,120,,247,/Game/Characters/Modular/Female/faceitem_22/faceitem_22/SkeletalMeshes/faceitem_22,/Game/Characters/Modular/Male/faceitem_22/faceitem_22/SkeletalMeshes/faceitem_22,LFAC022,Swimming Goggles Blue,A mask exclusive for ETC iROSE
faceitem_23,23,137,0,0,5921,30,350,0,31,131,,,11,10,15,7,120,,247,/Game/Characters/Modular/Female/faceitem_23/faceitem_23/SkeletalMeshes/faceitem_23,/Game/Characters/Modular/Male/faceitem_23/faceitem_23/SkeletalMeshes/faceitem_23,LFAC023,Matrix Eye Red,A mask exclusive for ETC iROSE
faceitem_24,24,137,0,0,5921,30,350,0,31,131,,,10,10,12,6,120,,247,/Game/Characters/Modular/Female/faceitem_24/faceitem_24/SkeletalMeshes/faceitem_24,/Game/Characters/Modular/Male/faceitem_24/faceitem_24/SkeletalMeshes/faceitem_24,LFAC024,Matrix Eye Blue,A mask exclusive for ETC iROSE
faceitem_25,25,136,0,0,5922,30,350,0,31,131,,,10,10,19,30,120,,247,/Game/Characters/Modular/Female/faceitem_25/faceitem_25/SkeletalMeshes/faceitem_25,/Game/Characters/Modular/Male/faceitem_25/faceitem_25/SkeletalMeshes/faceitem_25,LFAC025,Ego Blue Red Mask,A mask exclusive for ETC iROSE
faceitem_26,26,136,0,0,5994,30,350,0,31,131,,,11,10,22,15,120,,247,/Game/Characters/Modular/Female/faceitem_26/faceitem_26/SkeletalMeshes/faceitem_26,/Game/Characters/Modular/Male/faceitem_26/faceitem_26/SkeletalMeshes/faceitem_26,LFAC026,Ego Mask Rave,A mask exclusive for ETC iROSE
faceitem_27,27,136,0,0,5923,30,350,0,31,131,,,12,10,15,7,120,,247,/Game/Characters/Modular/Female/faceitem_27/faceitem_27/SkeletalMeshes/faceitem_27,/Game/Characters/Modular/Male/faceitem_27/faceitem_27/SkeletalMeshes/faceitem_27,LFAC027,Mask of Lies Green,A mask exclusive for ETC iROSE
faceitem_28,28,136,0,0,5924,30,350,0,31,131,,,11,10,12,5,120,,247,/Game/Characters/Modular/Female/faceitem_28/faceitem_28/SkeletalMeshes/faceitem_28,/Game/Characters/Modular/Male/faceitem_28/faceitem_28/SkeletalMeshes/faceitem_28,LFAC028,Mask of Lies Gray,A mask exclusive for ETC iROSE
faceitem_29,29,136,0,0,5925,30,350,0,31,131,,,20,15,10,5,120,,247,/Game/Characters/Modular/Female/faceitem_29/faceitem_29/SkeletalMeshes/faceitem_29,/Game/Characters/Modular/Male/faceitem_29/faceitem_29/SkeletalMeshes/faceitem_29,LFAC029,Mummy Mask Brown,A mask exclusive for ETC iROSE
faceitem_30,30,136,0,0,5926,30,350,0,31,131,,,20,15,11,5,120,,247,/Game/Characters/Modular/Female/faceitem_30/faceitem_30/SkeletalMeshes/faceitem_30,/Game/Characters/Modular/Male/faceitem_30/faceitem_30/SkeletalMeshes/faceitem_30,LFAC030,Jason White Blue Mask,A mask exclusive for ETC iROSE
faceitem_31,31,137,0,0,26,30,1000,10,,,,,15,5,26,10,22,2,247,/Game/Characters/Modular/Female/faceitem_31/faceitem_31/SkeletalMeshes/faceitem_31,/Game/Characters/Modular/Male/faceitem_31/faceitem_31/SkeletalMeshes/faceitem_31,LFAC031,Glasses Frame,A glasses frame without any lenses.
