Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,MoveSpeed,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
foot_0,0,0,0,0,0,0,0,0,65,,,,,,,,,,,0,/Game/Characters/Modular/Female/foot_0/foot_0/SkeletalMeshes/foot_0,/Game/Characters/Modular/Male/foot_0/foot_0/SkeletalMeshes/foot_0,,,
foot_1,1,0,0,0,0,0,0,0,65,,,,,,,,,,,0,/Game/Characters/Modular/Female/foot_1/foot_1/SkeletalMeshes/foot_1,/Game/Characters/Modular/Male/foot_1/foot_1/SkeletalMeshes/foot_1,,,
foot_2,2,153,3,1,572,18,300,0,70,,,,,,,,,45,2,244,/Game/Characters/Modular/Female/foot_2/foot_2/SkeletalMeshes/foot_2,/Game/Characters/Modular/Male/foot_2/foot_2/SkeletalMeshes/foot_2,LFOO002,Red Shoes,"Very charming, very red shoes."
foot_3,3,153,4,1,573,18,450,0,75,,,,,,,,,45,2,244,/Game/Characters/Modular/Female/foot_3/foot_3/SkeletalMeshes/foot_3,/Game/Characters/Modular/Male/foot_3/foot_3/SkeletalMeshes/foot_3,LFOO003,Waterproof Shoes,"Red shoes that have a waterproof coating, making them handy on rainy days."
foot_4,4,153,5,1,574,20,600,0,75,31,5,,,,,,,46,3,244,/Game/Characters/Modular/Female/foot_4/foot_4/SkeletalMeshes/foot_4,/Game/Characters/Modular/Male/foot_4/foot_4/SkeletalMeshes/foot_4,LFOO004,Leather Shoes,Shoes made with stout leather.
foot_5,5,153,5,1,575,21,750,0,80,31,7,,,,,,,46,3,244,/Game/Characters/Modular/Female/foot_5/foot_5/SkeletalMeshes/foot_5,/Game/Characters/Modular/Male/foot_5/foot_5/SkeletalMeshes/foot_5,LFOO005,Dash Shoes,Shoes that enable its wearer to run fast.
foot_6,6,153,6,1,576,22,950,0,80,31,10,,,,,,,46,2,244,/Game/Characters/Modular/Female/foot_6/foot_6/SkeletalMeshes/foot_6,/Game/Characters/Modular/Male/foot_6/foot_6/SkeletalMeshes/foot_6,LFOO006,Shoes of Iguje,Exotic shoes with pointed toes.
foot_7,7,153,6,2,577,24,1100,0,80,31,15,,,,,,,47,2,244,/Game/Characters/Modular/Female/foot_7/foot_7/SkeletalMeshes/foot_7,/Game/Characters/Modular/Male/foot_7/foot_7/SkeletalMeshes/foot_7,LFOO007,Islamic Shoes,Exotically attractive shoes with pointed toes.
foot_8,8,153,7,1,578,26,1400,0,80,31,20,,,,,,,47,2,244,/Game/Characters/Modular/Female/foot_8/foot_8/SkeletalMeshes/foot_8,/Game/Characters/Modular/Male/foot_8/foot_8/SkeletalMeshes/foot_8,LFOO008,Field Walkers,Lightweight boots that make its wearer feel good.
foot_9,9,153,8,1,579,28,1900,0,85,31,25,,,,,,,48,2,244,/Game/Characters/Modular/Female/foot_9/foot_9/SkeletalMeshes/foot_9,/Game/Characters/Modular/Male/foot_9/foot_9/SkeletalMeshes/foot_9,LFOO009,Wild Walkers,Boots that protect oneâ€™s feet from great impact.
