Name,Id,IconIdx,Subtype,Quality,BasePrice,PriceRate,FieldItemId,Weight,NeedAbility,NeedValue,AddAbility,AddValue,StatusId,StatusType,StatusPerSec,UseEffect,UseSound,CooldownType,CooldownSec,ScriptIdx,TypeName,StlKey,DisplayName,Description
gem_301,301,1409,411,60,10200,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM301,Garnet [1],Jewel of truth and friendship.
gem_302,302,1410,411,70,21400,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM302,Garnet [2],Jewel of truth and friendship.
gem_303,303,1411,411,80,37000,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM303,Garnet [3],Jewel of truth and friendship.
gem_304,304,1412,411,90,64500,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM304,Garnet [4],Jewel of truth and friendship.
gem_305,305,1413,411,100,110300,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM305,Garnet [5],Jewel of truth and friendship.
gem_306,306,1414,411,110,170550,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM306,Garnet [6],Jewel of truth and friendship.
gem_307,307,1415,411,120,326500,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM307,Garnet [7],Jewel of truth and friendship.
gem_308,308,6690,411,160,667600,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM308,Wicked Garnet,A wicked Jewel.
gem_309,309,2384,411,160,667600,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM309,Purified Garnet,A Purified Jewel.
gem_311,311,1435,411,60,10200,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM311,Ruby [1],Jewel of passion and dignity.
gem_312,312,1436,411,70,21400,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM312,Ruby [2],Jewel of passion and dignity.
gem_313,313,1437,411,80,37000,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM313,Ruby [3],Jewel of passion and dignity.
gem_314,314,1438,411,90,64500,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM314,Ruby [4],Jewel of passion and dignity.
gem_315,315,1439,411,100,110300,10,162,1,0,0,0,0,0,0,0,0,0,0,0,0,Jewel,LJEM315,Ruby [5],Jewel of passion and dignity.
