Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
jewel_0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,/Game/Characters/Modular/Female/jewel_0/jewel_0/SkeletalMeshes/jewel_0,/Game/Characters/Modular/Male/jewel_0/jewel_0/SkeletalMeshes/jewel_0,,,
jewel_1,1,171,0,0,819,8,2050,10,,,,,14,2,,,,1,99,/Game/Characters/Modular/Female/jewel_1/jewel_1/SkeletalMeshes/jewel_1,/Game/Characters/Modular/Male/jewel_1/jewel_1/SkeletalMeshes/jewel_1,LJEW001,Shinning Ring,Ring of light
jewel_2,2,171,0,0,819,8,2050,10,,,,,10,2,,,,1,99,/Game/Characters/Modular/Female/jewel_2/jewel_2/SkeletalMeshes/jewel_2,/Game/Characters/Modular/Male/jewel_2/jewel_2/SkeletalMeshes/jewel_2,LJEW002,Heavy Ring,Ring that seems to require much power to sustain its weight
jewel_3,3,171,0,0,819,8,2050,10,,,,,13,2,,,,1,99,/Game/Characters/Modular/Female/jewel_3/jewel_3/SkeletalMeshes/jewel_3,/Game/Characters/Modular/Male/jewel_3/jewel_3/SkeletalMeshes/jewel_3,LJEW003,Dim Ring,Ring is nearly transparent so that you need to open your eyes widely to see
jewel_4,4,171,0,0,819,8,2050,10,,,,,15,2,,,,1,99,/Game/Characters/Modular/Female/jewel_4/jewel_4/SkeletalMeshes/jewel_4,/Game/Characters/Modular/Male/jewel_4/jewel_4/SkeletalMeshes/jewel_4,LJEW004,Thin Ring,You need to handle it carefully 
jewel_5,5,171,0,0,819,8,2350,10,,,,,20,3,,,,1,99,/Game/Characters/Modular/Female/jewel_5/jewel_5/SkeletalMeshes/jewel_5,/Game/Characters/Modular/Male/jewel_5/jewel_5/SkeletalMeshes/jewel_5,LJEW005,Ring With Hole,you can stare at only one spot through the hole of the ring
jewel_6,6,171,0,0,820,8,2350,10,,,,,22,3,,,,1,99,/Game/Characters/Modular/Female/jewel_6/jewel_6/SkeletalMeshes/jewel_6,/Game/Characters/Modular/Male/jewel_6/jewel_6/SkeletalMeshes/jewel_6,LJEW006,Sleek Ring,Ring that is so sleeky that even an ant would slide
jewel_7,7,171,0,0,820,8,2350,10,,,,,21,3,,,,1,99,/Game/Characters/Modular/Female/jewel_7/jewel_7/SkeletalMeshes/jewel_7,/Game/Characters/Modular/Male/jewel_7/jewel_7/SkeletalMeshes/jewel_7,LJEW007,Charm Ring,It looks strange. Some says that ashes of it is good for one`s health when you eat
jewel_8,8,171,0,0,820,8,2050,10,,,,,26,2,,,,1,99,/Game/Characters/Modular/Female/jewel_8/jewel_8/SkeletalMeshes/jewel_8,/Game/Characters/Modular/Male/jewel_8/jewel_8/SkeletalMeshes/jewel_8,LJEW008,Glass Ring,Ring that seems to be easily broken. The broken glasses might hurt you much
jewel_9,9,171,0,0,820,8,2050,10,,,,,18,3,,,,1,99,/Game/Characters/Modular/Female/jewel_9/jewel_9/SkeletalMeshes/jewel_9,/Game/Characters/Modular/Male/jewel_9/jewel_9/SkeletalMeshes/jewel_9,LJEW009,Pointed Ring,The pointed shape could hurt you 
jewel_10,10,171,0,0,820,8,2350,10,,,,,19,3,,,,1,99,/Game/Characters/Modular/Female/jewel_10/jewel_10/SkeletalMeshes/jewel_10,/Game/Characters/Modular/Male/jewel_10/jewel_10/SkeletalMeshes/jewel_10,LJEW010,Hard Ring,It is not broken even with stone
jewel_11,11,171,0,0,821,16,7700,10,,,,,14,5,,,,1,99,/Game/Characters/Modular/Female/jewel_11/jewel_11/SkeletalMeshes/jewel_11,/Game/Characters/Modular/Male/jewel_11/jewel_11/SkeletalMeshes/jewel_11,LJEW011,Glamor Ring,Ring that makes you look better
jewel_12,12,171,0,0,821,18,8000,10,,,,,14,5,,,,1,99,/Game/Characters/Modular/Female/jewel_12/jewel_12/SkeletalMeshes/jewel_12,/Game/Characters/Modular/Male/jewel_12/jewel_12/SkeletalMeshes/jewel_12,LJEW012,Attractive Ring,Beautifully crafted ring with great attraction 
