Name,Id,IconIdx,Subtype,Quality,BasePrice,PriceRate,FieldItemId,Weight,NeedAbility,NeedValue,AddAbility,AddValue,StatusId,StatusType,StatusPerSec,UseEffect,UseSound,CooldownType,CooldownSec,ScriptIdx,TypeName,StlKey,DisplayName,Description
material_1,1,1755,421,30,105,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT001,Rusted Iron,Iron covered in corroded rust. Touching it makes you feel icky.
material_2,2,1756,421,34,140,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT002,Tin,A metal with a silvery white luster.
material_3,3,1757,421,38,180,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT003,Copper,A metal with a reddish luster that melts easily.
material_4,4,1758,421,42,225,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT004,Bronze,"A metal made from melting copper and tin, making it much more durable."
material_5,5,1759,421,46,285,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT005,Iron,"Pure iron, one of the most common metals."
material_6,6,1760,421,50,345,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT006,Silver Iron,Iron that has been tempered so that it fully gleams with a silver luster.
material_7,7,1761,421,56,460,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT007,Steel,Iron tempered to the point that it now has a black luster.
material_8,8,1762,421,62,595,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT008,Chromium,"A strange metal with a silvery white gloss. Though strong, it sometimes crumbles quite easily."
material_9,9,1763,421,68,750,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT009,Tiar,Deteriorated diamond that can barely be seen because of its transparency.
material_10,10,1764,421,75,970,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal,LNAT010,Damascus,A mythical metal that actually exists.
material_11,11,1768,422,30,440,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT011,Unprocessed Metal,A metal that doesn't seem to really be metal. It's soft when you touch it.
material_12,12,1769,422,34,580,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT012,Demon Metal,"Metal, containing a small amount of Mana, that is said to be made by demons."
material_13,13,1770,422,38,750,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT013,Wolf Steel,"Metal shaped like a wolf's claw. Infused with the spirit of the wolf, howls can be heard from it every night."
material_14,14,1771,422,42,945,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT014,Molive,"Metal that emits a white, transparent light."
material_15,15,1772,422,46,1180,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT015,Mythril,"The purest silver, Mythril is harder than diamond."
material_16,16,1773,422,50,1445,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT016,Orihalcon,The legendary metal that is said to be unbreakable.
material_17,17,1774,422,54,1910,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT017,Adamantium,A fantasy metal that almost defies the natural laws.
material_18,18,1775,422,58,2470,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT018,Otherworldly Metal,Metal from beyond the physical realm. Its true form is secret.
material_19,19,1776,422,62,3130,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT019,Philosopher Stone,The greatest metal that all alchemists hope to create. It greatly increases Mana amount.
material_20,20,1777,422,68,4040,5,186,1,0,0,0,0,0,0,0,0,0,0,0,0,Metal from Outside World,LNAT020,Mercury,"Although it's a true metal, mercury doesn't retain its shape like the other metals."
material_21,21,1781,423,30,70,10,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT021,Pebble,A common pebble that can be found anywhere.
material_22,22,1782,423,34,95,10,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT022,Yellowish Stone,A stone made of yellow sand. Can be used in manufacturing.
material_23,23,1783,423,38,120,10,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT023,Sandstone,"A stone made of fine sand. It's not suitable for construction, but can be good if used carefully."
material_24,24,1784,423,42,150,10,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT024,Gravel Stone,Stone made of sand and pebbles.
material_25,25,1785,423,46,190,5,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT025,Granite,Stone created from a volcanic eruption. It's hard and coarse to the touch.
material_26,26,1786,423,50,230,5,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT026,Marble,A beautiful white stone that reflects light brilliantly. Usually a material used in high class buildings.
material_27,27,1787,423,56,305,5,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT027,Air Stone,A stone that floats through the air which can be difficult to get.
material_28,28,1788,423,62,395,5,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT028,Shining Stone,"A mysterious stone that shines with white light at night, but appears black during the day."
material_29,29,1789,423,68,500,5,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT029,Otherworldly Stone,A stone that is not of this mortal realm.
material_30,30,1790,423,70,645,5,189,1,0,0,0,0,0,0,0,0,0,0,0,0,Stone Material,LNAT030,Meteorite,A stone that's fallen from the sky and crashed into the ground.
material_31,31,1794,424,30,70,10,191,1,0,0,0,0,0,0,0,0,0,0,0,0,Wooden Material,LNAT031,Twig,A common twig. Most of them come from trees.
material_32,32,1795,424,34,95,10,191,1,0,0,0,0,0,0,0,0,0,0,0,0,Wooden Material,LNAT032,Maple Wood,"Commonly found in most places, maple wood is usually used to make furniture."
material_33,33,1796,424,38,120,10,191,1,0,0,0,0,0,0,0,0,0,0,0,0,Wooden Material,LNAT033,Aromatic Wood,Aromatic timber used to make furniture and garden fences.
