Name,Id,DisplayName,WalkSpeed,RunSpeed,Scale,Level,HP,Attack,Hit,Defense,Resist,Avoid,AttackSpeed,IsMagicDamage,AiType,GiveExp,DropType,RWeapon,LWeapon,DropMoney,DropItem,CanTarget,AttackRange,NpcType,HitMaterial,AttackSound,DieSound,SellTab0,SellTab1,SellTab2,SellTab3,QuestTrigger,Mesh,StlKey
npc_1,1,Mini-Jelly Bean,160,370,30,1,1,1,1,1,1,1,1,0,430,10,100,0,0,6,70,0,190,1,1,0,182,0,0,0,0,5033-32,/Game/Monsters/npc_1/npc_1/SkeletalMeshes/npc_1,LNPC0001
npc_2,2,Jelly Bean,170,390,50,1,1,1,1,1,1,1,1,0,430,10,101,0,0,8,72,0,210,1,1,0,182,0,0,0,0,5051-31,/Game/Monsters/npc_2/npc_2/SkeletalMeshes/npc_2,LNPC0002
npc_3,3,JellyNut,175,400,55,1,1,1,1,1,1,1,1,0,430,10,102,0,0,12,70,0,220,1,1,0,182,0,0,0,0,5033-33,/Game/Monsters/npc_3/npc_3/SkeletalMeshes/npc_3,LNPC0003
npc_4,4,Royal Jelly Bean,220,490,45,1,1,1,1,1,1,1,1,0,430,20,0,0,0,15,73,0,200,4,1,0,182,0,0,0,0,,/Game/Monsters/npc_4/npc_4/SkeletalMeshes/npc_4,LNPC0004
npc_5,5,Red Jelly Bean,200,450,55,1,1,1,1,1,1,1,1,0,104,20,103,0,0,10,75,0,250,3,1,0,182,0,0,0,0,,/Game/Monsters/npc_5/npc_5/SkeletalMeshes/npc_5,LNPC0005
npc_8,8,ButterFly,110,150,50,5,1,1,1,1,1,1,1,0,91,1,100,0,0,1,40,0,150,1,1,0,0,0,0,0,0,,/Game/Monsters/npc_8/npc_8/SkeletalMeshes/npc_8,LNPC0008
npc_9,9,ButterFly,120,160,50,5,1,1,1,1,1,1,1,0,91,1,100,0,0,1,42,0,155,1,1,0,0,0,0,0,0,,/Game/Monsters/npc_9/npc_9/SkeletalMeshes/npc_9,LNPC0009
npc_10,10,ButterFly,130,160,50,5,1,1,1,1,1,1,1,0,91,1,100,0,0,1,45,0,160,1,1,0,0,0,0,0,0,,/Game/Monsters/npc_10/npc_10/SkeletalMeshes/npc_10,LNPC0010
npc_11,11,Mini-Choropy,160,242,30,8,1,1,1,1,1,1,1,0,1,50,104,0,0,5,60,0,180,1,1,0,182,0,0,0,0,5052-31,/Game/Monsters/npc_11/npc_11/SkeletalMeshes/npc_11,LNPC0011
npc_12,12,Choropy,175,260,50,10,18,1,1,1,1,1,1,0,2,50,105,0,0,8,62,0,200,1,1,0,182,0,0,0,0,5053-33,/Game/Monsters/npc_12/npc_12/SkeletalMeshes/npc_12,LNPC0012
npc_13,13,Mother Choropy,180,266,100,10,30,32,78,62,27,10,80,0,2,50,106,0,0,10,62,0,220,2,1,0,182,0,0,0,0,952-31,/Game/Monsters/npc_13/npc_13/SkeletalMeshes/npc_13,LNPC0013
npc_15,15,Spotted Choropy,180,266,100,10,50,35,80,65,28,11,85,0,2,50,107,0,0,12,65,0,230,2,1,0,182,0,0,0,0,952-32,/Game/Monsters/npc_15/npc_15/SkeletalMeshes/npc_15,LNPC0015
npc_21,21,Pumpkin,200,260,45,9,23,32,65,39,20,25,100,0,2,50,108,0,0,10,58,0,220,1,1,0,182,0,0,0,0,105-31,/Game/Monsters/npc_21/npc_21/SkeletalMeshes/npc_21,LNPC0021
npc_22,22,Big Pumpkin,200,260,60,10,35,31,74,62,27,10,85,0,2,50,109,0,0,10,60,0,230,2,1,0,182,0,0,0,0,903-31,/Game/Monsters/npc_22/npc_22/SkeletalMeshes/npc_22,LNPC0022
npc_23,23,Elder Pumpkin,230,400,110,13,28,48,65,39,28,30,95,0,21,50,110,0,0,12,60,0,250,3,1,0,182,0,0,0,0,853-31,/Game/Monsters/npc_23/npc_23/SkeletalMeshes/npc_23,LNPC0023
npc_24,24,Cowboy Pumpkin,200,260,120,14,25,55,85,56,18,18,110,0,23,50,111,0,0,15,65,0,250,4,1,0,182,0,0,0,0,,/Game/Monsters/npc_24/npc_24/SkeletalMeshes/npc_24,LNPC0024
npc_31,31,Dalping,200,290,90,21,25,73,83,65,39,39,90,0,26,80,112,1071,0,7,60,0,1600,1,0,0,0,0,0,0,0,1007-31,/Game/Monsters/npc_31/npc_31/SkeletalMeshes/npc_31,LNPC0031
npc_32,32,Ranger Dalping,210,302,100,22,23,70,81,46,50,53,90,0,26,80,113,1071,0,7,62,0,1800,5,0,0,0,0,0,0,0,5003-31,/Game/Monsters/npc_32/npc_32/SkeletalMeshes/npc_32,LNPC0032
npc_33,33,Hunter Dalping,220,314,100,24,20,91,105,65,28,48,80,0,13,80,114,1071,0,9,60,0,1800,6,0,0,0,0,0,0,0,,/Game/Monsters/npc_33/npc_33/SkeletalMeshes/npc_33,LNPC0033
npc_34,34,Dalping Leader,240,338,115,26,34,100,102,86,36,49,100,0,28,100,115,1071,0,12,62,0,2000,8,0,0,0,0,0,0,0,,/Game/Monsters/npc_34/npc_34/SkeletalMeshes/npc_34,LNPC0034
npc_41,41,Flanae,0,0,80,7,25,20,63,35,17,22,90,1,15,20,116,1072,0,1,55,0,1750,1,1,0,198,0,0,0,0,902-31,/Game/Monsters/npc_41/npc_41/SkeletalMeshes/npc_41,LNPC0041
npc_42,42,Elder Flanae,0,0,100,8,28,30,59,30,20,24,85,1,15,20,117,1072,0,1,60,0,1750,3,1,0,198,0,0,0,0,902-32,/Game/Monsters/npc_42/npc_42/SkeletalMeshes/npc_42,LNPC0042
npc_43,43,Red Flanae,0,0,100,16,28,58,70,45,32,33,85,1,15,50,118,1073,0,1,58,0,2400,3,1,0,198,0,0,0,0,5041-31,/Game/Monsters/npc_43/npc_43/SkeletalMeshes/npc_43,LNPC0043
npc_44,44,Old Flanae,0,0,120,18,34,69,89,66,26,39,95,1,18,50,119,1073,0,1,60,0,2500,8,1,0,198,0,0,0,0,5007-32,/Game/Monsters/npc_44/npc_44/SkeletalMeshes/npc_44,LNPC0044
npc_45,45,Big Flanae,0,0,200,21,31,65,91,92,46,17,75,1,18,20,120,1073,0,1,60,0,2600,2,1,0,198,0,0,0,0,5007-33,/Game/Monsters/npc_45/npc_45/SkeletalMeshes/npc_45,LNPC0045
npc_51,51,Smouly,220,314,100,44,27,158,119,126,83,68,95,1,26,100,121,1074,0,10,56,0,1200,1,1,0,198,0,0,0,0,3003-31,/Game/Monsters/npc_51/npc_51/SkeletalMeshes/npc_51,LNPC0051
npc_52,52,Elder Smouly,230,326,125,46,30,173,114,113,90,71,90,1,28,100,122,1074,0,12,58,0,1250,3,1,0,198,0,0,0,0,5012-32,/Game/Monsters/npc_52/npc_52/SkeletalMeshes/npc_52,LNPC0052
npc_53,53,Old Smouly,240,338,135,48,35,190,140,147,70,79,100,1,29,100,123,1075,0,15,62,0,1300,8,1,0,198,0,0,0,0,5012-33,/Game/Monsters/npc_53/npc_53/SkeletalMeshes/npc_53,LNPC0053
npc_61,61,Needle HoneyBee,200,350,62,11,25,38,68,43,23,28,90,0,2,50,124,0,0,8,62,0,200,1,1,0,206,0,0,0,0,1003-31,/Game/Monsters/npc_61/npc_61/SkeletalMeshes/npc_61,LNPC0061
npc_62,62,HoneyBee,220,440,70,12,25,42,70,45,24,29,93,0,3,50,125,0,0,10,60,0,210,1,1,0,206,0,0,0,0,852-31,/Game/Monsters/npc_62/npc_62/SkeletalMeshes/npc_62,LNPC0062
npc_63,63,Needle Hornet,240,400,70,15,28,55,68,43,31,32,87,0,5,50,126,0,0,12,64,0,230,3,1,0,206,0,0,0,0,,/Game/Monsters/npc_63/npc_63/SkeletalMeshes/npc_63,LNPC0063
npc_64,64,Hornet,260,370,80,18,25,70,92,65,22,21,100,0,9,50,127,0,0,12,65,0,250,4,1,0,206,0,0,0,0,,/Game/Monsters/npc_64/npc_64/SkeletalMeshes/npc_64,LNPC0064
npc_67,67,Queen HoneyBee,240,320,95,26,20,85,90,51,100,45,80,1,26,50,128,1061,0,10,60,0,800,7,1,0,210,0,0,0,0,118-32,/Game/Monsters/npc_67/npc_67/SkeletalMeshes/npc_67,LNPC0067
npc_68,68,Queen Bibi,240,350,107,27,34,104,103,88,38,51,95,1,28,100,129,1061,0,10,62,0,900,8,1,0,210,0,0,0,0,857-31,/Game/Monsters/npc_68/npc_68/SkeletalMeshes/npc_68,LNPC0068
npc_69,69,Master Queen Bibi,300,450,135,33,43,136,117,109,68,42,90,1,28,100,130,333,0,12,67,0,1500,9,1,0,210,0,0,0,0,,/Game/Monsters/npc_69/npc_69/SkeletalMeshes/npc_69,LNPC0069
npc_71,71,Needle Pomic,140,400,80,12,25,42,70,45,24,29,85,0,2,50,131,1011,0,20,62,0,200,1,1,0,214,0,0,0,0,5006-31,/Game/Monsters/npc_71/npc_71/SkeletalMeshes/npc_71,LNPC0071
npc_72,72,Pomic,140,420,88,13,25,45,71,47,26,30,90,0,2,50,132,1011,0,20,65,0,220,1,1,0,214,0,0,0,0,5002-31,/Game/Monsters/npc_72/npc_72/SkeletalMeshes/npc_72,LNPC0072
npc_73,73,Red Pomic,170,500,90,15,28,55,68,43,31,32,80,0,3,50,133,1012,0,20,68,0,230,3,1,0,214,0,0,0,0,5006-33,/Game/Monsters/npc_73/npc_73/SkeletalMeshes/npc_73,LNPC0073
npc_74,74,Pomic Soldier,160,420,92,17,32,52,84,81,39,15,75,0,2,50,134,1031,0,30,62,0,300,2,0,0,214,0,0,0,0,5006-34,/Game/Monsters/npc_74/npc_74/SkeletalMeshes/npc_74,LNPC0074
npc_75,75,Pomic Fighter,160,380,102,19,27,73,74,51,37,39,90,0,5,50,135,1032,0,35,65,0,320,3,0,0,214,0,0,0,0,5006-35,/Game/Monsters/npc_75/npc_75/SkeletalMeshes/npc_75,LNPC0075
npc_76,76,Pomic Fighter,180,700,185,27,37,80,80,70,43,40,90,0,318,100,135,1012,0,40,65,0,350,3,1,0,214,0,0,0,0,,/Game/Monsters/npc_76/npc_76/SkeletalMeshes/npc_76,LNPC0075
npc_81,81,Beetle,150,420,70,20,25,69,81,63,37,38,95,0,3,50,136,0,0,15,58,0,180,1,2,0,218,0,0,0,0,855-31,/Game/Monsters/npc_81/npc_81/SkeletalMeshes/npc_81,LNPC0081
npc_82,82,Beetle Fighter,145,350,80,22,27,80,78,57,43,40,100,0,5,50,137,0,0,19,62,0,200,3,2,0,218,0,0,0,0,855-32,/Game/Monsters/npc_82/npc_82/SkeletalMeshes/npc_82,LNPC0082
npc_84,84,Turtle,160,370,75,27,25,94,92,80,49,46,100,0,3,50,138,0,0,20,58,0,200,1,2,0,218,0,0,0,0,5008-35,/Game/Monsters/npc_84/npc_84/SkeletalMeshes/npc_84,LNPC0084
