Name,MotionRow,MotionCol,Action,AnimName,ZmoPath
m_261_0,261,0,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_1,261,1,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_2,261,2,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_3,261,3,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_4,261,4,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_5,261,5,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_6,261,6,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_7,261,7,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_8,261,8,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_9,261,9,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_10,261,10,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_11,261,11,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_12,261,12,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_13,261,13,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_14,261,14,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_15,261,15,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_16,261,16,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_17,261,17,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_18,261,18,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_261_19,261,19,STOP1,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_0,262,0,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_1,262,1,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_2,262,2,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_3,262,3,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_4,262,4,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_5,262,5,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_6,262,6,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_7,262,7,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_8,262,8,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_9,262,9,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_10,262,10,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_11,262,11,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
m_262_12,262,12,MOVE,car_sit_m1,3DDATA\MOTION\AVATAR\car_sit_m1.ZMO
