Name,Id,PatClass,PartType,PartSlot,ItemType,MaxFuel,FuelRate,MoveSpeed,AtkRange,AtkPower,AtkSpeed,PatMotion,AvatarMotion,Scale,HidePlayer,HpGauge,StopSound,MoveSound,HasModel
pat_1,1,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_2,2,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_3,3,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_4,4,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_5,5,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_6,6,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_7,7,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_8,8,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_9,9,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_10,10,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_11,11,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_12,12,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_13,13,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_14,14,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_15,15,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_16,16,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_17,17,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_18,18,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_19,19,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_20,20,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_21,21,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_22,22,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_23,23,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_24,24,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_25,25,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_26,26,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_27,27,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_28,28,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_29,29,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_30,30,1,21,0,511,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_50,50,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_51,51,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_52,52,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_53,53,1,21,1,521,1600,0,100,0,0,0,-1,-1,100,0,0,0,0,1
pat_54,54,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_55,55,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_56,56,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_57,57,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_58,58,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_59,59,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_60,60,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_61,61,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_62,62,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_63,63,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_64,64,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_65,65,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_66,66,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_67,67,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_68,68,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_69,69,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_70,70,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_71,71,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_72,72,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_73,73,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_74,74,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_75,75,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_76,76,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_77,77,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_78,78,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_79,79,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_80,80,0,11,0,513,0,0,0,0,0,0,-1,-1,100,0,0,0,0,0
pat_81,81,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,0,0,1
pat_82,82,1,21,1,521,750,10,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_83,83,1,21,2,531,0,0,0,50000,10000,16,7,-1,100,0,0,0,0,1
pat_101,101,1,21,1,521,1600,8,100,0,0,0,-1,-1,100,0,0,0,0,1
pat_102,102,1,21,1,521,1800,8,104,0,0,0,-1,-1,100,0,0,0,0,1
pat_103,103,1,21,1,521,2000,8,107,0,0,0,-1,-1,100,0,0,0,0,1
pat_104,104,1,21,1,521,2000,8,120,0,0,0,-1,-1,100,0,0,0,0,1
pat_105,105,1,21,1,521,2200,8,120,0,0,0,-1,-1,100,0,0,0,0,1
pat_106,106,1,21,1,521,2400,8,110,0,0,0,-1,-1,100,0,0,0,0,1
pat_121,121,1,21,1,521,1600,8,110,0,0,0,-1,-1,100,0,0,0,0,1
pat_135,135,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_136,136,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_137,137,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_138,138,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_139,139,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_140,140,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_141,141,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_142,142,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_143,143,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_144,144,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_145,145,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_146,146,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_147,147,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_148,148,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_149,149,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_150,150,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,682,0,1
pat_151,151,1,21,-1,102,310,2,160,0,0,0,-1,-1,100,0,0,0,0,1
pat_152,152,1,21,2,531,0,0,160,0,0,0,271,261,100,0,0,0,683,1
pat_153,153,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,682,0,1
pat_154,154,1,21,-1,102,310,2,160,0,0,0,-1,-1,100,0,0,0,0,1
pat_155,155,1,21,2,531,0,0,160,0,0,0,271,261,100,0,0,0,683,1
pat_159,159,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_160,160,1,21,-1,100,0,0,0,0,0,0,331,261,100,0,0,682,0,1
pat_161,161,1,21,-1,100,0,0,0,0,0,0,331,261,100,0,0,682,0,1
pat_165,165,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_166,166,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_167,167,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_168,168,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_169,169,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_170,170,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_171,171,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_172,172,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_173,173,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_174,174,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_175,175,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_176,176,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_177,177,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_178,178,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_179,179,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_180,180,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_181,181,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_182,182,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_183,183,1,21,1,521,2400,5,150,0,0,0,-1,-1,100,0,0,0,0,1
pat_184,184,1,21,1,521,2400,5,150,0,0,0,-1,-1,100,0,0,0,0,1
pat_185,185,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_201,201,1,21,2,531,0,0,110,0,0,0,281,261,100,0,0,0,671,1
pat_202,202,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_203,203,1,21,2,531,0,0,116,0,0,0,281,261,100,0,0,0,671,1
pat_204,204,1,21,2,531,0,0,119,0,0,0,281,261,100,0,0,0,671,1
pat_205,205,1,21,2,531,0,0,122,0,0,0,281,261,100,0,0,0,671,1
pat_206,206,1,21,2,531,0,0,122,0,0,0,281,261,100,0,0,0,671,1
pat_221,221,1,21,2,531,0,0,110,0,0,0,281,261,100,0,0,0,671,1
pat_261,261,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_262,262,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_263,263,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_264,264,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_265,265,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_266,266,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,673,0,1
pat_267,267,1,21,1,521,2400,5,150,0,0,0,-1,-1,100,0,0,0,0,1
pat_268,268,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_269,269,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_270,270,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_271,271,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_272,272,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_273,273,1,21,2,531,0,0,150,0,0,0,281,261,100,0,0,0,674,1
pat_274,274,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_275,275,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_276,276,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_277,277,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_278,278,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_279,279,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_281,281,2,31,0,512,0,30,0,0,0,0,461,361,100,0,0,20,0,1
pat_286,286,2,31,1,522,3500,3,150,0,0,0,-1,-1,100,0,0,0,0,1
pat_291,291,2,31,2,532,0,0,150,0,0,0,-1,-1,100,0,0,0,21,1
pat_296,296,2,31,4,552,0,3,0,300,1000,10,-1,361,100,0,0,0,0,1
pat_311,311,1,21,4,551,0,3,0,2800,100,7,-1,-1,100,0,0,0,0,1
pat_312,312,1,21,4,551,0,7,0,4000,200,16,-1,-1,100,0,0,0,0,1
pat_321,321,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_401,401,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_402,402,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_403,403,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_404,404,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_405,405,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_406,406,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_407,407,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_408,408,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_409,409,1,21,4,551,0,0,0,0,0,0,-1,-1,100,0,0,0,0,1
pat_421,421,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_422,422,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_423,423,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_424,424,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_425,425,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_426,426,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_427,427,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_451,451,1,21,1,521,0,0,105,0,0,0,-1,-1,100,0,0,0,0,1
pat_470,470,1,21,2,531,0,0,114,0,0,0,281,261,100,0,0,0,671,1
pat_471,471,1,21,2,531,0,0,114,0,0,0,281,261,100,0,0,0,671,1
pat_500,500,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_501,501,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_502,502,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_503,503,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_504,504,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_505,505,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_506,506,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_507,507,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_508,508,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_509,509,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_510,510,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_511,511,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_512,512,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_513,513,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_514,514,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_515,515,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_516,516,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_517,517,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_518,518,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_519,519,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_520,520,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_521,521,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_522,522,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_523,523,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_524,524,1,21,0,511,0,0,0,0,0,0,281,261,100,0,0,670,0,1
pat_530,530,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_531,531,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_532,532,1,21,-1,102,0,0,170,0,0,0,331,251,100,0,0,0,683,1
pat_533,533,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_534,534,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_535,535,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_536,536,1,21,-1,102,0,0,170,0,0,0,331,251,100,0,0,0,683,1
pat_537,537,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_538,538,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_539,539,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_540,540,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_541,541,1,21,-1,102,0,0,170,0,0,0,331,251,100,0,0,0,683,1
pat_542,542,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_543,543,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_544,544,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_545,545,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_546,546,1,21,-1,102,0,0,170,0,0,0,331,251,100,0,0,0,683,1
pat_547,547,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_548,548,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_549,549,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_550,550,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_551,551,1,21,-1,102,0,0,170,0,0,0,331,251,100,0,0,0,683,1
pat_552,552,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_553,553,1,21,2,531,0,0,113,0,0,0,281,261,100,0,0,0,671,1
pat_560,560,1,21,1,521,500,2,150,0,0,0,-1,-1,100,0,0,0,0,1
pat_561,561,1,21,1,521,500,2,150,0,0,0,-1,-1,100,0,0,0,0,1
pat_581,581,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_582,582,1,21,-1,100,0,0,0,0,0,0,331,251,100,0,0,682,0,1
pat_583,583,1,21,-1,101,0,0,160,0,0,0,-1,-1,100,0,0,0,0,1
