Name,Level,Points
sp_10,10,2
sp_14,14,2
sp_18,18,3
sp_22,22,4
sp_26,26,5
sp_30,30,5
sp_34,34,5
sp_38,38,5
sp_42,42,5
sp_46,46,5
sp_50,50,5
sp_54,54,5
sp_58,58,5
sp_62,62,5
sp_66,66,5
sp_70,70,5
sp_74,74,5
sp_78,78,5
sp_82,82,5
sp_86,86,5
sp_90,90,5
sp_94,94,5
sp_98,98,5
sp_100,100,5
sp_102,102,5
sp_104,104,5
sp_106,106,5
sp_108,108,5
sp_110,110,5
sp_112,112,5
sp_114,114,5
sp_116,116,5
sp_118,118,5
sp_120,120,5
sp_122,122,5
sp_124,124,5
sp_126,126,5
sp_128,128,5
sp_130,130,5
sp_132,132,5
sp_134,134,5
sp_136,136,5
sp_138,138,5
sp_140,140,5
sp_142,142,5
sp_144,144,5
sp_146,146,5
sp_148,148,5
sp_150,150,5
