Name,Id,SkillName,BaseSkillId,SkillLevel,PointCost,Tab,SkillType,Range,TargetFilter,Radius,Power,Harm,Status1,Status2,StatusType1,StatusType2,StatusHarmful1,StatusHarmful2,SuccessRatio,Duration,DamageType,UseAbility1,UseAmount1,UseAbility2,UseAmount2,CooldownSec,CooldownGroup,IncAbility1,IncValue1,IncRate1,IncAbility2,IncValue2,IncRate2,SummonPet,ActionMode,NeedWeapon1,NeedWeapon2,NeedWeapon3,NeedWeapon4,NeedWeapon5,RequiredClassSet,RequiredUnion1,NeedSkill1,NeedSkillLevel1,NeedSkill2,NeedSkillLevel2,NeedSkill3,NeedSkillLevel3,NeedAbility1,NeedAbilityValue1,NeedAbility2,NeedAbilityValue2,IconIdx,CastMotion,CastMotionSpeed,ActionMotion,ActionMotionSpeed,HitCount,BulletNo,FireSound,HitSound,ZulyCost,CastEffect,HitEffect,StlKey,DisplayName,Description
skill_11,11,Sit,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,100,0,0,0,0,0,0,0,LSkill0011,Sit,Have a sit and take a rest
skill_12,12,Pick Up,12,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,100,0,0,0,0,0,0,0,LSkill0012,Pick Up,Allows its user to pick up nearby items dropped on the ground.
skill_13,13,Jump,13,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0.0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,90,0,0,0,0,0,0,0,LSkill0013,Jump,Allows its user to jump.
skill_14,14,Floating Air,14,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,75,0,0,0,0,0,0,0,LSkill0014,Floating Air,Allows its user to jump to the sky
skill_15,15,Auto Target,15,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,LSkill0015,Auto Target,
skill_16,16,Normal Attack,16,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,LSkill0016,Normal Attack,
skill_17,17,Drive Cart,17,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,100,0,0,0,0,0,0,0,LSkill0017,Drive Cart,"Ride on Cart and drive(If you are on ride, you get off)"
skill_18,18,Add Friend,18,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,100,0,0,0,0,0,0,0,LSkill0018,Add Friend,Ask someone to be a friend
skill_19,19,Party,19,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,100,0,0,0,0,0,0,0,LSkill0019,Party,Ask someone to join party
skill_20,20,Trading,20,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,100,0,0,0,0,0,0,0,LSkill0020,Trading,Ask for one on one trade
skill_21,21,Vending,21,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,100,0,0,0,0,0,0,0,LSkill0021,Vending,Open a Personal Shop to sell or buy goods
skill_22,22,Hover Skill,22,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,LSkill0022,,
skill_23,23,evo drive,23,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,261,100,0,0,0,0,0,0,0,LSkill0017,Drive Cart,"Ride on Cart and drive(If you are on ride, you get off)"
skill_24,24,Drive CG,24,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,261,100,0,0,0,0,0,0,0,LSkill0024,Drive Castle Gear,Drive a Castle Gear or Mount!
skill_25,25,Ride Request,25,0,0,0,1,13,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,450,100,452,100,0,0,0,0,0,0,0,LSkill0025,Ride Request,Ask someone to ride on Cart
skill_30,30,Kiss,30,0,0,0,11,160,3,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,3.9,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,200,21,100,0,0,0,0,0,0,140,LSkill0030,Kiss,Kiss other Character and help him or her to recover Hp
skill_31,31,Kiss-Kiss,31,0,0,0,11,160,3,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,3.9,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,200,21,100,0,0,0,0,0,0,140,LSkill0031,Kiss-Kiss,Kiss other Character and help him or her to increase in Mp
skill_32,32,Massage,32,0,0,0,11,100,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.9,0,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,100,0,0,0,0,0,0,0,LSkill0032,Massage,Massage other character
skill_33,33,Throwing 10 Zuly,33,0,0,0,11,500,3,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,3.9,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,100,0,0,0,0,0,0,0,LSkill0033,Throwing 10 Zuly,Give 10 Zuly to other character
skill_34,34,Throwing 100 Zuly,34,0,0,0,11,500,3,0,0,0,0,0,0,0,0,0,0,0,0,40,50,0,0,3.9,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,100,0,0,0,0,0,0,0,LSkill0034,Throwing 100 Zuly,Give 100 Zuly to other character
skill_41,41,Hi,41,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,200,23,100,0,0,0,0,0,0,0,LSkill0041,Hi,Shake one hand and say 'Hello'
skill_42,42,Bye,42,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,200,22,100,0,0,0,0,0,0,0,LSkill0042,Bye,Politely bow
skill_43,43,Thanks,43,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,200,31,100,0,0,0,0,0,0,0,LSkill0043,Thanks,Politely express your thanks
skill_44,44,Hand Clapping,44,0,0,0,10,160,8,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,3.9,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,200,21,100,0,0,0,0,0,0,140,LSkill0044,Hand Clapping,Hand Clapping
skill_45,45,Chuckle,45,0,0,0,10,160,8,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,3.9,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,200,21,100,0,0,0,0,0,0,140,LSkill0045,Chuckle,Chuckling
skill_46,46,Laugh,46,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,200,26,100,0,0,0,0,0,0,0,LSkill0046,Laugh,Laugh
skill_47,47,Fight Cheer,47,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,200,27,100,0,0,0,0,0,0,0,LSkill0047,Fight Cheer,Fight Cheer
skill_48,48,Tantrum,40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,200,30,100,0,0,0,0,0,0,0,LSkill0048,Tantrum,Tantrum
skill_49,49,Get Anger,49,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,200,28,100,0,0,0,0,0,0,0,LSkill0049,Get Anger,Get Anger
skill_50,50,Hand Clapping,50,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,200,25,100,0,0,0,0,0,0,0,LSkill0050,Hand Clapping,Hand Clapping
skill_51,51,????1,51,0,0,0,10,0,8,1400,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,11.9,0,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,41,100,53,100,0,0,0,0,0,0,0,,,
skill_52,52,Duel,52,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,20,200,9,100,0,0,0,0,0,0,0,LSkill0052,Duel,Challenge another player for a PvP Duel.
skill_55,55,Hi,55,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,200,23,100,0,0,0,0,0,0,0,LSkill0041,Hi,Shake one hand and say 'Hello'
skill_56,56,Bye,56,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,200,22,100,0,0,0,0,0,0,0,LSkill0042,Bye,Politely bow
skill_57,57,Thanks,57,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,200,31,100,0,0,0,0,0,0,0,LSkill0043,Thanks,Politely express your thanks
skill_130,130,Mining,130,1,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,LSKILL0130,Mining,Allows you to open Ore to find materials and items.
skill_131,131,Mining,130,2,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,LSKILL0130,Mining,Allows you to open Ore to find materials and items.
skill_132,132,Mining,130,3,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,LSKILL0130,Mining,Allows you to open Ore to find materials and items.
