Name,Id,Type,Defense,MagicResist,IconIdx,Quality,BasePrice,PriceRate,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,MeshFemale,MeshMale,StlKey,DisplayName,Description
subwpn_0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,/Game/Characters/Modular/Female/subwpn_0/subwpn_0/SkeletalMeshes/subwpn_0,/Game/Characters/Modular/Male/subwpn_0/subwpn_0/SkeletalMeshes/subwpn_0,,,
subwpn_1,1,261,3,1,1495,12,200,0,,,,,24,5,18,2,18,8,246,/Game/Characters/Modular/Female/subwpn_1/subwpn_1/SkeletalMeshes/subwpn_1,/Game/Characters/Modular/Male/subwpn_1/subwpn_1/SkeletalMeshes/subwpn_1,LSUB001,Wooden Shield,An ordinary wooden shield that was originally used as a lid for a pot.
subwpn_2,2,261,5,1,1496,14,750,0,10,20,,,24,5,18,2,20,12,246,/Game/Characters/Modular/Female/subwpn_2/subwpn_2/SkeletalMeshes/subwpn_2,/Game/Characters/Modular/Male/subwpn_2/subwpn_2/SkeletalMeshes/subwpn_2,LSUB002,Tarz,A strong shield that is made by plaiting pieces of leather.
subwpn_3,3,261,6,2,1497,16,1350,0,10,36,,,24,5,18,2,22,12,246,/Game/Characters/Modular/Female/subwpn_3/subwpn_3/SkeletalMeshes/subwpn_3,/Game/Characters/Modular/Male/subwpn_3/subwpn_3/SkeletalMeshes/subwpn_3,LSUB003,Round Shield,A round shield adorned with seven studs.
subwpn_4,4,261,8,2,1498,18,2400,0,10,52,,,24,5,18,2,24,12,246,/Game/Characters/Modular/Female/subwpn_4/subwpn_4/SkeletalMeshes/subwpn_4,/Game/Characters/Modular/Male/subwpn_4/subwpn_4/SkeletalMeshes/subwpn_4,LSUB004,Buckler,A charmingly decorated shield.
subwpn_5,5,261,11,3,1499,20,4600,0,10,68,,,24,5,18,5,26,12,246,/Game/Characters/Modular/Female/subwpn_5/subwpn_5/SkeletalMeshes/subwpn_5,/Game/Characters/Modular/Male/subwpn_5/subwpn_5/SkeletalMeshes/subwpn_5,LSUB005,Aspis,A shield with pointy spikes intended to menace enemies.
subwpn_6,6,261,13,4,1500,22,6850,0,10,84,,,24,5,18,5,28,12,246,/Game/Characters/Modular/Female/subwpn_6/subwpn_6/SkeletalMeshes/subwpn_6,/Game/Characters/Modular/Male/subwpn_6/subwpn_6/SkeletalMeshes/subwpn_6,LSUB006,Hoplon,A hard shield with an engraving of a sea horse.
subwpn_7,7,261,16,5,1501,24,10800,0,10,100,,,24,-5,18,5,30,12,246,/Game/Characters/Modular/Female/subwpn_7/subwpn_7/SkeletalMeshes/subwpn_7,/Game/Characters/Modular/Male/subwpn_7/subwpn_7/SkeletalMeshes/subwpn_7,LSUB007,Kite Shield,"A long, leather shield that offers protection to the entire body."
subwpn_8,8,261,18,6,1502,26,14500,0,10,114,,,24,-5,18,10,32,12,246,/Game/Characters/Modular/Female/subwpn_8/subwpn_8/SkeletalMeshes/subwpn_8,/Game/Characters/Modular/Male/subwpn_8/subwpn_8/SkeletalMeshes/subwpn_8,LSUB008,Tower Shield,A shield that looks incredibly durable at first glance.
subwpn_9,9,261,21,7,1503,27,19950,0,10,128,,,24,-5,18,10,33,12,246,/Game/Characters/Modular/Female/subwpn_9/subwpn_9/SkeletalMeshes/subwpn_9,/Game/Characters/Modular/Male/subwpn_9/subwpn_9/SkeletalMeshes/subwpn_9,LSUB009,Mythril Shield,A nigh impenetrable shield constructed from Mythril.
subwpn_10,10,261,24,8,1504,29,27350,0,10,140,,,24,-5,18,10,35,12,246,/Game/Characters/Modular/Female/subwpn_10/subwpn_10/SkeletalMeshes/subwpn_10,/Game/Characters/Modular/Male/subwpn_10/subwpn_10/SkeletalMeshes/subwpn_10,LSUB010,Plate Shield,A shield that can endure all kinds of attacks.
subwpn_11,11,261,26,9,1505,30,32950,0,10,152,,,24,-5,18,10,36,12,246,/Game/Characters/Modular/Female/subwpn_11/subwpn_11/SkeletalMeshes/subwpn_11,/Game/Characters/Modular/Male/subwpn_11/subwpn_11/SkeletalMeshes/subwpn_11,LSUB011,Orc Shield,A dreadful shield said to be used by the leader of the Orcs.
subwpn_12,12,261,29,10,1506,32,43050,0,10,164,,,24,-5,18,10,38,12,246,/Game/Characters/Modular/Female/subwpn_12/subwpn_12/SkeletalMeshes/subwpn_12,/Game/Characters/Modular/Male/subwpn_12/subwpn_12/SkeletalMeshes/subwpn_12,LSUB012,Blood Shield,A dark shield that offers awesome defense by absorbing its owner's blood.
subwpn_13,13,261,33,11,1482,34,51650,0,10,180,,,24,-5,18,15,40,12,246,/Game/Characters/Modular/Female/subwpn_13/subwpn_13/SkeletalMeshes/subwpn_13,/Game/Characters/Modular/Male/subwpn_13/subwpn_13/SkeletalMeshes/subwpn_13,LSUB013,Righteous Shield,A high grade shield for those who value honor.
