Name,Id,Type,MotionType,MotionName,Hand,AttackPower,AttackSpeed,Range,Quality,IconIdx,BasePrice,PriceRate,AtkStartSound,AtkHitSoundType,BulletEffect,AtkFireSound,ReqStat1,ReqAmount1,ReqStat2,ReqAmount2,BonusStat1,BonusAmount1,BonusStat2,BonusAmount2,Durability,Weight,FieldItemId,Mesh,TextureSrc,StlKey,DisplayName,Description,HitSound
weapon_1,1,211,1,OHSword,Right,7,9,150,24,910,0,0,38,5,0,0,,,,,,,,,35,10,246,/Game/Characters/Modular/Weapons/weapon_1/weapon_1/SkeletalMeshes/weapon_1,3Ddata/WEAPON/WEAPON/onehand/osw15/osw15.dds,LWEA001,Wooden Sword,A sword made of wood which you can get anywhere.,
weapon_2,2,211,1,OHSword,Right,10,9,150,26,911,420,0,38,5,0,0,,,,,,,,,35,5,246,/Game/Characters/Modular/Weapons/weapon_2/weapon_2/SkeletalMeshes/weapon_2,3Ddata/WEAPON/WEAPON/onehand/osw1/osw1.dds,LWEA002,Short Swords,An easily available sword that's perfect for beginners.,
weapon_3,3,211,1,OHSword,Right,14,9,200,28,912,850,0,37,5,0,0,31,10,10,30,,,,,38,5,246,/Game/Characters/Modular/Weapons/weapon_3/weapon_3/SkeletalMeshes/weapon_3,3Ddata/WEAPON/WEAPON/onehand/osw2/osw2.dds,LWEA003,Rapier,"A long, sharp sword that is mainly used for stabbing.",
weapon_4,4,211,1,OHSword,Right,23,10,200,32,913,1890,0,38,5,0,0,31,20,10,47,,,,,40,5,246,/Game/Characters/Modular/Weapons/weapon_4/weapon_4/SkeletalMeshes/weapon_4,3Ddata/WEAPON/WEAPON/onehand/osw16/osw16.dds,LWEA004,Khukuri,A sharply curved sword.,
weapon_5,5,211,1,OHSword,Right,31,10,200,36,914,3570,0,38,5,0,0,31,29,10,62,,,,,41,10,246,/Game/Characters/Modular/Weapons/weapon_5/weapon_5/SkeletalMeshes/weapon_5,3Ddata/WEAPON/WEAPON/onehand/osw3/osw3.dds,LWEA005,Long Sword,A general sword that is favored by many.,
weapon_6,6,211,1,OHSword,Right,39,9,200,39,915,6680,0,38,5,0,0,31,38,10,76,,,,,43,15,246,/Game/Characters/Modular/Weapons/weapon_6/weapon_6/SkeletalMeshes/weapon_6,3Ddata/WEAPON/WEAPON/onehand/osw4/osw4.dds,LWEA006,Bushido,A threatening sword in which the words 'Lethal Attack' are engraved.,
weapon_7,7,211,1,OHSword,Right,51,10,200,43,916,11880,0,38,5,0,0,31,47,10,91,,,,,45,15,246,/Game/Characters/Modular/Weapons/weapon_7/weapon_7/SkeletalMeshes/weapon_7,3Ddata/WEAPON/WEAPON/onehand/osw17/osw17.dds,LWEA007,Saber,A dashing sword which cuts through the wind.,
weapon_8,8,211,1,OHSword,Right,62,10,200,46,917,19750,0,38,5,0,0,31,56,10,105,,,,,46,15,246,/Game/Characters/Modular/Weapons/weapon_8/weapon_8/SkeletalMeshes/weapon_8,3Ddata/WEAPON/WEAPON/onehand/osw18/osw18.dds,LWEA008,Elven Sword,An imitation of the legendary swords used by the Elves.,
weapon_9,9,211,1,OHSword,Right,72,10,200,50,918,28400,0,38,5,0,0,31,64,10,118,,,,,48,20,246,/Game/Characters/Modular/Weapons/weapon_9/weapon_9/SkeletalMeshes/weapon_9,3Ddata/WEAPON/WEAPON/onehand/osw11/osw11.dds,LWEA009,Squid Sword,A sword made in the awe inspiring form of the noble squid race.,
weapon_10,10,211,1,OHSword,Right,80,9,200,53,919,37600,0,38,5,0,0,31,72,10,131,,,,,49,25,246,/Game/Characters/Modular/Weapons/weapon_10/weapon_10/SkeletalMeshes/weapon_10,3Ddata/WEAPON/WEAPON/onehand/osw9/osw9.dds,LWEA010,Shark Blade,A fearsome sword studded with wild shark's teeth.,
weapon_11,11,211,1,OHSword,Right,100,11,200,56,920,55950,0,38,5,0,0,31,80,10,143,,,,,51,30,246,/Game/Characters/Modular/Weapons/weapon_11/weapon_11/SkeletalMeshes/weapon_11,3Ddata/WEAPON/WEAPON/onehand/osw19/osw19.dds,LWEA011,Viking Sword,A sword with a wide blade that was popularized by the Vikings.,
